FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-02|AMS|KL|0879||2024-02-02|D|153520540|161204669,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,462,KG,B,T,24.0,ULD,AKE95683KL,519.0,57.0,16-2-2024 17:02:55,FWD,14L,L,153520540,161204669,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520541|161229208,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,528,KG,B,Y,28.0,ULD,AKE97865KL,585.0,57.0,16-2-2024 17:02:55,FWD,21R,L,153520541,161229208,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520542|161229202,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,443,KG,B,T,23.0,ULD,AKE95309KL,669.0,57.0,16-2-2024 17:02:55,FWD,15L,L,153520542,161229202,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520542|161229203,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,169,KG,B,Y,9.0,ULD,AKE95309KL,669.0,57.0,16-2-2024 17:02:55,FWD,15L,L,153520542,161229203,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520543|161229200,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,36,KG,D,,2.0,ULD,AKE96129KL,657.0,57.0,16-2-2024 17:02:55,FWD,14R,L,153520543,161229200,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520543|161229201,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,564,KG,B,F,33.0,ULD,AKE96129KL,657.0,57.0,16-2-2024 17:02:55,FWD,14R,L,153520543,161229201,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520544|161229193,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,18,KG,B,Y,1.0,ULD,AKE97206KL,593.0,57.0,16-2-2024 17:02:55,FWD,11R,L,153520544,161229193,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520544|161229194,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,501,KG,B,T,26.0,ULD,AKE97206KL,593.0,57.0,16-2-2024 17:02:55,FWD,11R,L,153520544,161229194,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520544|161229195,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,17,KG,B,F,1.0,ULD,AKE97206KL,593.0,57.0,16-2-2024 17:02:55,FWD,11R,L,153520544,161229195,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520545|161229211,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,717,KG,B,Y,38.0,ULD,AKE95824KL,774.0,57.0,16-2-2024 17:02:55,FWD,22R,L,153520545,161229211,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520546|161229214,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,717,KG,B,Y,38.0,ULD,AKE96473KL,774.0,57.0,16-2-2024 17:02:55,FWD,23R,L,153520546,161229214,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520547|161229207,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,661,KG,B,Y,35.0,ULD,AKE97536KL,718.0,57.0,16-2-2024 17:02:55,FWD,21L,L,153520547,161229207,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520548|161229196,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,453,KG,B,Y,24.0,ULD,AKE97326KL,510.0,57.0,16-2-2024 17:02:55,FWD,12L,L,153520548,161229196,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520549|161229212,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,585,KG,B,Y,31.0,ULD,AKE96796KL,696.0,57.0,16-2-2024 17:02:55,FWD,23L,L,153520549,161229212,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153520549|161229213,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,54,KG,B,B,3.0,ULD,AKE96796KL,696.0,57.0,16-2-2024 17:02:55,FWD,23L,L,153520549,161229213,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153527269|161212050|19175979,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,1760,KG,C,,,ULD,PMC32298KL,1885.0,125.0,16-2-2024 17:02:55,FWD,24P,L,153527269,161212050,19175979.0,OHG
2024-02-02|AMS|KL|0879||2024-02-02|D|153527270|161212051|19175980,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,1996,KG,C,,,ULD,AAP60380KL,2215.0,219.0,16-2-2024 17:02:55,FWD,23P,L,153527270,161212051,19175980.0,ELI
2024-02-02|AMS|KL|0879||2024-02-02|D|153532534|161229209,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,585,KG,B,Y,31.0,ULD,AKE70156KL,661.0,57.0,16-2-2024 17:02:55,FWD,22L,L,153532534,161229209,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153532534|161229210,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,19,KG,B,T,1.0,ULD,AKE70156KL,661.0,57.0,16-2-2024 17:02:55,FWD,22L,L,153532534,161229210,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153532540|161229204,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,302,KG,B,Y,16.0,ULD,AKE95350KL,703.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153532540,161229204,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153532540|161229205,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,327,KG,B,T,17.0,ULD,AKE95350KL,703.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153532540,161229205,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153532540|161229206,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,17,KG,B,F,1.0,ULD,AKE95350KL,703.0,57.0,16-2-2024 17:02:55,FWD,15R,L,153532540,161229206,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153532644|161217623|19176482,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,4080,KG,E,,,ULD,PMC21481KL,4205.0,125.0,16-2-2024 17:02:55,AFT,43P,L,153532644,161217623,19176482.0,BAL
2024-02-02|AMS|KL|0879||2024-02-02|D|153533377|161229197,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,408,KG,B,T,21.0,ULD,AKE96441KL,716.0,57.0,16-2-2024 17:02:55,FWD,12R,L,153533377,161229197,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153533377|161229198,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,189,KG,B,F,11.0,ULD,AKE96441KL,716.0,57.0,16-2-2024 17:02:55,FWD,12R,L,153533377,161229198,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153533377|161229199,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,62,KG,B,Y,3.0,ULD,AKE96441KL,716.0,57.0,16-2-2024 17:02:55,FWD,12R,L,153533377,161229199,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153534362|161219381,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE70249KL,57.0,57.0,16-2-2024 17:02:55,FWD,11L,L,153534362,161219381,,
2024-02-02|AMS|KL|0879||2024-02-02|D|153543592|161229224,2024-02-02|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153543592,161229224,,
