FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-16|AMS|KL|0879||2024-02-16|D|154089175|161819370,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,577,KG,B,Y,32.0,ULD,AKE96537KL,634.0,57.0,16-2-2024 17:02:55,AFT,41L,L,154089175,161819370,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089176|161819372,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,18,KG,B,Y,1.0,ULD,AKE95782KL,744.0,57.0,16-2-2024 17:02:55,AFT,42L,L,154089176,161819372,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089176|161819373,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,669,KG,B,F,35.0,ULD,AKE95782KL,744.0,57.0,16-2-2024 17:02:55,AFT,42L,L,154089176,161819373,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089177|161819374,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,765,KG,B,F,40.0,ULD,AKE94978KL,822.0,57.0,16-2-2024 17:02:55,AFT,42R,L,154089177,161819374,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089178|161818702,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,468,KG,B,Y,26.0,ULD,AKE98126KL,753.0,57.0,16-2-2024 17:02:55,AFT,33R,L,154089178,161818702,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089178|161818703,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,228,KG,B,B,12.0,ULD,AKE98126KL,753.0,57.0,16-2-2024 17:02:55,AFT,33R,L,154089178,161818703,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089179|161818695,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,649,KG,B,Y,36.0,ULD,AKE97685KL,706.0,57.0,16-2-2024 17:02:55,AFT,31L,L,154089179,161818695,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089180|161818696,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,649,KG,B,Y,36.0,ULD,AKE96129KL,706.0,57.0,16-2-2024 17:02:55,AFT,31R,L,154089180,161818696,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089181|161818699,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,198,KG,B,T,10.0,ULD,AKE97476KL,579.0,57.0,16-2-2024 17:02:55,AFT,32R,L,154089181,161818699,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089181|161818700,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,324,KG,B,Y,18.0,ULD,AKE97476KL,579.0,57.0,16-2-2024 17:02:55,AFT,32R,L,154089181,161818700,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089182|161818701,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,649,KG,B,Y,36.0,ULD,AKE95676KL,706.0,57.0,16-2-2024 17:02:55,AFT,33L,L,154089182,161818701,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089183|161818694,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,667,KG,B,Y,37.0,ULD,AKE96878KL,724.0,57.0,16-2-2024 17:02:55,FWD,12R,L,154089183,161818694,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089184|161818697,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,541,KG,B,Y,30.0,ULD,AKE97627KL,674.0,57.0,16-2-2024 17:02:55,AFT,32L,L,154089184,161818697,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089184|161818698,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,76,KG,B,B,4.0,ULD,AKE97627KL,674.0,57.0,16-2-2024 17:02:55,AFT,32L,L,154089184,161818698,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089186|161808944,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,36,KG,B,G,2.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,154089186,161808944,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089187|161808945,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,154089187,161808945,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089188|161808946,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,154089188,161808946,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089189|161808947,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,154089189,161808947,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154089190|161808948,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,364,KG,B,Y,20.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,154089190,161808948,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154093316|161813154,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,473,KG,C,,,ULD,AKE97615KL,530.0,57.0,16-2-2024 17:02:55,FWD,12L,L,154093316,161813154,,
2024-02-16|AMS|KL|0879||2024-02-16|D|154093317|161813155,2024-02-16|KL|0879||AMS,ACTIVE,AMS,BLR,1930,KG,C,,,ULD,PMC32420KL,2055.0,125.0,16-2-2024 17:02:55,FWD,13P,L,154093317,161813155,,
