ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC28967KL,5,7400892404,1,,R21,4,3434.0,"4,61",CDG,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,,,,,PMC28967KL,,True,False,False
PAG11666AF,0,7401263463,1,1.0,R21,4,278.0,"0,57",FRA,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 08:13:26,PL01,VG2/3,VG2/3,PAG11666AF,1.0,False,True,False
PAG11666AF,0,7401263463,1,3.0,R21,4,278.0,"0,57",FRA,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 08:13:26,PL01,VG2/3,VG2/3,PAG11666AF,2.0,False,True,False
PAG11666AF,0,7401263463,1,2.0,R21,4,278.0,"0,57",FRA,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 08:13:26,PL01,VG2/3,VG2/3,PAG11666AF,1.0,False,True,False
PMC28967KL,5,7401265272,1,1.0,R21,2,81.0,"0,99",HAM,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:43:05,PL01,VG2/3,VG2/3,PMC28967KL,1.0,False,True,False
PMC28967KL,5,7401265272,1,2.0,R21,2,81.0,"0,99",HAM,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:43:05,PL01,VG2/3,VG2/3,PMC28967KL,1.0,False,True,False
PMC20586MP,1,7454833796,1,1.0,C01,2,631.0,"3,94",IAH,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:56:11,PL01,VG2/3,VG2/3,PMC20586MP,1.0,False,True,False
PMC20586MP,1,7454833796,1,2.0,C01,2,631.0,"3,94",IAH,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:56:11,PL01,VG2/3,VG2/3,PMC20586MP,1.0,False,True,False
PMC20586MP,1,7462329724,1,1.0,R21,4,470.0,"0,94",SWK,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:55:59,PL01,VG2/3,VG2/3,PMC20586MP,4.0,False,True,False
PMC28967KL,5,7463000453,1,1.0,S23,1,24.0,"0,14",AMS,BLR,KL,879,KL0879,2024-02-25,25-2-2024 11:11:00,25-2-2024 10:55:00,Aircraft,25-2-2024 07:42:00,PL01,VG2/3,VG2/3,PMC28967KL,1.0,False,True,False
