FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-08|AMS|KL|0879||2024-01-08|D|152528250|160173341,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,677,KG,B,Y,38.0,ULD,AKE97172KL,750.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152528250,160173341,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528250|160173342,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,16,KG,B,B,1.0,ULD,AKE97172KL,750.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152528250,160173342,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528251|160173970,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,306,KG,B,T,16.0,ULD,AKE96359KL,363.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152528251,160173970,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528252|160173339,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,670,KG,B,T,35.0,ULD,AKE70259KL,727.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152528252,160173339,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528253|160173971,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,18,KG,D,,1.0,ULD,AKE70172KL,166.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152528253,160173971,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528253|160173972,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,91,KG,B,F,5.0,ULD,AKE70172KL,166.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152528253,160173972,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528254|160173340,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,670,KG,B,T,35.0,ULD,AKE94937KL,727.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152528254,160173340,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528255|160173332,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,402,KG,B,T,21.0,ULD,AKE70051KL,690.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152528255,160173332,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528255|160173333,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,231,KG,B,Y,13.0,ULD,AKE70051KL,690.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152528255,160173333,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528256|160173336,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,641,KG,B,Y,36.0,ULD,AKE95905KL,698.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152528256,160173336,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528257|160173969,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,178,KG,B,Y,10.0,ULD,AKE96648KL,235.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152528257,160173969,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528258|160173337,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,534,KG,B,Y,30.0,ULD,AKE95124KL,606.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152528258,160173337,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528258|160173338,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,15,KG,B,B,1.0,ULD,AKE95124KL,606.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152528258,160173338,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528259|160147537,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152528259,160147537,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528260|160147538,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152528260,160147538,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528262|160147539,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152528262,160147539,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528263|160147541,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,39,KG,B,T,2.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152528263,160147541,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152528264|160147542,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,57,KG,B,Y,3.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152528264,160147542,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152538877|160173334,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,35,KG,B,Y,2.0,ULD,AKE95268KL,647.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152538877,160173334,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152538877|160173335,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,555,KG,B,T,29.0,ULD,AKE95268KL,647.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152538877,160173335,,
