ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE96421KL,0,7401100761,1,1.0,R21,1,204.0,"0,69",FRA,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 7:32,PM11,VG2/3,VG2/3,AKE96421KL,1.0,False,True,False
PAG00904DL,3,7456649633,1,,R21,1,128.0,"2,26",ARN,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,,,,,PAG00904DL,,True,False,False
AKE96421KL,0,7461684792,1,1.0,S51,2,3.5,"0,05",AMS,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 7:32,PM11,VG2/3,VG2/3,AKE96421KL,2.0,False,True,False
PMC65312AF,1,7462964381,1,,R21,10,1782.0,"13,38",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,,,,,PMC65312AF,,True,False,False
PAG15527KL,0,7462964381,1,1.0,R21,10,1782.0,"13,38",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:24,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7462964381,1,2.0,R21,10,1782.0,"13,38",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:24,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7462964381,1,3.0,R21,10,1782.0,"13,38",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:24,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7462964381,1,4.0,R21,10,1782.0,"13,38",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:24,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7463249071,1,1.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:27,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7463249071,1,2.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:31,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7463249071,1,3.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:31,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG14258KL,0,7463249071,1,4.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 7:00,PM11,VG2/3,VG2/3,PAG14258KL,9.0,False,True,False
PAG15527KL,0,7463249071,1,5.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:31,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PAG15527KL,0,7463249071,1,6.0,R21,14,1513.2,"5,2",HAJ,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:31,PL01,VG2/3,VG2/3,PAG15527KL,1.0,False,True,False
PMC92313DL,1,7463357140,1,,R21,26,3392.7,"10,58",HEL,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,,,,,PMC92313DL,,True,False,False
PAG14258KL,0,7463357140,1,1.0,R21,26,3392.7,"10,58",HEL,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:59,PM11,VG2/3,VG2/3,PAG14258KL,3.0,False,True,False
PAG14258KL,0,7463357140,1,2.0,R21,26,3392.7,"10,58",HEL,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:59,PM11,VG2/3,VG2/3,PAG14258KL,3.0,False,True,False
PAG14258KL,0,7463357140,1,3.0,R21,26,3392.7,"10,58",HEL,BLR,KL,879,KL0879,2024-01-12,12/1/2024 11:00,12/1/2024 10:55,Aircraft,12/1/2024 6:59,PM11,VG2/3,VG2/3,PAG14258KL,3.0,False,True,False
