FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-14|AMS|KL|0879||2024-01-14|D|152775310|160435958,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,592,KG,B,F,32.0,ULD,AKE96886KL,685.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152775310,160435958,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775310|160435959,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,36,KG,D,,2.0,ULD,AKE96886KL,685.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152775310,160435959,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775311|160435955,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,748,KG,B,Y,40.0,ULD,AKE97326KL,805.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152775311,160435955,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775312|160435960,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,199,KG,B,T,10.0,ULD,AKE95907KL,723.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152775312,160435960,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775312|160435961,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,467,KG,B,Y,25.0,ULD,AKE95907KL,723.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152775312,160435961,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775313|160435954,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,557,KG,B,T,28.0,ULD,AKE94905KL,614.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152775313,160435954,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775314|160435953,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,729,KG,B,Y,39.0,ULD,AKE95962KL,786.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152775314,160435953,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775315|160435964,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,142,KG,B,B,8.0,ULD,AKE97532KL,703.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152775315,160435964,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775315|160435965,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,504,KG,B,Y,27.0,ULD,AKE97532KL,703.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152775315,160435965,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775316|160435952,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,710,KG,B,Y,38.0,ULD,AKE97452KL,767.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152775316,160435952,,
2024-01-14|AMS|KL|0879||2024-01-14|D|152775317|160435962,2024-01-14|KL|0879||AMS,ACTIVE,AMS,BLR,317,KG,B,Y,17.0,ULD,AKE95731KL,766.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152775317,160435962,,
