BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
22-1-2024 11:15:34,74,726795,7400726795,BUD,BLR,A,7.53,MC,1430.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263798,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,7.53,1430.0,7.0,1.0,1.0,1.08,204.29,7.0,True,True,1.08,204.29,,,,False
22-1-2024 11:15:34,74,726795,7400726795,BUD,BLR,A,7.53,MC,1430.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263798,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,7.53,1430.0,7.0,1.0,2.0,1.08,,7.0,True,True,1.08,204.29,112.0,80.0,120.0,True
22-1-2024 11:15:34,74,1096001,7401096001,AMS,BLR,A,0.96,MC,160.0,K,13.0,S20,PLNT,AMS,FFM,False,False,False,False,False,False,False,False,18271257,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,0.96,160.0,13.0,1.0,1.0,0.07,12.31,13.0,True,True,0.07,12.31,,,,False
22-1-2024 11:15:34,74,1120582,7401120582,WRO,BLR,A,9.34,MC,936.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247701,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,9.32,936.0,11.0,1.0,5.0,1.04,,1.0,True,True,1.04,,105.0,82.0,121.0,True
22-1-2024 11:15:34,74,1120582,7401120582,WRO,BLR,A,9.34,MC,936.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247701,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,9.32,936.0,11.0,1.0,4.0,0.62,,1.0,True,True,0.62,,65.0,80.0,120.0,True
22-1-2024 11:15:34,74,1120582,7401120582,WRO,BLR,A,9.34,MC,936.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247701,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,9.32,936.0,11.0,1.0,2.0,0.01,,1.0,True,True,0.01,,10.0,15.0,20.0,True
22-1-2024 11:15:34,74,1120582,7401120582,WRO,BLR,A,9.34,MC,936.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247701,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,9.32,936.0,11.0,1.0,6.0,1.09,,7.0,True,True,1.09,,110.0,82.0,121.0,True
22-1-2024 11:15:34,74,1120582,7401120582,WRO,BLR,A,9.34,MC,936.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247701,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,9.32,936.0,11.0,1.0,3.0,0.04,,1.0,True,True,0.04,,20.0,40.0,50.0,True
23-1-2024 16:21:51,74,1122100,7401122100,YYZ,BLR,A,1.04,MC,85.0,K,1.0,C01,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18249063,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,1.04,85.0,1.0,,,,,,,,,,,,,
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,1.0,0.67,193.33,9.0,True,True,0.67,193.33,,,,False
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,2.0,0.24,,1.0,True,True,0.24,,50.0,60.0,80.0,True
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,5.0,0.77,,4.0,True,True,0.77,,80.0,80.0,120.0,True
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,6.0,1.01,,1.0,True,True,1.01,,105.0,80.0,120.0,True
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,3.0,0.48,,2.0,True,True,0.48,,100.0,60.0,80.0,True
22-1-2024 11:15:34,74,1130780,7401130780,LYS,BLR,A,6.0,MC,1740.0,K,9.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18258986,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,6.0,1740.0,9.0,1.0,4.0,0.72,,1.0,True,True,0.72,,75.0,80.0,120.0,True
23-1-2024 11:26:56,74,1132250,7401132250,STR,BLR,A,2.62,MC,982.9,K,10.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18260029,KL,879,KL0879,,AMS,BLR,21-1-2024,2024-01-22,2.62,982.9,10.0,,,,,,,,,,,,,
