ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC66073AF,0,7401066262,1,1.0,R21,1,432.0,"5,78",LCJ,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 08:23:35,PG14,VG2/3,VG2/3,PMC66073AF,1.0,False,True,False
PAG15713KL,1,7401337663,1,,R21,5,462.4,"6,35",NUE,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,,,,,PAG15713KL,,True,False,False
AKE98129KL,0,7401390826,1,1.0,R21,2,183.0,"0,76",WRO,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 01:33:22,PG02,VG2/3,VG2/3,AKE98129KL,1.0,False,True,False
AKE98129KL,0,7401390826,1,2.0,R21,2,183.0,"0,76",WRO,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 01:33:22,PG02,VG2/3,VG2/3,AKE98129KL,1.0,False,True,False
AKE96705KL,0,7401394153,1,1.0,R21,4,160.0,"1,09",LYS,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 00:54:02,PG01,VG2/3,VG2/3,AKE96705KL,1.0,False,True,False
AKE96705KL,0,7401394153,1,2.0,R21,4,160.0,"1,09",LYS,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 00:54:02,PG01,VG2/3,VG2/3,AKE96705KL,3.0,False,True,False
AKE96705KL,0,7401395240,1,1.0,R21,1,104.0,"0,71",BLL,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 01:01:34,PG01,VG2/3,VG2/3,AKE96705KL,1.0,False,True,False
PAG15713KL,1,7401396813,1,1.0,R21,2,124.0,"0,39",ARN,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 04:12:15,PL04,VG2/3,VG2/3,PAG15713KL,1.0,False,True,False
PAG15713KL,1,7401396813,1,2.0,R21,2,124.0,"0,39",ARN,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 04:12:15,PL04,VG2/3,VG2/3,PAG15713KL,1.0,False,True,False
AKE98129KL,0,7447596625,1,1.0,R21,4,127.0,"0,54",BOD,BLR,KL,879,KL0879,2024-03-18,18-3-2024 11:03:00,18-3-2024 10:55:00,Aircraft,18-3-2024 01:33:33,PG02,VG2/3,VG2/3,AKE98129KL,4.0,False,True,False
