FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-18|AMS|KL|0879||2024-03-18|D|155345077|163164860,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,206,KG,B,Y,12.0,ULD,AKE96712KL,757.0,57.0,19-3-2024 04:33:58,AFT,42R,L,155345077,163164860,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345077|163164861,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,54,KG,D,,3.0,ULD,AKE96712KL,757.0,57.0,19-3-2024 04:33:58,AFT,42R,L,155345077,163164861,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345077|163164862,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,440,KG,B,F,29.0,ULD,AKE96712KL,757.0,57.0,19-3-2024 04:33:58,AFT,42R,L,155345077,163164862,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345078|163163791,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,367,KG,B,T,20.0,ULD,AKE96263KL,424.0,57.0,19-3-2024 04:33:58,AFT,43R,L,155345078,163163791,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345079|163163792,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,90,KG,B,B,5.0,ULD,AKE97901KL,801.0,57.0,19-3-2024 04:33:58,AFT,44R,L,155345079,163163792,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345079|163163793,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,654,KG,B,Y,38.0,ULD,AKE97901KL,801.0,57.0,19-3-2024 04:33:58,AFT,44R,L,155345079,163163793,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345080|163163790,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,740,KG,B,Y,43.0,ULD,AKE70149KL,797.0,57.0,19-3-2024 04:33:58,AFT,43L,L,155345080,163163790,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345081|163164858,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,91,KG,B,F,6.0,ULD,AKE95404KL,492.0,57.0,19-3-2024 04:33:58,AFT,42L,L,155345081,163164858,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345081|163164859,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,344,KG,B,Y,20.0,ULD,AKE95404KL,492.0,57.0,19-3-2024 04:33:58,AFT,42L,L,155345081,163164859,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345082|163140968,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,G,0.0,BLK,,,,19-3-2024 04:33:58,BLK,51,L,155345082,163140968,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345083|163140969,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,B,0.0,BLK,,,,19-3-2024 04:33:58,BLK,51,L,155345083,163140969,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345084|163140970,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,31,KG,B,F,2.0,BLK,,,,19-3-2024 04:33:58,BLK,51,L,155345084,163140970,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345085|163140971,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,35,KG,B,Y,2.0,BLK,,,,19-3-2024 04:33:58,BLK,51,L,155345085,163140971,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155345086|163140972,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,B,T,0.0,BLK,,,,19-3-2024 04:33:58,BLK,51,L,155345086,163140972,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155364060|163160849,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,318,KG,C,,,ULD,AKE98129KL,375.0,57.0,19-3-2024 04:33:58,AFT,44L,L,155364060,163160849,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155364061|163160850,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,268,KG,C,,,ULD,AKE96705KL,325.0,57.0,19-3-2024 04:33:58,FWD,13R,L,155364061,163160850,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155364062|163160851,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,446,KG,C,,,ULD,PMC66073AF,550.0,104.0,19-3-2024 04:33:58,FWD,13P,L,155364062,163160851,,
2024-03-18|AMS|KL|0879||2024-03-18|D|155364063|163160852|19371024,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,980,KG,C,,,ULD,PMC24391KL,1105.0,125.0,19-3-2024 04:33:58,FWD,21P,L,155364063,163160852,19371024.0,ELI
2024-03-18|AMS|KL|0879||2024-03-18|D|155364064|163160853|19371025,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,1471,KG,C,,,ULD,PMC73510AF,1555.0,84.0,19-3-2024 04:33:58,FWD,23P,L,155364064,163160853,19371025.0,COL
2024-03-18|AMS|KL|0879||2024-03-18|D|155364064|163160853|19371026,2024-03-18|KL|0879||AMS,ACTIVE,AMS,BLR,1471,KG,C,,,ULD,PMC73510AF,1555.0,84.0,19-3-2024 04:33:58,FWD,23P,L,155364064,163160853,19371026.0,ELI
