BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
18-3-2024 11:15:42,74,1066262,7401066262,LCJ,BLR,A,5.78,MC,432.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18168382,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,5.78,432.0,1.0,1.0,1.0,5.78,432.0,1.0,True,True,5.78,432.0,,,,False
18-3-2024 11:15:42,74,1066262,7401066262,LCJ,BLR,A,5.78,MC,432.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18168382,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,5.78,432.0,1.0,1.0,2.0,5.78,,1.0,True,True,5.78,432.0,137.0,147.0,287.0,True
18-3-2024 11:15:42,74,1337663,7401337663,NUE,BLR,A,6.35,MC,462.4,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492668,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,6.35,462.4,5.0,1.0,1.0,1.27,92.48,5.0,True,True,1.27,92.48,,,,False
18-3-2024 11:15:42,74,1337663,7401337663,NUE,BLR,A,6.35,MC,462.4,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492668,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,6.35,462.4,5.0,1.0,2.0,0.02,,1.0,True,True,0.02,,16.0,27.0,41.0,True
18-3-2024 11:15:42,74,1337663,7401337663,NUE,BLR,A,6.35,MC,462.4,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492668,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,6.35,462.4,5.0,1.0,3.0,1.58,,4.0,True,True,1.58,,155.0,83.0,123.0,True
18-3-2024 11:15:42,74,1390826,7401390826,WRO,BLR,A,0.77,MC,183.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526635,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.76,183.0,2.0,1.0,1.0,0.38,91.5,2.0,True,True,0.38,91.5,,,,False
18-3-2024 11:15:42,74,1390826,7401390826,WRO,BLR,A,0.77,MC,183.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526635,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.76,183.0,2.0,1.0,2.0,0.34,,1.0,True,True,0.34,,70.0,60.0,80.0,True
18-3-2024 11:15:42,74,1390826,7401390826,WRO,BLR,A,0.77,MC,183.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526635,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.76,183.0,2.0,1.0,3.0,0.43,,1.0,True,True,0.43,,90.0,60.0,80.0,True
18-3-2024 11:15:42,74,1394153,7401394153,LYS,BLR,A,1.09,MC,160.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18529617,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.09,160.0,4.0,1.0,1.0,0.27,40.0,4.0,True,True,0.27,40.0,,,,False
18-3-2024 11:15:42,74,1394153,7401394153,LYS,BLR,A,1.09,MC,160.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18529617,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.09,160.0,4.0,1.0,4.0,0.72,,1.0,True,True,0.72,,75.0,80.0,120.0,True
18-3-2024 11:15:42,74,1394153,7401394153,LYS,BLR,A,1.09,MC,160.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18529617,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.09,160.0,4.0,1.0,2.0,0.01,,2.0,True,True,0.01,,12.0,17.0,28.0,True
18-3-2024 11:15:42,74,1394153,7401394153,LYS,BLR,A,1.09,MC,160.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18529617,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.09,160.0,4.0,1.0,3.0,0.36,,1.0,True,True,0.36,,75.0,60.0,80.0,True
18-3-2024 11:15:42,74,1395240,7401395240,BLL,BLR,A,0.71,MC,104.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18530239,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.71,104.0,1.0,1.0,2.0,0.71,,1.0,True,True,0.71,104.0,74.0,80.0,120.0,True
18-3-2024 11:15:42,74,1395240,7401395240,BLL,BLR,A,0.71,MC,104.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18530239,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.71,104.0,1.0,1.0,1.0,0.71,104.0,1.0,True,True,0.71,104.0,,,,False
18-3-2024 11:15:42,74,1396813,7401396813,ARN,BLR,A,0.39,MC,124.0,K,2.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18531293,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.39,124.0,2.0,1.0,2.0,0.2,,2.0,True,True,0.2,62.0,41.0,60.0,80.0,True
18-3-2024 11:15:42,74,1396813,7401396813,ARN,BLR,A,0.39,MC,124.0,K,2.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18531293,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.39,124.0,2.0,1.0,1.0,0.2,62.0,2.0,True,True,0.2,62.0,,,,False
18-3-2024 11:15:42,74,47596625,7447596625,BOD,BLR,A,0.38,MC,127.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18519022,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.54,127.0,4.0,1.0,4.0,0.14,,1.0,True,True,0.14,,40.0,58.0,60.0,True
18-3-2024 11:15:42,74,47596625,7447596625,BOD,BLR,A,0.38,MC,127.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18519022,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.54,127.0,4.0,1.0,5.0,0.21,,1.0,True,True,0.21,,52.0,62.0,64.0,True
18-3-2024 11:15:42,74,47596625,7447596625,BOD,BLR,A,0.38,MC,127.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18519022,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.54,127.0,4.0,1.0,3.0,0.03,,1.0,True,True,0.03,,22.0,31.0,36.0,True
18-3-2024 11:15:42,74,47596625,7447596625,BOD,BLR,A,0.38,MC,127.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18519022,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.54,127.0,4.0,1.0,2.0,0.01,,1.0,True,True,0.01,,22.0,21.0,30.0,True
18-3-2024 11:15:42,74,49308523,7449308523,ATL,BLR,A,1.67,MC,210.9,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18527227,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.66,210.9,4.0,1.0,4.0,0.27,,1.0,True,True,0.27,,71.0,48.0,79.0,True
18-3-2024 11:15:42,74,49308523,7449308523,ATL,BLR,A,1.67,MC,210.9,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18527227,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.66,210.9,4.0,1.0,3.0,0.02,,1.0,True,True,0.02,,18.0,30.0,30.0,True
18-3-2024 11:15:42,74,49308523,7449308523,ATL,BLR,A,1.67,MC,210.9,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18527227,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.66,210.9,4.0,1.0,2.0,0.01,,1.0,True,True,0.01,,10.0,25.0,25.0,True
18-3-2024 11:15:42,74,49308523,7449308523,ATL,BLR,A,1.67,MC,210.9,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18527227,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.66,210.9,4.0,1.0,5.0,1.37,,1.0,True,True,1.37,,104.0,104.0,127.0,True
18-3-2024 11:15:42,74,49308523,7449308523,ATL,BLR,A,1.67,MC,210.9,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18527227,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,1.66,210.9,4.0,1.0,1.0,0.42,52.73,4.0,True,True,0.42,52.73,,,,False
18-3-2024 11:15:42,74,61536403,7461536403,ZRH,BLR,A,0.8,MC,466.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18502155,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.8,466.0,1.0,1.0,1.0,0.8,466.0,1.0,True,True,0.8,466.0,,,,False
18-3-2024 11:15:42,74,61536403,7461536403,ZRH,BLR,A,0.8,MC,466.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18502155,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.8,466.0,1.0,1.0,2.0,0.8,,1.0,True,True,0.8,466.0,103.0,88.0,88.0,True
18-3-2024 11:15:42,74,61758045,7461758045,FRA,BLR,A,18.82,MC,5940.0,K,23.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492517,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,18.81,5940.0,23.0,1.0,2.0,0.77,,15.0,True,True,0.77,,80.0,80.0,120.0,True
18-3-2024 11:15:42,74,61758045,7461758045,FRA,BLR,A,18.82,MC,5940.0,K,23.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492517,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,18.81,5940.0,23.0,1.0,3.0,0.91,,8.0,True,True,0.91,,95.0,80.0,120.0,True
18-3-2024 11:15:42,74,61758045,7461758045,FRA,BLR,A,18.82,MC,5940.0,K,23.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18492517,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,18.81,5940.0,23.0,1.0,1.0,0.82,258.26,23.0,True,True,0.82,258.26,,,,False
18-3-2024 11:15:42,74,61877546,7461877546,BCN,BLR,A,0.35,MC,76.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18523495,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.35,76.0,2.0,1.0,1.0,0.18,38.0,2.0,True,True,0.18,38.0,,,,False
18-3-2024 11:15:42,74,61877546,7461877546,BCN,BLR,A,0.35,MC,76.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18523495,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.35,76.0,2.0,1.0,2.0,0.18,,2.0,True,True,0.18,38.0,45.0,30.0,130.0,True
18-3-2024 11:15:42,74,62964731,7462964731,HAJ,BLR,A,9.98,MC,1203.0,K,8.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18438343,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,9.98,1203.0,8.0,,,,,,,,,,,,,
18-3-2024 11:15:42,74,63083650,7463083650,LIM,BLR,A,2.0,MC,960.0,K,2.0,S23,BERR,AMS,FFM,False,True,False,False,False,False,False,False,18516064,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,2.0,960.0,2.0,1.0,1.0,1.0,480.0,2.0,True,True,1.0,480.0,,,,False
18-3-2024 11:15:42,74,63083650,7463083650,LIM,BLR,A,2.0,MC,960.0,K,2.0,S23,BERR,AMS,FFM,False,True,False,False,False,False,False,False,18516064,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,2.0,960.0,2.0,1.0,2.0,2.03,,2.0,True,True,2.03,480.0,160.0,105.0,121.0,True
18-3-2024 11:15:42,74,63091895,7463091895,SWK,BLR,A,0.48,MC,115.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18504793,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.48,115.0,1.0,1.0,1.0,0.48,115.0,1.0,True,True,0.48,115.0,,,,False
18-3-2024 11:15:42,74,63091895,7463091895,SWK,BLR,A,0.48,MC,115.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18504793,KL,879,KL0879,,AMS,BLR,17-3-2024,2024-03-18,0.48,115.0,1.0,1.0,2.0,0.48,,1.0,True,True,0.48,115.0,100.0,60.0,80.0,True
