ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE96001KL,0,7400919236,1,1.0,M25,2,62.5,"0,37",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,1/4/2024 6:36,PG01,VG2/3,VG2/3,AKE96001KL,2.0,False,True,False
PMC97391DL,1,7401439631,1,,R21,6,1005.0,"8,56",HAM,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,,,,,PMC97391DL,,True,False,False
PMC32317KL,2,7401455473,1,,R21,5,426.0,"6,14",WAW,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,,,,,PMC32317KL,,True,False,False
PMC32209KL,0,7401459146,1,1.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:14,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,2.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:15,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,3.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,4.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:27,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,5.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:28,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,6.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,7.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:12,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,8.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:12,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,9.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,10.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,10.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,10.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,11.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,11.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,11.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,12.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,12.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,12.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,13.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,13.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,13.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,14.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,14.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,14.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,15.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,15.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,15.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,16.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,16.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,16.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,17.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,17.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,17.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC31510KL,0,7401459146,1,18.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:16:13,PL01,VG2/3,VG2/3,PMC31510KL,1.0,False,True,False
PMC07807KL,0,7401459146,1,18.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:15:29,PL01,VG2/3,VG2/3,PMC07807KL,1.0,False,True,False
PMC32209KL,0,7401459146,1,18.0,S23,18,7667.5,"25,92",AMS,DEL,KL,871,KL0871,2024-04-01,1/4/2024 14:11,1/4/2024 14:10,Aircraft,31-3-2024 20:14:16,PL01,VG2/3,VG2/3,PMC32209KL,1.0,False,True,False
