ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC32553KL,1,7400841131,1,,R21,13,1050.0,"11,24",ARN,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,,,,,PMC32553KL,,True,False,False
AKE97956KL,0,7400847895,1,1.0,R21,1,157.0,1,GOT,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 9:55,PG02,VG2/3,VG2/3,AKE97956KL,1.0,False,True,False
AKE95930KL,0,7401192365,1,3.0,R21,3,619.0,"3,61",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 8:53,PH01,VG2/3,VG2/3,AKE95930KL,1.0,False,True,False
PMC75835AF,0,7401192365,1,1.0,R21,3,619.0,"3,61",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:54,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
PMC75835AF,0,7401192365,1,2.0,R21,3,619.0,"3,61",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:54,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
AKE97245KL,0,7459136711,1,,S30,2,28.0,"0,01",UIO,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 16:43,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7459136744,1,,S30,1,11.0,"0,01",UIO,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 16:44,KLS,VG1,VG1,AKE97245KL,,False,False,True
PMC75835AF,0,7460456966,1,1.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
PMC75835AF,0,7460456966,1,2.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,11.0,False,True,False
PMC75835AF,0,7460456966,1,3.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,3.0,False,True,False
PMC75835AF,0,7460456966,1,4.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
PMC75835AF,0,7460456966,1,5.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
PMC75835AF,0,7460456966,1,6.0,R21,18,563.3,"4,07",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:51,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
AKE97240KL,0,7461353574,1,2.0,R21,2,156.0,"0,55",CPH,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 6:28,PH01,VG2/3,VG2/3,AKE97240KL,2.0,False,True,False
AKE97245KL,0,7463016881,1,,S30,1,10.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:58,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463016903,1,,S30,1,10.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:58,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463016936,1,,S30,1,19.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:58,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463016940,1,,S30,1,24.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:58,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463016951,1,,S30,1,8.0,"0,05",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463086424,1,,S30,1,8.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087043,1,,S30,1,10.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087054,1,,S30,1,9.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087905,1,,S30,1,7.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087916,1,,S30,1,7.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087920,1,,S30,1,8.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087931,1,,S30,1,8.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7463087942,1,,S30,1,8.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
PMC33263KL,2,7463131891,1,1.0,R21,1,376.0,"0,63",FRA,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:09,PH01,VG2/3,VG2/3,PMC33263KL,1.0,False,True,False
PMC33263KL,2,7463236880,1,1.0,R21,1,277.0,"0,72",ARN,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:08,PH01,VG2/3,VG2/3,PMC33263KL,1.0,False,True,False
PMC33263KL,2,7463243795,1,,R21,1,540.0,"4,11",MMX,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,,,,,PMC33263KL,,True,False,False
PMC21151KL,0,7463503182,1,,S50,12,276.0,"1,23",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 10:03,PG11,VG2/3,VG2/3,PMC21151KL,,False,True,False
PMC21151KL,0,7463877041,1,3.0,R91,8,556.8,"5,47",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 9:48,PG11,VG2/3,VG2/3,PMC21151KL,3.0,False,True,False
PMC22207KL,0,7463892216,1,,C01,149,2481.0,20,AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,,,,,PMC22207KL,,True,False,False
PMC32461KL,0,7463892216,1,,C01,149,2481.0,20,AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,,,,,PMC32461KL,,True,False,False
PMC75835AF,0,7463909775,1,1.0,M21,1,7.5,"0,07",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 8:07,PH01,VG2/3,VG2/3,PMC75835AF,1.0,False,True,False
AKE97240KL,0,7463909786,1,1.0,R21,1,132.0,"0,59",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 6:28,PH01,VG2/3,VG2/3,AKE97240KL,1.0,False,True,False
AKE97240KL,0,7464094936,1,1.0,R91,1,33.5,"0,11",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 6:29,PH01,VG2/3,VG2/3,AKE97240KL,1.0,False,True,False
PMC33263KL,2,7464111530,1,1.0,R91,1,2.0,"0,02",BRU,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 7:10,PH01,VG2/3,VG2/3,PMC33263KL,1.0,False,True,False
AKE97245KL,0,7464243756,1,,S30,6,69.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464243782,1,,S30,1,10.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464243793,1,,S30,1,9.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 3:59,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464243815,1,,S30,1,9.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464243826,1,,S30,1,18.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464244121,1,,S30,1,9.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464244165,1,,S30,1,9.0,"0,01",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464244320,1,,S30,1,13.0,"0,11",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464244331,1,,S30,1,18.0,"0,1",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
AKE97245KL,0,7464244353,1,,S30,1,9.0,"0,05",LIM,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,9/2/2024 4:00,KLS,VG1,VG1,AKE97245KL,,False,False,True
PMC21151KL,0,7464290715,1,1.0,R21,1,97.0,"0,87",AMS,DEL,KL,871,KL0871,2024-02-10,10/2/2024 12:45,10/2/2024 12:20,Aircraft,10/2/2024 9:59,PG11,VG2/3,VG2/3,PMC21151KL,1.0,False,True,False
