FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-24|AMS|KL|0871||2024-02-24|D|154411209|162176674,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,17,KG,B,Y,1.0,ULD,AKE95999KL,74.0,57.0,25-2-2024 05:10:53,AFT,43R,L,154411209,162176674,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411210|162176670,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,D,,1.0,ULD,AKE96901KL,682.0,57.0,25-2-2024 05:10:53,AFT,42R,L,154411210,162176670,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411210|162176671,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,607,KG,B,F,35.0,ULD,AKE96901KL,682.0,57.0,25-2-2024 05:10:53,AFT,42R,L,154411210,162176671,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411211|162176672,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,T,1.0,ULD,AKE70039KL,92.0,57.0,25-2-2024 05:10:53,AFT,43L,L,154411211,162176672,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411211|162176673,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,17,KG,B,Y,1.0,ULD,AKE70039KL,92.0,57.0,25-2-2024 05:10:53,AFT,43L,L,154411211,162176673,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411212|162176442,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,482,KG,B,Y,27.0,ULD,AKE95443KL,626.0,57.0,25-2-2024 05:10:53,AFT,35R,L,154411212,162176442,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411212|162176443,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,B,1.0,ULD,AKE95443KL,626.0,57.0,25-2-2024 05:10:53,AFT,35R,L,154411212,162176443,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411212|162176444,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,69,KG,B,F,4.0,ULD,AKE95443KL,626.0,57.0,25-2-2024 05:10:53,AFT,35R,L,154411212,162176444,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411213|162176441,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,607,KG,B,Y,34.0,ULD,AKE97607KL,664.0,57.0,25-2-2024 05:10:53,AFT,35L,L,154411213,162176441,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411214|162176450,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,624,KG,B,Y,35.0,ULD,AKE96936KL,681.0,57.0,25-2-2024 05:10:53,AFT,44R,L,154411214,162176450,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411215|162176440,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,558,KG,B,B,31.0,ULD,AKE95956KL,615.0,57.0,25-2-2024 05:10:53,AFT,34R,L,154411215,162176440,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411216|162176774,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,589,KG,B,Y,33.0,ULD,AKE95794KL,664.0,57.0,25-2-2024 05:10:53,AFT,41L,L,154411216,162176774,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411216|162176775,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,B,1.0,ULD,AKE95794KL,664.0,57.0,25-2-2024 05:10:53,AFT,41L,L,154411216,162176775,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411217|162176445,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,660,KG,B,Y,37.0,ULD,AKE96529KL,735.0,57.0,25-2-2024 05:10:53,AFT,36L,L,154411217,162176445,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411217|162176446,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,B,1.0,ULD,AKE96529KL,735.0,57.0,25-2-2024 05:10:53,AFT,36L,L,154411217,162176446,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411218|162176439,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,589,KG,B,Y,33.0,ULD,AKE96515KL,646.0,57.0,25-2-2024 05:10:53,AFT,34L,L,154411218,162176439,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411219|162176448,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,36,KG,B,B,2.0,ULD,AKE96652KL,682.0,57.0,25-2-2024 05:10:53,AFT,44L,L,154411219,162176448,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411219|162176449,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,589,KG,B,Y,33.0,ULD,AKE96652KL,682.0,57.0,25-2-2024 05:10:53,AFT,44L,L,154411219,162176449,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411220|162176447,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,463,KG,B,T,27.0,ULD,AKE95927KL,520.0,57.0,25-2-2024 05:10:53,AFT,36R,L,154411220,162176447,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411221|162150355,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,G,1.0,BLK,,,,25-2-2024 05:10:53,BLK,52,L,154411221,162150355,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411222|162150356,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,B,0.0,BLK,,,,25-2-2024 05:10:53,BLK,52,L,154411222,162150356,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411223|162150357,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,F,0.0,BLK,,,,25-2-2024 05:10:53,BLK,52,L,154411223,162150357,,
2024-02-24|AMS|KL|0871||2024-02-24|D|154411224|162150358,2024-02-24|KL|0871||AMS,ACTIVE,AMS,DEL,185,KG,B,Y,10.0,BLK,,,,25-2-2024 05:10:53,BLK,52,L,154411224,162150358,,
