BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
25-2-2024 12:45:45,57,48118674,5748118674,MUC,DEL,A,9.55,MC,6239.8,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18428044,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,12.47,6239.8,7.0,1.0,2.0,1.37,,7.0,True,True,1.37,891.4,105.0,114.0,114.0,True
25-2-2024 12:45:45,74,1252252,7401252252,LJU,DEL,A,,MC,,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18408051,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.01,37.0,2.0,1.0,3.0,0.23,,1.0,True,True,0.23,,81.0,45.0,62.0,True
25-2-2024 12:45:45,74,1252252,7401252252,LJU,DEL,A,,MC,,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18408051,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.01,37.0,2.0,1.0,2.0,0.02,,1.0,True,True,0.02,,17.0,32.0,39.0,True
25-2-2024 12:45:45,74,1272703,7401272703,AMS,DEL,A,0.13,MC,22.0,K,1.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18432010,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.13,22.0,1.0,1.0,2.0,1.51,,1.0,True,True,1.51,22.0,126.0,100.0,120.0,True
25-2-2024 12:45:45,74,1272703,7401272703,AMS,DEL,A,0.13,MC,22.0,K,1.0,S53,PHAR,AMS,FFM,False,False,True,False,False,False,False,False,18432010,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.13,22.0,1.0,1.0,1.0,0.13,22.0,1.0,True,True,0.13,22.0,,,,False
25-2-2024 12:45:45,74,1278082,7401278082,CPH,DEL,A,0.38,MC,106.7,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18437980,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.38,106.7,4.0,1.0,1.0,0.1,26.68,4.0,True,True,0.1,26.68,,,,False
25-2-2024 12:45:45,74,1278082,7401278082,CPH,DEL,A,0.38,MC,106.7,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18437980,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.38,106.7,4.0,1.0,2.0,0.1,,4.0,True,True,0.1,26.68,40.0,40.0,60.0,True
29-2-2024 13:21:05,74,55655106,7455655106,LAX,DEL,A,1.66,MC,1328.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18426852,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,1.1,885.3,2.0,,,,,,,,,,,,,
25-2-2024 12:45:45,74,58352523,7458352523,AMS,DEL,A,0.26,MC,24.2,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18441947,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.26,24.2,3.0,1.0,1.0,0.09,8.07,3.0,True,True,0.09,8.07,,,,False
25-2-2024 12:45:45,74,58352523,7458352523,AMS,DEL,A,0.26,MC,24.2,K,3.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18441947,KL,871,KL0871,,AMS,DEL,24-2-2024,2024-02-25,0.26,24.2,3.0,1.0,4.0,0.12,,1.0,True,True,0.12,,40.0,50.0,60.0,True
