FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-01|AMS|KL|0871||2024-01-01|D|152234491|159862112,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,20,KG,B,T,1.0,ULD,AKE94966KL,665.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152234491,159862112,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234491|159862113,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,588,KG,B,Y,30.0,ULD,AKE94966KL,665.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152234491,159862113,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234492|159862094,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,529,KG,B,Y,27.0,ULD,AKE70197KL,605.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152234492,159862094,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234492|159862095,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,19,KG,B,F,1.0,ULD,AKE70197KL,605.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152234492,159862095,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234493|159862117,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,608,KG,B,Y,31.0,ULD,AKE97639KL,665.0,57.0,16-2-2024 17:02:55,AFT,45L,L,152234493,159862117,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234495|159862096,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,588,KG,B,Y,30.0,ULD,AKE70127KL,645.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152234495,159862096,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234496|159862101,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,40,KG,B,T,2.0,ULD,AKE94800KL,705.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152234496,159862101,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234496|159862102,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,608,KG,B,Y,31.0,ULD,AKE94800KL,705.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152234496,159862102,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234497|159862118,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,608,KG,B,Y,31.0,ULD,AKE96906KL,665.0,57.0,16-2-2024 17:02:55,AFT,45R,L,152234497,159862118,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234498|159862108,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,627,KG,B,Y,32.0,ULD,AKE70187KL,730.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152234498,159862108,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234498|159862109,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,46,KG,B,B,2.0,ULD,AKE70187KL,730.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152234498,159862109,,
