FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-02|AMS|KL|0871||2024-01-02|D|152274854|159903527,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,666,KG,B,Y,35.0,ULD,AKE70146KL,723.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152274854,159903527,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274855|159902808,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,16,KG,B,F,1.0,ULD,AKE95993KL,643.0,57.0,16-2-2024 17:02:55,FWD,11R,L,152274855,159902808,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274855|159902809,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,552,KG,B,Y,29.0,ULD,AKE95993KL,643.0,57.0,16-2-2024 17:02:55,FWD,11R,L,152274855,159902809,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274855|159902810,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,T,1.0,ULD,AKE95993KL,643.0,57.0,16-2-2024 17:02:55,FWD,11R,L,152274855,159902810,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274856|159902834,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,685,KG,B,Y,36.0,ULD,AKE95106KL,742.0,57.0,16-2-2024 17:02:55,AFT,36R,L,152274856,159902834,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274857|159902813,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,52,KG,B,B,3.0,ULD,AKE94784KL,756.0,57.0,16-2-2024 17:02:55,FWD,12R,L,152274857,159902813,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274857|159902814,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,647,KG,B,Y,34.0,ULD,AKE94784KL,756.0,57.0,16-2-2024 17:02:55,FWD,12R,L,152274857,159902814,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274858|159902833,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,590,KG,B,Y,31.0,ULD,AKE95084KL,647.0,57.0,16-2-2024 17:02:55,AFT,36L,L,152274858,159902833,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274859|159902811,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,571,KG,B,Y,30.0,ULD,AKE97196KL,680.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152274859,159902811,,
2024-01-02|AMS|KL|0871||2024-01-02|D|152274859|159902812,2024-01-02|KL|0871||AMS,ACTIVE,AMS,DEL,52,KG,B,B,3.0,ULD,AKE97196KL,680.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152274859,159902812,,
