ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC24013KL,0,7459169246,1,1.0,R21,1,114.5,"0,45",DUB,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:21:42,PG03,VG2/3,VG2/3,PMC24013KL,1.0,False,True,False
PMC24013KL,0,7461575404,1,1.0,R21,6,253.5,"0,75",AMS,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:19:43,PG03,VG2/3,VG2/3,PMC24013KL,6.0,False,True,False
PMC24013KL,0,7461690624,1,1.0,R21,4,296.4,"0,57",HEL,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:26:09,PG03,VG2/3,VG2/3,PMC24013KL,4.0,False,True,False
PMC68589AF,0,7462049724,1,1.0,R21,5,68.3,"0,73",ARN,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:07:15,PG01,VG2/3,VG2/3,PMC68589AF,4.0,False,True,False
PMC68589AF,0,7462049724,1,2.0,R21,5,68.3,"0,73",ARN,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:07:15,PG01,VG2/3,VG2/3,PMC68589AF,1.0,False,True,False
PMC71978AF,0,7462066896,1,1.0,R21,1,108.5,"0,86",CPH,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:28:17,PL11,VG2/3,VG2/3,PMC71978AF,1.0,False,True,False
PMC68589AF,0,7462066900,1,1.0,R21,1,67.0,"0,27",CPH,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 07:10:49,PG01,VG2/3,VG2/3,PMC68589AF,1.0,False,True,False
AKE96650KL,2,7462734976,1,,S30,12,217.0,"1,3",DAR,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,20-1-2024 16:05:29,KLS,VG1,VG1,AKE96650KL,,False,False,True
PMC71978AF,0,7462755836,1,1.0,R21,1,109.9,"0,3",FRA,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,21-1-2024 09:16:16,PL11,VG2/3,VG2/3,PMC71978AF,1.0,False,True,False
AKE96650KL,2,7463076576,1,,S30,1,16.0,"0,01",LIM,DEL,KL,871,KL0871,2024-01-21,21-1-2024 12:56:00,21-1-2024 12:20:00,Aircraft,20-1-2024 16:05:33,KLS,VG1,VG1,AKE96650KL,,False,False,True
