BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
23-1-2024 13:31:07,74,1132832,7401132832,AMS,DEL,A,8.92,MC,1946.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18260382,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,8.91,1946.0,7.0,1.0,4.0,1.4,,2.0,True,True,1.4,,117.0,100.0,120.0,True
23-1-2024 13:31:07,74,1132832,7401132832,AMS,DEL,A,8.92,MC,1946.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18260382,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,8.91,1946.0,7.0,1.0,2.0,0.47,,1.0,True,True,0.47,,70.0,70.0,96.0,True
23-1-2024 13:31:07,74,1132832,7401132832,AMS,DEL,A,8.92,MC,1946.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18260382,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,8.91,1946.0,7.0,1.0,3.0,1.32,,2.0,True,True,1.32,,110.0,100.0,120.0,True
23-1-2024 13:31:07,74,1132832,7401132832,AMS,DEL,A,8.92,MC,1946.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18260382,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,8.91,1946.0,7.0,1.0,1.0,1.27,278.0,7.0,True,True,1.27,278.0,,,,False
23-1-2024 13:31:07,74,1132832,7401132832,AMS,DEL,A,8.92,MC,1946.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18260382,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,8.91,1946.0,7.0,1.0,5.0,1.5,,2.0,True,True,1.5,,125.0,100.0,120.0,True
23-1-2024 13:31:07,74,1136494,7401136494,LHR,DEL,A,0.76,MC,84.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18265185,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,0.76,84.0,1.0,1.0,2.0,0.77,,1.0,True,True,0.77,84.0,80.0,80.0,120.0,True
23-1-2024 13:31:07,74,1136494,7401136494,LHR,DEL,A,0.76,MC,84.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18265185,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,0.76,84.0,1.0,1.0,1.0,0.76,84.0,1.0,True,True,0.76,84.0,,,,False
23-1-2024 13:31:07,74,60075481,7460075481,IAD,DEL,A,1.16,MC,107.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18270419,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,1.16,107.0,1.0,1.0,1.0,1.16,107.0,1.0,True,True,1.16,107.0,,,,False
23-1-2024 13:31:07,74,60075481,7460075481,IAD,DEL,A,1.16,MC,107.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18270419,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,1.16,107.0,1.0,1.0,2.0,1.17,,1.0,True,True,1.17,107.0,94.0,102.0,122.0,True
23-1-2024 13:31:07,74,60456745,7460456745,BRU,DEL,A,6.13,MC,621.2,K,8.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18215118,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,6.13,621.2,8.0,1.0,1.0,0.77,77.65,8.0,True,True,0.77,77.65,,,,False
23-1-2024 13:31:07,74,61742962,7461742962,LIM,DEL,A,0.02,MC,15.0,K,1.0,S30,GOLD,AMS,FFM,False,False,False,False,False,False,False,False,18269080,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,0.01,15.0,1.0,1.0,1.0,0.02,15.0,1.0,True,True,0.02,15.0,,,,False
23-1-2024 13:31:07,74,61742973,7461742973,LIM,DEL,A,0.02,MC,15.0,K,1.0,S30,GOLD,AMS,FFM,False,False,False,False,False,False,False,False,18269088,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,0.01,15.0,1.0,1.0,1.0,0.02,15.0,1.0,True,True,0.02,15.0,,,,False
23-1-2024 13:31:07,74,62387452,7462387452,HAJ,DEL,A,10.0,MC,1143.4,K,7.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18214372,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,10.0,1143.4,7.0,1.0,4.0,1.43,163.34,7.0,True,True,0.43,163.34,45.0,80.0,120.0,True
23-1-2024 13:31:07,74,62387452,7462387452,HAJ,DEL,A,10.0,MC,1143.4,K,7.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18214372,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,10.0,1143.4,7.0,1.0,6.0,0.01,,1.0,True,True,0.96,,100.0,80.0,120.0,True
23-1-2024 13:31:07,74,62387452,7462387452,HAJ,DEL,A,10.0,MC,1143.4,K,7.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18214372,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,10.0,1143.4,7.0,1.0,1.0,0.82,,1.0,True,True,,,,,,
23-1-2024 13:31:07,74,62387452,7462387452,HAJ,DEL,A,10.0,MC,1143.4,K,7.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18214372,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,10.0,1143.4,7.0,1.0,3.0,1.06,,2.0,True,True,0.01,,9.0,13.0,107.0,True
23-1-2024 13:31:07,74,62387452,7462387452,HAJ,DEL,A,10.0,MC,1143.4,K,7.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18214372,KL,871,KL0871,,AMS,DEL,22-1-2024,2024-01-23,10.0,1143.4,7.0,1.0,7.0,0.43,,1.0,True,True,1.06,,110.0,80.0,120.0,True
