ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG14164KL,0,5708414722,1,1.0,R21,1,78.0,"0,6",MAD,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,16-3-2024 15:11:22,PG13,VG2/3,VG2/3,PAG14164KL,1.0,False,True,False
PAG14164KL,0,5708414722,1,2.0,R21,1,78.0,"0,6",MAD,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,16-3-2024 15:11:22,PG13,VG2/3,VG2/3,PAG14164KL,1.0,False,True,False
PMC76182AF,1,7401349456,1,,C01,4,665.0,10,LYS,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,,,,,PMC76182AF,,True,False,False
PMC32228KL,9,7401362911,1,,R21,3,772.0,"3,05",BRE,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,17-3-2024 09:15:12,PG01,VG2/3,VG2/3,PMC32228KL,,False,True,False
PAG14164KL,0,7401363412,1,1.0,R21,1,89.0,"1,08",BCN,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,16-3-2024 15:11:24,PG13,VG2/3,VG2/3,PAG14164KL,1.0,False,True,False
PAG14164KL,0,7401363412,1,2.0,R21,1,89.0,"1,08",BCN,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,16-3-2024 15:11:24,PG13,VG2/3,VG2/3,PAG14164KL,1.0,False,True,False
PMC32228KL,9,7401375275,1,1.0,R21,1,148.0,"0,28",YYC,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,17-3-2024 09:28:32,PG01,VG2/3,VG2/3,PMC32228KL,1.0,False,True,False
PMC32228KL,9,7446562902,1,,R21,1,278.0,"0,77",HEL,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,,,,,PMC32228KL,,True,False,False
PMC32228KL,9,7449264740,1,1.0,C51,2,18.0,"0,09",IAD,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,17-3-2024 09:21:02,PG01,VG2/3,VG2/3,PMC32228KL,2.0,False,True,False
PMC32228KL,9,7456322523,1,1.0,M25,1,64.0,"0,59",ATL,DEL,KL,871,KL0871,2024-03-17,17-3-2024 12:32:00,17-3-2024 12:20:00,Aircraft,17-3-2024 09:18:12,PG01,VG2/3,VG2/3,PMC32228KL,1.0,False,True,False
