FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-21|AMS|KL|0871||2024-03-21|D|155467105|163297134,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,252,KG,B,Y,14.0,ULD,AKE96911KL,398.0,57.0,22-3-2024 04:28:41,AFT,42R,L,155467105,163297134,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467105|163297135,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,72,KG,B,F,4.0,ULD,AKE96911KL,398.0,57.0,22-3-2024 04:28:41,AFT,42R,L,155467105,163297135,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467105|163297136,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,17,KG,B,T,1.0,ULD,AKE96911KL,398.0,57.0,22-3-2024 04:28:41,AFT,42R,L,155467105,163297136,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467106|163297131,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,B,Y,1.0,ULD,AKE97093KL,582.0,57.0,22-3-2024 04:28:41,AFT,42L,L,155467106,163297131,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467106|163297132,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,489,KG,B,F,27.0,ULD,AKE97093KL,582.0,57.0,22-3-2024 04:28:41,AFT,42L,L,155467106,163297132,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467106|163297133,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,18,KG,D,,1.0,ULD,AKE97093KL,582.0,57.0,22-3-2024 04:28:41,AFT,42L,L,155467106,163297133,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467107|163296290,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,811,KG,B,Y,45.0,ULD,AKE98089KL,868.0,57.0,22-3-2024 04:28:41,AFT,33R,L,155467107,163296290,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467108|163296594,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,126,KG,B,F,7.0,ULD,AKE96290KL,573.0,57.0,22-3-2024 04:28:41,AFT,34R,L,155467108,163296594,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467108|163296595,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,360,KG,B,Y,20.0,ULD,AKE96290KL,573.0,57.0,22-3-2024 04:28:41,AFT,34R,L,155467108,163296595,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467108|163296596,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,30,KG,B,T,2.0,ULD,AKE96290KL,573.0,57.0,22-3-2024 04:28:41,AFT,34R,L,155467108,163296596,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467109|163296288,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,739,KG,B,Y,41.0,ULD,AKE96065KL,796.0,57.0,22-3-2024 04:28:41,AFT,32R,L,155467109,163296288,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467110|163296591,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,126,KG,B,F,7.0,ULD,AKE97532KL,682.0,57.0,22-3-2024 04:28:41,AFT,34L,L,155467110,163296591,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467110|163296592,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,469,KG,B,Y,26.0,ULD,AKE97532KL,682.0,57.0,22-3-2024 04:28:41,AFT,34L,L,155467110,163296592,,
2024-03-21|AMS|KL|0871||2024-03-21|D|155467110|163296593,2024-03-21|KL|0871||AMS,ACTIVE,AMS,DEL,30,KG,B,T,2.0,ULD,AKE97532KL,682.0,57.0,22-3-2024 04:28:41,AFT,34L,L,155467110,163296593,,
