ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG03429KL,2,5748424994,1,,R21,11,1982.0,"6,66",BOM,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,,,,,PAG03429KL,,True,False,False
PMC75062AF,0,5749647080,1,1.0,R21,1,200.7,"0,75",BOM,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:07,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC23753KL,0,5749995680,1,1.0,R21,3,500.0,"0,91",DEL,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,29-1-2024 12:12:33,,,,PMC23753KL,3.0,False,False,False
PMC76026AF,0,7400785234,1,1.0,R21,3,813.0,"2,51",FMO,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:25,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC75062AF,0,7400785234,1,2.0,R21,3,813.0,"2,51",FMO,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:04,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC75062AF,0,7400785234,1,3.0,R21,3,813.0,"2,51",FMO,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:04,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC29166KL,5,7401146913,1,1.0,R21,3,1130.0,"2,04",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:29,PL01,VG2/3,VG2/3,PMC29166KL,1.0,False,True,False
PMC76026AF,0,7401146913,1,2.0,R21,3,1130.0,"2,04",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:30,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC76026AF,0,7401146913,1,3.0,R21,3,1130.0,"2,04",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:30,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC71833AF,5,7401147823,1,1.0,R21,1,377.0,"0,77",DEL,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:07,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC29166KL,5,7401153073,1,,M25,13,1976.0,4,DEL,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,,,,,PMC29166KL,,True,False,False
PMC75062AF,0,7401154860,1,1.0,R21,1,147.0,"1,1",HEL,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:09,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
AKE96123KL,0,7401160040,1,1.0,M21,1,22.0,"0,04",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 3:39,PL01,VG2/3,VG2/3,AKE96123KL,1.0,False,True,False
PMC21001KL,9,7401160062,1,1.0,R21,1,274.0,"0,58",FRA,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:14,PL04,VG2/3,VG2/3,PMC21001KL,1.0,False,True,False
PLB42070KL,0,7401160386,1,1.0,R21,2,338.0,"2,02",SVG,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:12,PL03,VG2/3,VG2/3,PLB42070KL,1.0,False,True,False
PLB42070KL,0,7401160386,1,2.0,R21,2,338.0,"2,02",SVG,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:12,PL03,VG2/3,VG2/3,PLB42070KL,1.0,False,True,False
PMC29166KL,5,7401160762,1,1.0,R21,1,245.4,"0,7",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:23,PL01,VG2/3,VG2/3,PMC29166KL,1.0,False,True,False
PMC21001KL,9,7401164730,1,,R21,2,360.0,"2,69",SWK,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,,,,,PMC21001KL,,True,False,False
PMC76026AF,0,7401169173,1,1.0,R21,1,68.0,"0,6",FRA,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:42,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC76026AF,0,7401169173,1,2.0,R21,1,68.0,"0,6",FRA,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:42,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PAG03429KL,2,7401169184,1,4.0,R21,5,1040.0,"2,63",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:54,PL01,VG2/3,VG2/3,PAG03429KL,1.0,False,True,False
PMC29166KL,5,7401169184,1,1.0,R21,5,1040.0,"2,63",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:23,PL01,VG2/3,VG2/3,PMC29166KL,1.0,False,True,False
PMC76026AF,0,7401169184,1,3.0,R21,5,1040.0,"2,63",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:36,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC76026AF,0,7401169184,1,2.0,R21,5,1040.0,"2,63",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:36,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC75062AF,0,7401169184,1,5.0,R21,5,1040.0,"2,63",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:20,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC23753KL,0,7401176280,1,1.0,M25,1,60.0,"0,57",CPH,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:39,PL03,VG2/3,VG2/3,PMC23753KL,1.0,False,True,False
PMC76026AF,0,7401178365,1,1.0,R21,8,73.4,"0,29",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:39,PL01,VG2/3,VG2/3,PMC76026AF,8.0,False,True,False
AKE96123KL,0,7410740693,1,1.0,M25,1,10.0,"0,05",BOM,MSY,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 3:38,PL01,VG2/3,VG2/3,AKE96123KL,1.0,False,True,False
PMC76026AF,0,7436061222,1,1.0,R21,1,205.0,"0,79",ZRH,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:32,PL01,VG2/3,VG2/3,PMC76026AF,1.0,False,True,False
PMC71833AF,5,7436863153,1,1.0,R21,2,203.0,"0,65",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:12,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC29166KL,5,7436863153,1,2.0,R21,2,203.0,"0,65",AMS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:28,PL01,VG2/3,VG2/3,PMC29166KL,1.0,False,True,False
AKE96123KL,0,7447827360,1,1.0,M21,1,12.0,"0,08",ABZ,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 3:40,PL01,VG2/3,VG2/3,AKE96123KL,1.0,False,True,False
PMC71833AF,5,7450579513,1,1.0,R21,1,215.0,"0,54",FRA,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:05,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC21001KL,9,7458497202,1,1.0,R21,2,357.0,"1,82",BRU,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:25,PL04,VG2/3,VG2/3,PMC21001KL,1.0,False,True,False
PMC21001KL,9,7458497202,1,2.0,R21,2,357.0,"1,82",BRU,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:25,PL04,VG2/3,VG2/3,PMC21001KL,1.0,False,True,False
PMC23753KL,0,7460370516,1,1.0,R21,2,1111.0,"2,23",SWK,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:42,PL03,VG2/3,VG2/3,PMC23753KL,1.0,False,True,False
PMC29166KL,5,7460370516,1,2.0,R21,2,1111.0,"2,23",SWK,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 6:26,PL01,VG2/3,VG2/3,PMC29166KL,1.0,False,True,False
PMC75062AF,0,7460591263,1,4.0,R21,17,594.0,"5,88",PEN,DFW,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:16,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC75062AF,0,7460591263,1,5.0,R21,17,594.0,"5,88",PEN,DFW,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:16,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC75062AF,0,7460591263,1,6.0,R21,17,594.0,"5,88",PEN,DFW,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:16,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC75062AF,0,7460591263,1,7.0,R21,17,594.0,"5,88",PEN,DFW,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 7:16,PL01,VG2/3,VG2/3,PMC75062AF,1.0,False,True,False
PMC71833AF,5,7460602555,1,1.0,R21,1,83.0,"0,77",MAN,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:00,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC71833AF,5,7461487031,1,,R21,4,468.0,"1,82",BLR,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,,,,,PMC71833AF,,True,False,False
AKE96123KL,0,7461487031,1,,R21,4,468.0,"1,82",BLR,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 3:30,PL01,VG2/3,VG2/3,AKE96123KL,,False,True,False
PMC69858AF,12,7462027195,1,1.0,R21,1,195.0,"0,59",MUC,LRD,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 3:56,PL02,VG2/3,VG2/3,PMC69858AF,1.0,False,True,False
PMC71833AF,5,7462027965,1,1.0,R21,1,190.0,"0,84",LYS,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:01,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC71833AF,5,7462254824,1,1.0,R21,1,50.0,"0,48",FRA,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,1/2/2024 4:08,PL05,VG2/3,VG2/3,PMC71833AF,1.0,False,True,False
PMC69858AF,12,7462320650,1,,R21,4,460.0,"1,83",SWK,IAH,KL,661,KL0661,2024-02-01,1/2/2024 10:01,1/2/2024 10:05,Aircraft,,,,,PMC69858AF,,True,False,False
