FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-19|AMS|KL|0661||2024-02-19|D|154199662|161950946,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,616,KG,B,F,39.0,ULD,AKE97219KL,754.0,57.0,20-2-2024 04:33:26,AFT,42R,L,154199662,161950946,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199662|161950947,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,27,KG,B,T,2.0,ULD,AKE97219KL,754.0,57.0,20-2-2024 04:33:26,AFT,42R,L,154199662,161950947,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199662|161950948,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,54,KG,D,,3.0,ULD,AKE97219KL,754.0,57.0,20-2-2024 04:33:26,AFT,42R,L,154199662,161950948,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199663|161950944,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,208,KG,B,Y,13.0,ULD,AKE98048KL,280.0,57.0,20-2-2024 04:33:26,AFT,42L,L,154199663,161950944,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199663|161950945,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,15,KG,B,F,1.0,ULD,AKE98048KL,280.0,57.0,20-2-2024 04:33:26,AFT,42L,L,154199663,161950945,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199664|161950950,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,284,KG,B,F,18.0,ULD,AKE97296KL,395.0,57.0,20-2-2024 04:33:26,AFT,43R,L,154199664,161950950,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199664|161950951,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,54,KG,D,,3.0,ULD,AKE97296KL,395.0,57.0,20-2-2024 04:33:26,AFT,43R,L,154199664,161950951,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199665|161950949,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,738,KG,B,Y,46.0,ULD,AKE70034KL,795.0,57.0,20-2-2024 04:33:26,AFT,43L,L,154199665,161950949,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199666|161950953,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,754,KG,B,Y,47.0,ULD,AKE97074KL,811.0,57.0,20-2-2024 04:33:26,AFT,44R,L,154199666,161950953,,
2024-02-19|AMS|KL|0661||2024-02-19|D|154199667|161950952,2024-02-19|KL|0661||AMS,ACTIVE,AMS,IAH,738,KG,B,Y,46.0,ULD,AKE97182KL,795.0,57.0,20-2-2024 04:33:26,AFT,44L,L,154199667,161950952,,
