FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-07|AMS|KL|0661||2024-01-07|D|152483588|160125700,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,21,KG,B,B,1.0,ULD,AKE70087KL,514.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152483588,160125700,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483588|160125701,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,19,KG,B,F,1.0,ULD,AKE70087KL,514.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152483588,160125701,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483588|160125702,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,417,KG,B,Y,24.0,ULD,AKE70087KL,514.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152483588,160125702,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483589|160125466,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,256,KG,B,B,13.0,ULD,AKE97870KL,782.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152483589,160125466,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483589|160125467,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,469,KG,B,Y,27.0,ULD,AKE97870KL,782.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152483589,160125467,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483590|160125694,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,538,KG,B,Y,31.0,ULD,AKE94979KL,733.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152483590,160125694,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483590|160125695,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,138,KG,B,B,7.0,ULD,AKE94979KL,733.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152483590,160125695,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483591|160125705,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,730,KG,B,Y,42.0,ULD,AKE97435KL,787.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152483591,160125705,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483593|160125468,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,764,KG,B,Y,44.0,ULD,AKE96221KL,821.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152483593,160125468,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483594|160125703,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,671,KG,B,F,35.0,ULD,AKE95956KL,745.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152483594,160125703,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483594|160125704,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,17,KG,B,Y,1.0,ULD,AKE95956KL,745.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152483594,160125704,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483595|160100157,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152483595,160100157,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483596|160100158,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152483596,160100158,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483597|160100159,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152483597,160100159,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483598|160100160,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,21,KG,B,Y,1.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152483598,160100160,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152483599|160100161,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152483599,160100161,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152498626|160125465,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,782,KG,B,Y,45.0,ULD,AKE94881KL,839.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152498626,160125465,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152498627|160125696,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,36,KG,D,,2.0,ULD,AKE95412KL,735.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152498627,160125696,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152498627|160125697,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,17,KG,B,Y,1.0,ULD,AKE95412KL,735.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152498627,160125697,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152498627|160125698,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,31,KG,B,T,2.0,ULD,AKE95412KL,735.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152498627,160125698,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152498627|160125699,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,594,KG,B,F,31.0,ULD,AKE95412KL,735.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152498627,160125699,,
2024-01-07|AMS|KL|0661||2024-01-07|D|152501925|160119285,2024-01-07|KL|0661||AMS,ACTIVE,AMS,IAH,1960,KG,C,,,ULD,PMC24847KL,2085.0,125.0,16-2-2024 17:02:55,FWD,21P,L,152501925,160119285,,
