ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE97722KL,0,5748660990,1,1.0,R91,3,97.5,"0,22",DXB,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 00:37:01,PL04,VG2/3,VG2/3,AKE97722KL,3.0,False,True,False
PMC67111AF,1,5749785444,1,,R91,5,3608.0,9,DXB,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,,,,,PMC67111AF,,True,False,False
PMC22888KL,0,5749854803,1,1.0,R21,2,341.0,"0,34",BOM,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 03:45:17,PL03,VG2/3,VG2/3,PMC22888KL,1.0,False,True,False
PMC22888KL,0,5749854803,1,2.0,R21,2,341.0,"0,34",BOM,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 03:45:17,PL03,VG2/3,VG2/3,PMC22888KL,1.0,False,True,False
PMC22888KL,0,7401115726,1,2.0,R21,9,1823.0,"4,9",VIE,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 03:42:14,PL03,VG2/3,VG2/3,PMC22888KL,3.0,False,True,False
PMC22888KL,0,7401115726,1,1.0,R21,9,1823.0,"4,9",VIE,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 03:40:05,PL03,VG2/3,VG2/3,PMC22888KL,3.0,False,True,False
PMC22888KL,0,7401115726,1,3.0,R21,9,1823.0,"4,9",VIE,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 03:48:11,PL03,VG2/3,VG2/3,PMC22888KL,3.0,False,True,False
PMC72418AF,0,7401119182,1,1.0,R21,3,930.0,"1,58",FMO,MSY,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 07:06:22,PL04,VG2/3,VG2/3,PMC72418AF,2.0,False,True,False
PMC76541AF,0,7401119182,1,2.0,R21,3,930.0,"1,58",FMO,MSY,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,22-1-2024 06:18:53,PL04,VG2/3,VG2/3,PMC76541AF,1.0,False,True,False
PMC28098KL,5,7401121326,1,,R21,1,610.0,"2,9",STR,IAH,KL,661,KL0661,2024-01-22,22-1-2024 10:55:00,22-1-2024 10:05:00,Aircraft,,,,,PMC28098KL,,True,False,False
