BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
27-1-2024 10:31:26,57,46267491,5746267491,BSL,IAH,A,0.02,MC,2.9,K,1.0,M25,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18277255,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.02,2.9,1.0,1.0,1.0,0.02,2.9,1.0,True,True,0.02,2.9,,,,False
27-1-2024 10:31:26,57,46267491,5746267491,BSL,IAH,A,0.02,MC,2.9,K,1.0,M25,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18277255,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.02,2.9,1.0,1.0,2.0,0.02,,1.0,True,True,0.02,2.9,30.0,21.0,33.0,True
28-1-2024 16:36:11,57,47325036,5747325036,ZAG,LRD,A,0.83,MC,182.0,K,1.0,R21,GENE,IAH,FWB,False,False,False,False,False,False,False,False,18266537,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.83,182.0,1.0,1.0,1.0,0.83,182.0,1.0,True,True,0.83,182.0,80.0,80.0,130.0,True
28-1-2024 16:36:11,57,47325036,5747325036,ZAG,LRD,A,0.83,MC,182.0,K,1.0,R21,GENE,IAH,FWB,False,False,False,False,False,False,False,False,18266537,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.83,182.0,1.0,1.0,2.0,0.83,182.0,1.0,True,True,0.83,182.0,,,,False
27-1-2024 10:31:26,57,50006950,5750006950,DXB,IAH,A,0.4,MC,287.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18264835,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.4,287.0,2.0,1.0,2.0,0.2,,2.0,True,True,0.2,143.5,39.0,24.0,213.0,True
27-1-2024 10:31:26,57,50006950,5750006950,DXB,IAH,A,0.4,MC,287.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18264835,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.4,287.0,2.0,1.0,1.0,0.2,143.5,2.0,True,True,0.2,143.5,,,,False
28-1-2024 10:26:05,74,760491,7400760491,ARN,IAH,A,37.0,MC,18865.0,K,11.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18257867,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,13.3,1715.0,1.0,,,,,,,,,,,,,
2/2/2024 11:10,74,782095,7400782095,RTM,IAH,A,0.57,MC,146.6,K,14.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18275303,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.47,126.6,12.0,,,,,,,,,,,,,
30-1-2024 20:47:52,74,788513,7400788513,RTM,IAH,A,0.47,MC,77.2,K,6.0,R21,BOAT,RTM,FFM,False,False,False,False,False,False,False,True,18300219,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,0.47,77.2,6.0,1.0,1.0,0.08,12.87,6.0,True,True,0.08,12.87,,,,False
27-1-2024 10:31:26,74,1122704,7401122704,BRU,IAH,A,6.9,MC,1150.6,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18249625,KL,661,KL0661,,AMS,IAH,26-1-2024,2024-01-27,6.9,1150.6,3.0,1.0,1.0,2.3,383.53,3.0,True,True,2.3,383.53,,,,False
