ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG15942KL,1,7401275083,1,,R21,8,257.0,"1,3",OSL,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 2:39,PL01,VG2/3,VG2/3,PAG15942KL,,False,True,False
PMC22299KL,0,7401281114,1,1.0,R21,1,150.0,"0,46",HEL,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 6:46,PL05,VG2/3,VG2/3,PMC22299KL,1.0,False,True,False
PMC64272AF,0,7401282923,1,1.0,R21,5,100.0,"0,44",OSL,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 3:53,PL01,VG2/3,VG2/3,PMC64272AF,5.0,False,True,False
PMC64272AF,0,7401284555,1,1.0,R21,1,216.0,"0,48",FRA,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 3:50,PL01,VG2/3,VG2/3,PMC64272AF,1.0,False,True,False
PMC13467AF,0,7401286272,1,1.0,R21,1,171.0,"0,67",FMO,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 4:56,PL01,VG2/3,VG2/3,PMC13467AF,1.0,False,True,False
PMC13467AF,0,7401298581,1,1.0,R21,1,42.0,"0,1",FMO,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 4:57,PL01,VG2/3,VG2/3,PMC13467AF,1.0,False,True,False
PMC21342MP,0,7401300434,1,1.0,M21,1,1.5,"0,03",AMS,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 3:41,PG01,VG2/3,VG2/3,PMC21342MP,1.0,False,True,False
PMC65738AF,0,7401301274,1,1.0,M21,3,16.8,"0,12",AMS,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 1:33,PL01,VG2/3,VG2/3,PMC65738AF,3.0,False,True,False
PMC65738AF,0,7401303540,1,1.0,R21,1,200.0,"0,7",DUS,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 1:12,PL01,VG2/3,VG2/3,PMC65738AF,1.0,False,True,False
PMC65738AF,0,7401305835,1,1.0,M21,3,24.0,"0,16",BLL,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 1:33,PL01,VG2/3,VG2/3,PMC65738AF,3.0,False,True,False
PMC64272AF,0,7401307541,1,1.0,R21,3,1382.0,"3,19",AMS,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 3:37,PL01,VG2/3,VG2/3,PMC64272AF,1.0,False,True,False
PMC64272AF,0,7401307541,1,2.0,R21,3,1382.0,"3,19",AMS,IAH,KL,661,KL0661,2024-03-01,1/3/2024 10:10,1/3/2024 10:05,Aircraft,1/3/2024 3:37,PL01,VG2/3,VG2/3,PMC64272AF,1.0,False,True,False
