FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-19|AMS|KL|0661||2024-03-19|D|155383709|163205340,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,92,KG,B,T,4.0,ULD,AKE95731KL,756.0,57.0,20-3-2024 04:28:06,AFT,42L,L,155383709,163205340,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383709|163205341,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,571,KG,B,F,32.0,ULD,AKE95731KL,756.0,57.0,20-3-2024 04:28:06,AFT,42L,L,155383709,163205341,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383709|163205342,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,36,KG,D,,2.0,ULD,AKE95731KL,756.0,57.0,20-3-2024 04:28:06,AFT,42L,L,155383709,163205342,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383710|163205334,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,714,KG,B,Y,44.0,ULD,AKE97384KL,771.0,57.0,20-3-2024 04:28:06,AFT,32L,L,155383710,163205334,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383711|163205339,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,178,KG,B,F,10.0,ULD,AKE70090KL,235.0,57.0,20-3-2024 04:28:06,AFT,41R,L,155383711,163205339,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383712|163205336,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,812,KG,B,Y,50.0,ULD,AKE95849KL,869.0,57.0,20-3-2024 04:28:06,AFT,33L,L,155383712,163205336,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383713|163205338,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,665,KG,B,Y,41.0,ULD,AKE96719KL,722.0,57.0,20-3-2024 04:28:06,AFT,41L,L,155383713,163205338,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383714|163205332,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,181,KG,B,B,5.0,ULD,AKE70055KL,838.0,57.0,20-3-2024 04:28:06,AFT,31L,L,155383714,163205332,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383714|163205333,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,600,KG,B,Y,37.0,ULD,AKE70055KL,838.0,57.0,20-3-2024 04:28:06,AFT,31L,L,155383714,163205333,,
2024-03-19|AMS|KL|0661||2024-03-19|D|155383716|163205335,2024-03-19|KL|0661||AMS,ACTIVE,AMS,IAH,763,KG,B,Y,47.0,ULD,AKE95541KL,820.0,57.0,20-3-2024 04:28:06,AFT,32R,L,155383716,163205335,,
