ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE11240AF,0,5750282131,1,1.0,R21,2,117.0,"0,23",BTS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:53,72A03,Unknown,Unknown,AKE11240AF,2.0,False,False,False
AKE96291KL,0,7401448031,1,1.0,R21,1,365.0,"1,14",KRK,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 14:27,PL12,VG2/3,VG2/3,AKE96291KL,1.0,False,True,False
PAG15137KL,0,7401459732,1,1.0,R21,1,70.0,"0,77",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 16:58,PL11,VG2/3,VG2/3,PAG15137KL,1.0,False,True,False
PAG15137KL,0,7401459732,1,2.0,R21,1,70.0,"0,77",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 16:58,PL11,VG2/3,VG2/3,PAG15137KL,1.0,False,True,False
AKE95356KL,0,7401463545,1,1.0,R21,1,140.0,"0,94",DUB,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 14:25,PL13,VG2/3,VG2/3,AKE95356KL,1.0,False,True,False
AKE11240AF,0,7458906676,1,1.0,R91,1,116.0,"0,64",ICN,ATH,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:28,PL13,VG2/3,VG2/3,AKE11240AF,1.0,False,True,False
PMC76121AF,0,7462746666,1,,C01,323,5296.9,30,AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC76121AF,,True,False,False
PMC71912AF,0,7462746666,1,,C01,323,5296.9,30,AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC71912AF,,True,False,False
PMC73175AF,0,7462746666,1,,C01,323,5296.9,30,AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC73175AF,,True,False,False
PMC31643KL,1,7463966151,1,,S53,13,1963.7,"11,84",STR,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC31643KL,,True,False,False
AKE97380KL,0,7463966151,1,1.0,S53,13,1963.7,"11,84",STR,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:16,PL13,VG2/3,VG2/3,AKE97380KL,1.0,False,True,False
AKE96033KL,0,7463966151,1,2.0,S53,13,1963.7,"11,84",STR,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:18,PL12,VG2/3,VG2/3,AKE96033KL,1.0,False,True,False
PAG15137KL,0,7463966151,1,3.0,S53,13,1963.7,"11,84",STR,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,1.0,False,True,False
AKE96441KL,0,7464278701,1,1.0,R21,25,169.0,1,ATH,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 16:38,PL02,VG2/3,VG2/3,AKE96441KL,24.0,False,True,False
AKE96441KL,0,7464278701,1,2.0,R21,25,169.0,1,ATH,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 16:38,PL02,VG2/3,VG2/3,AKE96441KL,1.0,False,True,False
PAG15137KL,0,7464285362,1,1.0,R21,2,640.0,"3,49",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,31-3-2024 19:50:42,,,,PAG15137KL,1.0,False,False,False
PAG15137KL,0,7464285362,1,2.0,R21,2,640.0,"3,49",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,31-3-2024 19:50:42,,,,PAG15137KL,1.0,False,False,False
PAG15137KL,0,7464285362,1,3.0,R21,2,640.0,"3,49",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,31-3-2024 19:50:42,,,,PAG15137KL,2.0,False,False,False
PAG15137KL,0,7464285362,1,4.0,R21,2,640.0,"3,49",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,31-3-2024 19:50:42,,,,PAG15137KL,2.0,False,False,False
PMC24433KL,1,7464919665,1,,S53,2,1474.0,"11,98",BRU,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC24433KL,,True,False,False
PAG15137KL,0,7464978561,1,1.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,1.0,False,True,False
PAG15137KL,0,7464978561,1,2.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,4.0,False,True,False
PAG15137KL,0,7464978561,1,3.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,5.0,False,True,False
PAG15137KL,0,7464978561,1,4.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,14.0,False,True,False
PAG15137KL,0,7464978561,1,5.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,2.0,False,True,False
PAG15137KL,0,7464978561,1,6.0,R21,29,390.0,"7,71",AMS,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,1/4/2024 15:40,PL11,VG2/3,VG2/3,PAG15137KL,3.0,False,True,False
PMC02976MP,1,7465106580,1,,R21,5,1069.5,"6,42",BRU,ICN,KL,855,KL0855,2024-04-01,1/4/2024 21:56,1/4/2024 21:45,Aircraft,,,,,PMC02976MP,,True,False,False
