FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-04-01|AMS|KL|0855||2024-04-01|D|155926928|163791296,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,753,KG,B,Y,46.0,ULD,AKE94760KL,810.0,57.0,2/4/2024 4:30,AFT,43R,L,155926928,163791296,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926929|163791290,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,163,KG,B,Y,10.0,ULD,AKE97376KL,653.0,57.0,2/4/2024 4:30,AFT,42L,L,155926929,163791290,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926929|163791291,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,162,KG,D,,9.0,ULD,AKE97376KL,653.0,57.0,2/4/2024 4:30,AFT,42L,L,155926929,163791291,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926929|163791292,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,271,KG,B,F,16.0,ULD,AKE97376KL,653.0,57.0,2/4/2024 4:30,AFT,42L,L,155926929,163791292,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926930|163791293,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,594,KG,B,F,35.0,ULD,AKE96081KL,759.0,57.0,2/4/2024 4:30,AFT,42R,L,155926930,163791293,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926930|163791294,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,108,KG,D,,6.0,ULD,AKE96081KL,759.0,57.0,2/4/2024 4:30,AFT,42R,L,155926930,163791294,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926931|163791289,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,687,KG,B,Y,42.0,ULD,AKE98207KL,744.0,57.0,2/4/2024 4:30,AFT,41R,L,155926931,163791289,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926932|163791299,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,589,KG,B,Y,36.0,ULD,AKE95535KL,772.0,57.0,2/4/2024 4:30,AFT,44R,L,155926932,163791299,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926932|163791300,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,126,KG,B,B,7.0,ULD,AKE95535KL,772.0,57.0,2/4/2024 4:30,AFT,44R,L,155926932,163791300,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926933|163791288,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,568,KG,B,T,30.0,ULD,AKE95393KL,625.0,57.0,2/4/2024 4:30,AFT,41L,L,155926933,163791288,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926934|163791308,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,736,KG,B,Y,45.0,ULD,AKE97740KL,793.0,57.0,2/4/2024 4:30,AFT,36R,L,155926934,163791308,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926935|163791295,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,573,KG,B,Y,35.0,ULD,AKE96378KL,630.0,57.0,2/4/2024 4:30,AFT,43L,L,155926935,163791295,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926936|163791297,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,72,KG,B,B,4.0,ULD,AKE96819KL,865.0,57.0,2/4/2024 4:30,AFT,44L,L,155926936,163791297,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926936|163791298,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,736,KG,B,Y,45.0,ULD,AKE96819KL,865.0,57.0,2/4/2024 4:30,AFT,44L,L,155926936,163791298,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926938|163758598,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155926938,163758598,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926939|163758599,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,95,KG,B,T,5.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155926939,163758599,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926940|163758600,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155926940,163758600,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926941|163758601,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,86,KG,B,F,5.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155926941,163758601,,
2024-04-01|AMS|KL|0855||2024-04-01|D|155926942|163758602,2024-04-01|KL|0855||AMS,ACTIVE,AMS,ICN,119,KG,B,Y,7.0,BLK,,,,2/4/2024 4:30,BLK,52,L,155926942,163758602,,
