ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC32659KL,1,5707345811,1,,R21,6,818.0,"8,08",WAW,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,,,,,PMC32659KL,,True,False,False
PAG11412AF,0,5748407225,1,1.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PAG11412AF,0,5748407225,1,3.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PAG11412AF,0,5748407225,1,4.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PAG11412AF,0,5748407225,1,5.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PAG11412AF,0,5748407225,1,6.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PAG11412AF,0,5748407225,1,7.0,R21,5,1898.0,"6,53",OPO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:36,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PMC70143AF,0,7401176221,1,1.0,R21,2,496.0,"2,4",LCJ,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 17:02,PG12,VG2/3,VG2/3,PMC70143AF,1.0,False,True,False
PMC70143AF,0,7401176243,1,1.0,R21,1,195.6,"1,13",LCJ,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 17:03,PG12,VG2/3,VG2/3,PMC70143AF,1.0,False,True,False
PAG11723AF,0,7401205186,1,1.0,M21,1,16.2,"0,01",RTM,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 10:13,PH01,VG2/3,VG2/3,PAG11723AF,1.0,False,True,False
AKE97076KL,0,7401207765,1,1.0,R21,1,153.0,"1,28",HAJ,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 14:55,PG11,VG2/3,VG2/3,AKE97076KL,1.0,False,True,False
PAG11723AF,0,7401209165,1,1.0,R21,36,416.9,"2,35",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 10:17,PH01,VG2/3,VG2/3,PAG11723AF,6.0,False,True,False
PMC70143AF,0,7401209165,1,2.0,R21,36,416.9,"2,35",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 17:04,PG12,VG2/3,VG2/3,PMC70143AF,19.0,False,True,False
PAG11723AF,0,7401209165,1,2.0,R21,36,416.9,"2,35",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 10:28,PH01,VG2/3,VG2/3,PAG11723AF,19.0,False,True,False
PAG11723AF,0,7401209165,1,3.0,R21,36,416.9,"2,35",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 10:20,PH01,VG2/3,VG2/3,PAG11723AF,11.0,False,True,False
PMC28038KL,0,7401210005,1,1.0,R21,1,263.0,"0,81",BIO,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 14:24,PG13,VG2/3,VG2/3,PMC28038KL,1.0,False,True,False
PAG11412AF,0,7401212260,1,1.0,R21,3,357.0,"2,95",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:56,PH01,VG2/3,VG2/3,PAG11412AF,1.0,False,True,False
PMC28038KL,0,7401212260,1,2.0,R21,3,357.0,"2,95",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 14:23,PG13,VG2/3,VG2/3,PMC28038KL,1.0,False,True,False
PMC32565KL,0,7401212260,1,3.0,R21,3,357.0,"2,95",AMS,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 15:10,PG12,VG2/3,VG2/3,PMC32565KL,1.0,False,True,False
PAG11412AF,0,7401214032,1,1.0,R21,4,108.2,"0,28",RTM,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 11:44,PH01,VG2/3,VG2/3,PAG11412AF,2.0,False,True,False
PAG11723AF,0,7401214032,1,2.0,R21,4,108.2,"0,28",RTM,ICN,KL,855,KL0855,2024-02-10,10/2/2024 20:42,10/2/2024 20:35,Aircraft,10/2/2024 10:27,PH01,VG2/3,VG2/3,PAG11723AF,1.0,False,True,False
