FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-12|AMS|KL|0855||2024-02-12|D|153926128|161666482,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,126,KG,B,T,7.0,ULD,AKE95954KL,183.0,57.0,13-2-2024 04:28:48,AFT,33R,L,153926128,161666482,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926129|161666484,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,180,KG,D,,10.0,ULD,AKE95628KL,754.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153926129,161666484,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926129|161666485,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,517,KG,B,F,30.0,ULD,AKE95628KL,754.0,57.0,13-2-2024 04:28:48,AFT,41R,L,153926129,161666485,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926130|161665301,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,725,KG,B,Y,42.0,ULD,AKE96376KL,834.0,57.0,13-2-2024 04:28:48,FWD,12L,L,153926130,161665301,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926130|161665302,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,52,KG,B,B,3.0,ULD,AKE96376KL,834.0,57.0,13-2-2024 04:28:48,FWD,12L,L,153926130,161665302,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926131|161666483,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,280,KG,B,Y,16.0,ULD,AKE96307KL,337.0,57.0,13-2-2024 04:28:48,AFT,41L,L,153926131,161666483,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926132|161666269,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,708,KG,B,Y,41.0,ULD,AKE97080KL,784.0,57.0,13-2-2024 04:28:48,AFT,31R,L,153926132,161666269,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926132|161666270,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,19,KG,B,B,1.0,ULD,AKE97080KL,784.0,57.0,13-2-2024 04:28:48,AFT,31R,L,153926132,161666270,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926133|161666271,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,777,KG,B,Y,45.0,ULD,AKE70237KL,834.0,57.0,13-2-2024 04:28:48,AFT,32R,L,153926133,161666271,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926134|161666481,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,828,KG,B,T,46.0,ULD,AKE98030KL,885.0,57.0,13-2-2024 04:28:48,AFT,33L,L,153926134,161666481,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926135|161666480,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,604,KG,B,Y,35.0,ULD,AKE96999KL,661.0,57.0,13-2-2024 04:28:48,AFT,32L,L,153926135,161666480,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926137|161636133,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,13-2-2024 04:28:48,BLK,52,L,153926137,161636133,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926138|161636134,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,13-2-2024 04:28:48,BLK,52,L,153926138,161636134,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926139|161636135,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,F,0.0,BLK,,,,13-2-2024 04:28:48,BLK,52,L,153926139,161636135,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926140|161636136,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,T,0.0,BLK,,,,13-2-2024 04:28:48,BLK,52,L,153926140,161636136,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153926141|161636137,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,Y,0.0,BLK,,,,13-2-2024 04:28:48,BLK,52,L,153926141,161636137,,
2024-02-12|AMS|KL|0855||2024-02-12|D|153950839|161662571|19224908,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,328,KG,C,,,ULD,AKE95931KL,385.0,57.0,13-2-2024 04:28:48,AFT,31L,L,153950839,161662571,19224908.0,COL
2024-02-12|AMS|KL|0855||2024-02-12|D|153950841|161662573|19224909,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,2301,KG,C,,,ULD,PMC65685AF,2405.0,104.0,13-2-2024 04:28:48,AFT,41P,L,153950841,161662573,19224909.0,COL
2024-02-12|AMS|KL|0855||2024-02-12|D|153950842|161662574|19224910,2024-02-12|KL|0855||AMS,ACTIVE,AMS,ICN,1246,KG,C,,,ULD,PMC64525AF,1350.0,104.0,13-2-2024 04:28:48,FWD,13P,L,153950842,161662574,19224910.0,CRT
