ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC66373AF,1,7401066391,1,,S53,23,3109.0,"33,3",LHR,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC66373AF,,True,False,False
PMC70594AF,1,7401066391,1,,S53,23,3109.0,"33,3",LHR,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC70594AF,,True,False,False
PMC62073AF,1,7401066391,1,,S53,23,3109.0,"33,3",LHR,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC62073AF,,True,False,False
PMC75626AF,0,7401066391,1,1.0,S53,23,3109.0,"33,3",LHR,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC67428AF,0,7401066391,1,2.0,S53,23,3109.0,"33,3",LHR,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:02,PK13,VG2/3,VG2/3,PMC67428AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,1.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,2.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,3.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,4.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,5.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,6.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC75626AF,0,7401079702,1,7.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 15:45,PK12,VG2/3,VG2/3,PMC75626AF,1.0,False,True,False
PMC70594AF,1,7401079702,1,8.0,S53,8,1123.4,"9,68",AMS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:08,62A03,Unknown,Unknown,PMC70594AF,1.0,False,False,False
PMC73775AF,0,7445812734,1,1.0,R21,4,334.0,"1,48",LYS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:14,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC73775AF,0,7445812734,1,2.0,R21,4,334.0,"1,48",LYS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:14,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC73775AF,0,7445812734,1,3.0,R21,4,334.0,"1,48",LYS,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:14,PK14,VG2/3,VG2/3,PMC73775AF,2.0,False,True,False
PMC70594AF,1,7456772704,1,1.0,R21,1,148.0,"0,54",ORD,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 16:42,PK13,VG2/3,VG2/3,PMC70594AF,1.0,False,True,False
PMC62386AF,3,7460315754,1,,S23,65,334.0,"2,8",QFA,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC62386AF,,True,False,False
PMC73775AF,0,7460582966,1,1.0,R21,1,450.0,"1,06",FRA,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:18,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC73775AF,0,7460582966,1,2.0,R21,1,450.0,"1,06",FRA,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:18,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC73775AF,0,7461962364,1,1.0,R21,1,796.9,"1,42",MUC,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:17,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC73775AF,0,7461962364,1,2.0,R21,1,796.9,"1,42",MUC,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,8/1/2024 17:17,PK14,VG2/3,VG2/3,PMC73775AF,1.0,False,True,False
PMC62386AF,3,7463002251,1,,S23,31,204.0,"1,36",QFA,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC62386AF,,True,False,False
PMC62386AF,3,7463002262,1,,S23,28,169.0,"1,12",QFA,ICN,KL,855,KL0855,2024-01-08,8/1/2024 20:38,8/1/2024 20:35,Aircraft,,,,,PMC62386AF,,True,False,False
