FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-10|AMS|KL|0855||2024-01-10|D|152622693|160280377,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,696,KG,B,Y,39.0,ULD,AKE95432KL,753.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152622693,160280377,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622694|160280378,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,150,KG,B,F,8.0,ULD,AKE98220KL,242.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152622694,160280378,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622694|160280379,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,17,KG,B,Y,1.0,ULD,AKE98220KL,242.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152622694,160280379,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622694|160280380,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,D,,1.0,ULD,AKE98220KL,242.0,57.0,16-2-2024 17:02:55,AFT,42R,L,152622694,160280380,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622695|160280384,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,500,KG,B,Y,28.0,ULD,AKE94511KL,557.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152622695,160280384,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622696|160280385,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,795,KG,B,T,43.0,ULD,AKE97953KL,852.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152622696,160280385,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622697|160280386,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,786,KG,B,Y,44.0,ULD,AKE95202KL,843.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152622697,160280386,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622698|160280373,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,17,KG,B,B,1.0,ULD,AKE95789KL,824.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152622698,160280373,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622698|160280374,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,750,KG,B,Y,42.0,ULD,AKE95789KL,824.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152622698,160280374,,
2024-01-10|AMS|KL|0855||2024-01-10|D|152622699|160280381,2024-01-10|KL|0855||AMS,ACTIVE,AMS,ICN,434,KG,B,F,23.0,ULD,AKE95261KL,724.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152622699,160280381,,
