FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-12|AMS|KL|0855||2024-01-12|D|152704587|160369875,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,294,KG,B,F,17.0,ULD,AKE94505KL,459.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152704587,160369875,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704587|160369876,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,108,KG,D,,6.0,ULD,AKE94505KL,459.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152704587,160369876,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704588|160368025,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,634,KG,B,Y,36.0,ULD,AKE97435KL,746.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152704588,160368025,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704588|160368026,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,55,KG,B,B,3.0,ULD,AKE97435KL,746.0,57.0,16-2-2024 17:02:55,AFT,31R,L,152704588,160368026,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704589|160369872,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,616,KG,B,Y,35.0,ULD,AKE70257KL,673.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152704589,160369872,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704590|160368024,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,616,KG,B,Y,35.0,ULD,AKE95189KL,673.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152704590,160368024,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704591|160369874,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,740,KG,B,Y,42.0,ULD,AKE97162KL,797.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152704591,160369874,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704592|160369873,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,547,KG,B,T,28.0,ULD,AKE97459KL,604.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152704592,160369873,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704593|160368027,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,652,KG,B,Y,37.0,ULD,AKE96269KL,709.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152704593,160368027,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704594|160368028,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,54,KG,D,,3.0,ULD,AKE95441KL,784.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152704594,160368028,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704594|160368029,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,673,KG,B,F,39.0,ULD,AKE95441KL,784.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152704594,160368029,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704595|160368022,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,91,KG,B,B,5.0,ULD,AKE96112KL,712.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152704595,160368022,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704595|160368023,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,564,KG,B,Y,32.0,ULD,AKE96112KL,712.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152704595,160368023,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704596|160335434,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,B,G,1.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152704596,160335434,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704597|160335435,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152704597,160335435,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704598|160335436,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152704598,160335436,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704599|160335437,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152704599,160335437,,
2024-01-12|AMS|KL|0855||2024-01-12|D|152704600|160335438,2024-01-12|KL|0855||AMS,ACTIVE,AMS,ICN,38,KG,B,Y,2.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152704600,160335438,,
