ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC75733AF,0,5708400593,1,1.0,M25,2,28.0,"0,72",CDG,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 15:50,PG13,VG2/3,VG2/3,PMC75733AF,2.0,False,True,False
PMC75733AF,0,5708401256,1,1.0,M21,1,8.0,"0,08",CDG,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 15:50,PG13,VG2/3,VG2/3,PMC75733AF,1.0,False,True,False
PAG15564KL,0,7401313325,1,1.0,R21,2,1102.0,"2,57",MAD,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:48,PG11,VG2/3,VG2/3,PAG15564KL,1.0,False,True,False
PAG15564KL,0,7401313325,1,2.0,R21,2,1102.0,"2,57",MAD,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:48,PG11,VG2/3,VG2/3,PAG15564KL,1.0,False,True,False
AAP60353KL,0,7401329160,1,2.0,R21,10,265.2,"1,14",AMS,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 15:00,PG03,VG2/3,VG2/3,AAP60353KL,9.0,False,True,False
AAP60353KL,0,7401329160,1,1.0,R21,10,265.2,"1,14",AMS,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 15:00,PG03,VG2/3,VG2/3,AAP60353KL,1.0,False,True,False
PAG15564KL,0,7401330066,1,1.0,R21,1,121.0,"1,06",WAW,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:53,PG11,VG2/3,VG2/3,PAG15564KL,1.0,False,True,False
AAP60353KL,0,7401334480,1,1.0,R21,1,92.0,"0,3",KRK,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:37,PG03,VG2/3,VG2/3,AAP60353KL,1.0,False,True,False
AAP60353KL,0,7401335972,1,1.0,R21,2,206.0,"2,05",STR,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:38,PG03,VG2/3,VG2/3,AAP60353KL,1.0,False,True,False
PAG15564KL,0,7401335972,1,2.0,R21,2,206.0,"2,05",STR,ICN,KL,855,KL0855,2024-03-11,11/3/2024 20:40,11/3/2024 20:35,Aircraft,11/3/2024 14:54,PG11,VG2/3,VG2/3,PAG15564KL,1.0,False,True,False
