FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-13|AMS|KL|0855||2024-03-13|D|155155102|162970078,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,672,KG,B,Y,41.0,ULD,AKE94791KL,729.0,57.0,14-3-2024 04:27:57,AFT,43R,L,155155102,162970078,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155103|162970073,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,426,KG,B,Y,26.0,ULD,AKE94983KL,483.0,57.0,14-3-2024 04:27:57,AFT,42L,L,155155103,162970073,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155104|162970071,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,738,KG,B,Y,45.0,ULD,AKE70041KL,795.0,57.0,14-3-2024 04:27:57,AFT,41L,L,155155104,162970071,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155105|162970081,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,607,KG,B,Y,37.0,ULD,AKE96567KL,772.0,57.0,14-3-2024 04:27:57,AFT,44R,L,155155105,162970081,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155105|162970082,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,108,KG,B,B,6.0,ULD,AKE96567KL,772.0,57.0,14-3-2024 04:27:57,AFT,44R,L,155155105,162970082,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155106|162970076,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,417,KG,B,F,23.0,ULD,AKE94865KL,618.0,57.0,14-3-2024 04:27:57,AFT,43L,L,155155106,162970076,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155106|162970077,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,144,KG,D,,8.0,ULD,AKE94865KL,618.0,57.0,14-3-2024 04:27:57,AFT,43L,L,155155106,162970077,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155107|162970072,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,637,KG,B,T,35.0,ULD,AKE96729KL,694.0,57.0,14-3-2024 04:27:57,AFT,41R,L,155155107,162970072,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155108|162970069,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,689,KG,B,Y,42.0,ULD,AKE95471KL,800.0,57.0,14-3-2024 04:27:57,AFT,33R,L,155155108,162970069,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155108|162970070,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,54,KG,B,B,3.0,ULD,AKE95471KL,800.0,57.0,14-3-2024 04:27:57,AFT,33R,L,155155108,162970070,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155109|162970079,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,72,KG,B,B,4.0,ULD,AKE95054KL,785.0,57.0,14-3-2024 04:27:57,AFT,44L,L,155155109,162970079,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155109|162970080,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,656,KG,B,Y,40.0,ULD,AKE95054KL,785.0,57.0,14-3-2024 04:27:57,AFT,44L,L,155155109,162970080,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155111|162970074,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,163,KG,B,F,9.0,ULD,AKE70158KL,238.0,57.0,14-3-2024 04:27:57,AFT,42R,L,155155111,162970074,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155111|162970075,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,18,KG,D,,1.0,ULD,AKE70158KL,238.0,57.0,14-3-2024 04:27:57,AFT,42R,L,155155111,162970075,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155112|162939431,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,G,0.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155155112,162939431,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155113|162939432,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,0,KG,B,B,0.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155155113,162939432,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155114|162939433|19351719,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,35,KG,B,Y,1.0,BLK,,,,14-3-2024 04:27:57,BLK,51,L,155155114,162939433,19351719.0,AVH
2024-03-13|AMS|KL|0855||2024-03-13|D|155155115|162939434,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,135,KG,B,Y,8.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155155115,162939434,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155116|162939435,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,164,KG,B,F,9.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155155116,162939435,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155155117|162939436,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,19,KG,B,T,1.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155155117,162939436,,
2024-03-13|AMS|KL|0855||2024-03-13|D|155179767|162965598|19353928,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,8,KG,C,,1.0,BLK,,,,14-3-2024 04:27:57,BLK,52,L,155179767,162965598,19353928.0,AOG
2024-03-13|AMS|KL|0855||2024-03-13|D|155179768|162965599|19353929,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,38,KG,C,,,ULD,AKE96377KL,95.0,57.0,14-3-2024 04:27:57,AFT,33L,L,155179768,162965599,19353929.0,VAL
2024-03-13|AMS|KL|0855||2024-03-13|D|155179769|162965600,2024-03-13|KL|0855||AMS,ACTIVE,AMS,ICN,1455,KG,C,,,ULD,PMC75053AF,1565.0,110.0,14-3-2024 04:27:57,AFT,31P,L,155179769,162965600,,
