BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
27-3-2024 20:46:12,74,1336204,7401336204,AMS,ICN,A,1.38,MC,415.0,K,1.0,S23,MEAT,AMS,FFM,False,True,False,False,True,False,False,True,18492014,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,1.38,415.0,1.0,1.0,1.0,1.38,415.0,1.0,True,True,1.38,415.0,,,,False
27-3-2024 20:46:12,74,1401352,7401401352,BRU,ICN,A,1.04,MC,125.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18535416,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,1.04,125.0,1.0,1.0,1.0,1.04,125.0,1.0,True,True,1.04,125.0,,,,False
27-3-2024 20:46:12,74,1401352,7401401352,BRU,ICN,A,1.04,MC,125.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18535416,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,1.04,125.0,1.0,1.0,2.0,1.04,,1.0,True,True,1.04,125.0,104.0,80.0,125.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,3.0,0.72,,1.0,True,True,0.72,,75.0,80.0,120.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,5.0,1.98,,1.0,True,True,1.98,,110.0,120.0,150.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,2.0,0.68,,1.0,True,True,0.68,,71.0,80.0,120.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,4.0,0.91,,2.0,True,True,0.91,,95.0,80.0,120.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,7.0,0.97,,1.0,True,True,0.97,,65.0,48.0,310.0,True
27-3-2024 20:46:12,74,1412073,7401412073,FRA,ICN,A,10.0,MC,4505.0,K,7.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18546322,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,10.0,4505.0,7.0,1.0,6.0,0.66,,1.0,True,True,0.66,,65.0,48.0,210.0,True
27-3-2024 20:46:12,74,1431636,7401431636,MMX,ICN,A,0.31,MC,78.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18562930,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,0.31,78.0,1.0,1.0,1.0,0.31,78.0,1.0,True,True,0.31,78.0,,,,False
27-3-2024 20:46:12,74,1431636,7401431636,MMX,ICN,A,0.31,MC,78.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18562930,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,0.31,78.0,1.0,1.0,2.0,0.31,,1.0,True,True,0.31,78.0,64.0,60.0,80.0,True
27-3-2024 20:46:12,74,1437273,7401437273,BLL,ICN,A,0.11,MC,100.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18568338,KL,855,KL0855,,AMS,ICN,26-3-2024,2024-03-27,0.11,100.0,1.0,1.0,2.0,0.11,,1.0,True,True,0.11,100.0,50.0,40.0,57.0,True
