BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
1/4/2024 9:21,57,50638151,5750638151,NBO,LAX,A,0.18,MC,56.0,K,5.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18477098,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.18,56.0,5.0,1.0,1.0,0.04,11.2,5.0,True,True,0.04,11.2,,,,False
1/4/2024 9:21,57,61487823,5761487823,BLR,LAX,A,5.89,MC,855.0,K,8.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18584987,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,8.8,854.8,8.0,1.0,2.0,0.85,,1.0,True,True,0.85,,114.0,77.0,97.0,True
1/4/2024 9:21,57,61487823,5761487823,BLR,LAX,A,5.89,MC,855.0,K,8.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18584987,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,8.8,854.8,8.0,1.0,4.0,0.82,,4.0,True,True,0.82,,103.0,72.0,110.0,True
1/4/2024 9:21,57,61487823,5761487823,BLR,LAX,A,5.89,MC,855.0,K,8.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18584987,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,8.8,854.8,8.0,1.0,3.0,0.59,,3.0,True,True,0.59,,75.0,72.0,110.0,True
1/4/2024 9:21,74,1417850,7401417850,NTE,LAX,A,5.0,MC,1950.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18551283,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,5.0,1950.0,4.0,1.0,1.0,1.25,487.5,4.0,True,True,1.25,487.5,,,,False
1/4/2024 9:21,74,1417850,7401417850,NTE,LAX,A,5.0,MC,1950.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18551283,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,5.0,1950.0,4.0,1.0,4.0,1.68,,1.0,True,True,1.68,,140.0,100.0,120.0,True
1/4/2024 9:21,74,1417850,7401417850,NTE,LAX,A,5.0,MC,1950.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18551283,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,5.0,1950.0,4.0,1.0,2.0,0.46,,1.0,True,True,0.46,,48.0,80.0,120.0,True
1/4/2024 9:21,74,1417850,7401417850,NTE,LAX,A,5.0,MC,1950.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18551283,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,5.0,1950.0,4.0,1.0,3.0,0.78,,1.0,True,True,0.78,,81.0,80.0,120.0,True
1/4/2024 9:21,74,1417850,7401417850,NTE,LAX,A,5.0,MC,1950.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18551283,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,5.0,1950.0,4.0,1.0,5.0,1.78,,1.0,True,True,1.78,,148.0,100.0,120.0,True
15-4-2024 07:22:27,74,1424592,7401424592,PRG,LAX,A,1.1,MC,407.0,K,3.0,R21,GENE,HDQ,FPLN,False,False,False,False,False,False,False,False,18556928,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.72,271.2,2.0,,,,,,,,,,,,,
1/4/2024 9:21,74,1452205,7401452205,NTE,LAX,A,1.26,MC,190.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582387,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,1.26,190.0,1.0,1.0,1.0,1.26,190.0,1.0,True,True,1.26,190.0,,,,False
1/4/2024 9:21,74,1452205,7401452205,NTE,LAX,A,1.26,MC,190.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582387,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,1.26,190.0,1.0,1.0,2.0,1.23,,1.0,True,True,1.23,190.0,116.0,98.0,108.0,True
1/4/2024 9:21,74,1460281,7401460281,PRG,LAX,A,0.86,MC,271.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18588852,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.89,271.0,1.0,1.0,2.0,0.86,,1.0,True,True,0.86,271.0,90.0,80.0,120.0,True
1/4/2024 9:21,74,1460281,7401460281,PRG,LAX,A,0.86,MC,271.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18588852,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.89,271.0,1.0,1.0,1.0,0.86,271.0,1.0,True,True,0.86,271.0,,,,False
2/4/2024 6:52,74,1463302,7401463302,STR,PHX,A,0.84,MC,120.0,K,1.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,False,18590840,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.84,120.0,1.0,1.0,1.0,0.84,120.0,1.0,True,True,0.84,120.0,,,,False
1/4/2024 9:21,74,44753354,7444753354,NTE,LAX,A,0.58,MC,197.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585992,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.58,197.0,1.0,1.0,1.0,0.58,197.0,1.0,True,True,0.58,197.0,,,,False
1/4/2024 9:21,74,44753354,7444753354,NTE,LAX,A,0.58,MC,197.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585992,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.58,197.0,1.0,1.0,2.0,0.57,,1.0,True,True,0.57,197.0,48.0,77.0,154.0,True
1/4/2024 9:21,74,50536301,7450536301,AMS,LAX,A,20.0,MC,4800.0,K,12.0,S23,TULI,AMS,FFM,False,True,False,False,False,False,False,False,18562643,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,19.99,4800.0,12.0,1.0,1.0,1.67,400.0,12.0,True,True,1.67,400.0,,,,False
1/4/2024 9:21,74,58352836,7458352836,AMS,LAX,A,1.02,MC,160.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590458,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,1.02,160.0,2.0,1.0,2.0,0.51,,1.0,True,True,0.51,,75.0,72.0,94.0,True
1/4/2024 9:21,74,58352836,7458352836,AMS,LAX,A,1.02,MC,160.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590458,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,1.02,160.0,2.0,1.0,3.0,0.51,,1.0,True,True,0.51,,36.0,110.0,129.0,True
1/4/2024 9:21,74,58352836,7458352836,AMS,LAX,A,1.02,MC,160.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590458,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,1.02,160.0,2.0,1.0,1.0,0.51,80.0,2.0,True,True,0.51,80.0,,,,False
14-4-2024 12:16:27,74,60903765,7460903765,KUL,LAX,A,12.01,MC,3344.0,K,17.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18603075,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,8.59,2966.6,14.0,,,,,,,,,,,,,
1/4/2024 9:21,74,61635475,7461635475,FRA,LAX,A,0.8,MC,268.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18581707,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.8,268.0,1.0,1.0,1.0,0.8,268.0,1.0,True,True,0.8,268.0,,,,False
1/4/2024 9:21,74,61635475,7461635475,FRA,LAX,A,0.8,MC,268.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18581707,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,0.8,268.0,1.0,1.0,2.0,0.8,,1.0,True,True,0.8,268.0,50.0,80.0,200.0,True
1/4/2024 9:21,74,63094043,7463094043,SWK,LAX,A,2.2,MC,445.0,K,24.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585319,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,2.19,444.8,24.0,1.0,4.0,0.08,,1.0,True,True,0.01,,15.0,15.0,25.0,True
1/4/2024 9:21,74,63094043,7463094043,SWK,LAX,A,2.2,MC,445.0,K,24.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585319,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,2.19,444.8,24.0,1.0,13.0,0.02,,1.0,True,True,0.04,,32.0,30.0,44.0,True
1/4/2024 9:21,74,63094043,7463094043,SWK,LAX,A,2.2,MC,445.0,K,24.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585319,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,2.19,444.8,24.0,1.0,15.0,0.02,,1.0,True,True,0.08,,35.0,47.0,47.0,True
1/4/2024 9:21,74,63094043,7463094043,SWK,LAX,A,2.2,MC,445.0,K,24.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585319,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,2.19,444.8,24.0,1.0,1.0,0.07,,1.0,True,True,,,,,,
1/4/2024 9:21,74,63094043,7463094043,SWK,LAX,A,2.2,MC,445.0,K,24.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18585319,KL,601,KL0601,,AMS,LAX,31-3-2024,2024-04-01,2.19,444.8,24.0,1.0,11.0,0.02,,1.0,True,True,0.02,,20.0,30.0,40.0,True
