FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-04|AMS|KL|0601||2024-02-04|D|153597183|161310364,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,349,KG,B,T,21.0,ULD,AKE95696KL,406.0,57.0,16-2-2024 17:02:55,AFT,41L,L,153597183,161310364,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597184|161310368,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,106,KG,B,Y,6.0,ULD,AKE96832KL,613.0,57.0,16-2-2024 17:02:55,AFT,42R,L,153597184,161310368,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597184|161310369,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,162,KG,D,,9.0,ULD,AKE96832KL,613.0,57.0,16-2-2024 17:02:55,AFT,42R,L,153597184,161310369,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597184|161310370,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,288,KG,B,F,16.0,ULD,AKE96832KL,613.0,57.0,16-2-2024 17:02:55,AFT,42R,L,153597184,161310370,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597185|161310365,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,698,KG,B,F,39.0,ULD,AKE95028KL,808.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153597185,161310365,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597185|161310366,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,35,KG,B,T,2.0,ULD,AKE95028KL,808.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153597185,161310366,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597185|161310367,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,D,,1.0,ULD,AKE95028KL,808.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153597185,161310367,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597186|161310361,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,16,KG,B,T,1.0,ULD,AKE96403KL,518.0,57.0,16-2-2024 17:02:55,AFT,34R,L,153597186,161310361,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597186|161310362,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,161,KG,B,F,9.0,ULD,AKE96403KL,518.0,57.0,16-2-2024 17:02:55,AFT,34R,L,153597186,161310362,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597186|161310363,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,284,KG,B,Y,16.0,ULD,AKE96403KL,518.0,57.0,16-2-2024 17:02:55,AFT,34R,L,153597186,161310363,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597187|161310360,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,177,KG,B,Y,10.0,ULD,AKE98187KL,234.0,57.0,16-2-2024 17:02:55,AFT,34L,L,153597187,161310360,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597188|161309002,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,604,KG,B,Y,34.0,ULD,AKE95991KL,661.0,57.0,16-2-2024 17:02:55,AFT,33L,L,153597188,161309002,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597189|161309003,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,639,KG,B,Y,36.0,ULD,AKE97837KL,696.0,57.0,16-2-2024 17:02:55,AFT,33R,L,153597189,161309003,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597190|161309001,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,710,KG,B,Y,40.0,ULD,AKE94546KL,767.0,57.0,16-2-2024 17:02:55,AFT,32R,L,153597190,161309001,,
2024-02-04|AMS|KL|0601||2024-02-04|D|153597191|161286466,2024-02-04|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,G,1.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,153597191,161286466,,
