ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC68275AF,0,7400794474,1,4.0,S23,6,3900.0,"9,79",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:38,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC68275AF,0,7400794474,1,1.0,S23,6,3900.0,"9,79",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:38,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC68275AF,0,7400794474,1,10.0,S23,6,3900.0,"9,79",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:38,PK01,VG2/3,VG2/3,PMC68275AF,4.0,False,True,False
PMC68275AF,0,7400794474,1,2.0,S23,6,3900.0,"9,79",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:38,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC68275AF,0,7400794474,1,3.0,S23,6,3900.0,"9,79",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:38,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC71567AF,0,7463118996,1,,S75,8,400.0,"4,78",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 7:25,DHT,VG1,VG1,PMC71567AF,,False,False,True
PMC68275AF,0,7463524381,1,1.0,M21,12,26.3,"0,16",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:31,PK01,VG2/3,VG2/3,PMC68275AF,12.0,False,True,False
PMC68275AF,0,7463589481,1,1.0,R21,2,309.0,"2,68",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:30,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC68275AF,0,7463589481,1,2.0,R21,2,309.0,"2,68",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:30,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC71567AF,0,7463701363,1,1.0,R21,1,290.0,"1,07",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:41,PK02,VG2/3,VG2/3,PMC71567AF,1.0,False,True,False
PMC68275AF,0,7463882302,1,1.0,R91,1,7.0,"0,04",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:31,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
PMC68275AF,0,7463882302,1,2.0,R91,1,7.0,"0,04",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:31,PK01,VG2/3,VG2/3,PMC68275AF,1.0,False,True,False
AKE70178KL,1,7464001383,1,,S23,267,1258.0,"13,8",QFA,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,AKE70178KL,,True,False,False
PMC94984DL,1,7464001383,1,,S23,267,1258.0,"13,8",QFA,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,PMC94984DL,,True,False,False
PMC01544DL,1,7464002945,1,,S23,12,4800.0,20,QFA,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,PMC01544DL,,True,False,False
PMC01332DL,1,7464002945,1,,S23,12,4800.0,20,QFA,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,PMC01332DL,,True,False,False
PMC86264DL,1,7464004021,1,,S23,6,2150.0,10,QFA,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,PMC86264DL,,True,False,False
PMC71567AF,0,7464084510,1,1.0,R21,1,120.0,"0,25",STR,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,8/2/2024 6:42,PK02,VG2/3,VG2/3,PMC71567AF,1.0,False,True,False
AKE95880KL,0,7464181740,1,,M25,2,515.0,"8,6",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,AKE95880KL,,True,False,False
AKE98125KL,0,7464181740,1,,M25,2,515.0,"8,6",AMS,LAX,KL,601,KL0601,2024-02-08,8/2/2024 11:11,8/2/2024 9:50,Aircraft,,,,,AKE98125KL,,True,False,False
