BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
22-2-2024 10:46:26,57,49306423,5749306423,DEL,LAX,A,1.32,MC,336.0,K,20.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18392950,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,1.32,336.0,20.0,1.0,1.0,0.07,16.8,20.0,True,True,0.07,16.8,,,,False
22-2-2024 10:46:26,74,12014,7400012014,AMS,LAX,A,4.05,MC,1755.0,K,4.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18380473,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,4.05,1755.0,4.0,1.0,1.0,1.01,438.75,4.0,True,True,1.01,438.75,,,,False
22-2-2024 10:46:26,74,1247713,7401247713,AMS,LAX,A,0.21,MC,30.0,K,1.0,S51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18402785,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,0.21,30.0,1.0,1.0,2.0,0.21,,1.0,True,True,0.21,30.0,46.0,67.0,67.0,True
22-2-2024 10:46:26,74,1247713,7401247713,AMS,LAX,A,0.21,MC,30.0,K,1.0,S51,PHAR,AMS,FFM,False,True,False,False,False,False,False,False,18402785,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,0.21,30.0,1.0,1.0,1.0,0.21,30.0,1.0,True,True,0.21,30.0,,,,False
22-2-2024 10:46:26,74,1249253,7401249253,AMS,LAX,A,1.68,MC,290.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18404003,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,1.68,290.0,1.0,1.0,1.0,1.68,290.0,1.0,True,True,1.68,290.0,,,,False
22-2-2024 10:46:26,74,1249253,7401249253,AMS,LAX,A,1.68,MC,290.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18404003,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,1.68,290.0,1.0,1.0,2.0,1.68,,1.0,True,True,1.68,290.0,140.0,100.0,120.0,True
22-2-2024 10:46:26,74,1259112,7401259112,FRA,LAX,A,1.2,MC,112.3,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18419379,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,1.2,112.3,1.0,1.0,2.0,1.2,,1.0,True,True,1.2,112.3,125.0,80.0,120.0,True
22-2-2024 10:46:26,74,1259112,7401259112,FRA,LAX,A,1.2,MC,112.3,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18419379,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,1.2,112.3,1.0,1.0,1.0,1.2,112.3,1.0,True,True,1.2,112.3,,,,False
22-2-2024 10:46:26,74,1260943,7401260943,FMO,LAX,A,15.34,MC,750.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18421901,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,15.34,750.0,3.0,1.0,1.0,5.11,250.0,3.0,True,True,5.11,250.0,,,,False
23-2-2024 03:51:22,74,58419303,7458419303,CPT,PHX,A,0.33,MC,31.0,K,1.0,M25,GENE,LAX,FFM,False,False,False,False,False,False,False,True,18413970,KL,601,KL0601,,AMS,LAX,21-2-2024,2024-02-22,0.33,31.0,1.0,1.0,2.0,0.25,,1.0,True,True,0.25,31.0,44.0,56.0,100.0,True
