FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-02|AMS|KL|0601||2024-01-02|D|152269932|159896824,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,574,KG,B,F,33.0,ULD,AKE95860KL,722.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152269932,159896824,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269932|159896825,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,91,KG,B,T,5.0,ULD,AKE95860KL,722.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152269932,159896825,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269935|159897476,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,550,KG,B,Y,30.0,ULD,AKE95330KL,607.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152269935,159897476,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269939|159896212,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,568,KG,B,Y,31.0,ULD,AKE95642KL,643.0,57.0,16-2-2024 17:02:55,AFT,45R,L,152269939,159896212,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269939|159896213,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,B,1.0,ULD,AKE95642KL,643.0,57.0,16-2-2024 17:02:55,AFT,45R,L,152269939,159896213,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269941|159896622,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,715,KG,B,Y,39.0,ULD,AKE96296KL,790.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152269941,159896622,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269941|159896623,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,B,1.0,ULD,AKE96296KL,790.0,57.0,16-2-2024 17:02:55,AFT,44R,L,152269941,159896623,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269944|159896821,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,Y,1.0,ULD,AKE97521KL,632.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152269944,159896821,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269944|159896822,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,T,1.0,ULD,AKE97521KL,632.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152269944,159896822,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269944|159896823,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,539,KG,B,F,31.0,ULD,AKE97521KL,632.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152269944,159896823,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269945|159896828,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,36,KG,B,B,2.0,ULD,AKE96259KL,661.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152269945,159896828,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269945|159896829,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,568,KG,B,Y,31.0,ULD,AKE96259KL,661.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152269945,159896829,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269946|159896621,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,441,KG,B,T,24.0,ULD,AKE95431KL,498.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152269946,159896621,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269947|159872712,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152269947,159872712,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269948|159872713,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152269948,159872713,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269949|159872714,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152269949,159872714,,
2024-01-02|AMS|KL|0601||2024-01-02|D|152269950|159872715,2024-01-02|KL|0601||AMS,ACTIVE,AMS,LAX,88,KG,B,F,5.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152269950,159872715,,
