ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG14889KL,0,7400700302,1,1.0,M21,1,0.6,"0,01",AMS,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:09:06,PK03,VG2/3,VG2/3,PAG14889KL,1.0,False,True,False
PMC33156KL,0,7400708654,1,1.0,R21,1,195.0,"1,4",HEL,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:25:45,PM02,VG2/3,VG2/3,PMC33156KL,1.0,False,True,False
PMC33156KL,0,7401077123,1,1.0,R21,1,410.0,"0,56",MAD,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:24:42,PM02,VG2/3,VG2/3,PMC33156KL,1.0,False,True,False
PMC33156KL,0,7401079864,1,1.0,R21,1,360.0,"0,01",FLR,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:24:33,PM02,VG2/3,VG2/3,PMC33156KL,1.0,False,True,False
PAG14889KL,0,7401108365,1,1.0,R21,1,95.0,"0,65",BLL,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 03:58:43,PK03,VG2/3,VG2/3,PAG14889KL,1.0,False,True,False
PMC33156KL,0,7462405696,1,1.0,R21,1,125.0,"1,52",BLL,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:22:48,PM02,VG2/3,VG2/3,PMC33156KL,1.0,False,True,False
PLB42504KL,0,7462612885,1,,S75,3,130.0,"1,49",AMS,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:12:15,DHEXP,VG1,VG1,PLB42504KL,,False,False,True
PAG14889KL,0,7462917046,1,1.0,G11,1,1.0,"0,14",KUL,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:09:22,PK03,VG2/3,VG2/3,PAG14889KL,1.0,False,True,False
PAG14889KL,0,7462926323,1,1.0,R21,1,197.0,"1,44",AMS,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 03:56:20,PK03,VG2/3,VG2/3,PAG14889KL,1.0,False,True,False
PAG14889KL,0,7463393573,1,1.0,R21,78,954.0,"4,9",CMB,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:08:19,PK03,VG2/3,VG2/3,PAG14889KL,24.0,False,True,False
PAG14889KL,0,7463393573,1,2.0,R21,78,954.0,"4,9",CMB,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:02:48,PK03,VG2/3,VG2/3,PAG14889KL,20.0,False,True,False
PAG14889KL,0,7463393573,1,3.0,R21,78,954.0,"4,9",CMB,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:00:27,PK03,VG2/3,VG2/3,PAG14889KL,17.0,False,True,False
PAG14889KL,0,7463393573,1,4.0,R21,78,954.0,"4,9",CMB,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:00:52,PK03,VG2/3,VG2/3,PAG14889KL,17.0,False,True,False
PMC01962DL,1,7463449643,1,,R21,119,1205.0,"10,09",DAC,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,,,,,PMC01962DL,,True,False,False
PMC33156KL,0,7463449643,1,1.0,R21,119,1205.0,"10,09",DAC,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 06:21:36,PM02,VG2/3,VG2/3,PMC33156KL,15.0,False,True,False
PAG14889KL,0,7463519761,1,1.0,M21,1,11.0,"0,07",AMS,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,15-1-2024 04:09:13,PK03,VG2/3,VG2/3,PAG14889KL,1.0,False,True,False
PLB42191KL,1,7463914535,1,,S20,108,1186.0,6,ACC,LAX,KL,601,KL0601,2024-01-15,15-1-2024 11:46:00,15-1-2024 09:50:00,Aircraft,,,,,PLB42191KL,,True,False,False
