FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-11|AMS|KL|0601||2024-03-11|D|155063351|162866217,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,152,KG,B,Y,9.0,ULD,AKE94706KL,432.0,57.0,12/3/2024 8:02,FWD,14R,L,155063351,162866217,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063351|162866218,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,87,KG,B,T,5.0,ULD,AKE94706KL,432.0,57.0,12/3/2024 8:02,FWD,14R,L,155063351,162866218,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063351|162866219,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,136,KG,B,F,8.0,ULD,AKE94706KL,432.0,57.0,12/3/2024 8:02,FWD,14R,L,155063351,162866219,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063352|162866220,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,36,KG,D,,2.0,ULD,AKE96115KL,758.0,57.0,12/3/2024 8:02,FWD,15L,L,155063352,162866220,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063352|162866221,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,595,KG,B,F,35.0,ULD,AKE96115KL,758.0,57.0,12/3/2024 8:02,FWD,15L,L,155063352,162866221,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063352|162866222,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,70,KG,B,T,4.0,ULD,AKE96115KL,758.0,57.0,12/3/2024 8:02,FWD,15L,L,155063352,162866222,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063353|162866223,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,36,KG,D,,2.0,ULD,AKE95158KL,659.0,57.0,12/3/2024 8:02,FWD,15R,L,155063353,162866223,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063353|162866224,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,210,KG,B,T,12.0,ULD,AKE95158KL,659.0,57.0,12/3/2024 8:02,FWD,15R,L,155063353,162866224,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063353|162866225,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,204,KG,B,F,12.0,ULD,AKE95158KL,659.0,57.0,12/3/2024 8:02,FWD,15R,L,155063353,162866225,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063353|162866226,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,152,KG,B,Y,9.0,ULD,AKE95158KL,659.0,57.0,12/3/2024 8:02,FWD,15R,L,155063353,162866226,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063354|162866229,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,234,KG,B,B,13.0,ULD,AKE70249KL,815.0,57.0,12/3/2024 8:02,FWD,22R,L,155063354,162866229,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063354|162866230,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,524,KG,B,Y,31.0,ULD,AKE70249KL,815.0,57.0,12/3/2024 8:02,FWD,22R,L,155063354,162866230,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063355|162866228,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,795,KG,B,Y,47.0,ULD,AKE95364KL,852.0,57.0,12/3/2024 8:02,FWD,21R,L,155063355,162866228,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063356|162866227,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,693,KG,B,Y,41.0,ULD,AKE97218KL,750.0,57.0,12/3/2024 8:02,FWD,21L,L,155063356,162866227,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063357|162866213,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,391,KG,B,F,23.0,ULD,AKE97214KL,745.0,57.0,12/3/2024 8:02,FWD,14L,L,155063357,162866213,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063357|162866214,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,84,KG,B,Y,5.0,ULD,AKE97214KL,745.0,57.0,12/3/2024 8:02,FWD,14L,L,155063357,162866214,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063357|162866215,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,108,KG,D,,6.0,ULD,AKE97214KL,745.0,57.0,12/3/2024 8:02,FWD,14L,L,155063357,162866215,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063357|162866216,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,105,KG,B,T,6.0,ULD,AKE97214KL,745.0,57.0,12/3/2024 8:02,FWD,14L,L,155063357,162866216,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063358|162842236,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,G,0.0,BLK,,,,12/3/2024 8:02,BLK,51,L,155063358,162842236,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063359|162842237,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,B,0.0,BLK,,,,12/3/2024 8:02,BLK,51,L,155063359,162842237,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063360|162842238,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,34,KG,B,F,2.0,BLK,,,,12/3/2024 8:02,BLK,51,L,155063360,162842238,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063361|162842239,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,37,KG,B,T,2.0,BLK,,,,12/3/2024 8:02,BLK,51,L,155063361,162842239,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155063362|162842240,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,53,KG,B,Y,3.0,BLK,,,,12/3/2024 8:02,BLK,51,L,155063362,162842240,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155080634|162860422,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,568,KG,C,,,ULD,AKE97253KL,625.0,57.0,12/3/2024 8:02,FWD,22L,L,155080634,162860422,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155080635|162860423|19344594,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1086,KG,C,,,ULD,PLB42073KL,1180.0,94.0,12/3/2024 8:02,FWD,23,L,155080635,162860423,19344594.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080636|162860424,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1426,KG,C,,,ULD,PMC67366AF,1530.0,104.0,12/3/2024 8:02,AFT,31P,L,155080636,162860424,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155080637|162860425|19344595,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2235,KG,C,,,ULD,PMC33245KL,2360.0,125.0,12/3/2024 8:02,AFT,33P,L,155080637,162860425,19344595.0,PEF
2024-03-11|AMS|KL|0601||2024-03-11|D|155080637|162860425|19344596,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2235,KG,C,,,ULD,PMC33245KL,2360.0,125.0,12/3/2024 8:02,AFT,33P,L,155080637,162860425,19344596.0,CLA
2024-03-11|AMS|KL|0601||2024-03-11|D|155080638|162860426|19344597,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2790,KG,C,,,ULD,PMC61070AF,2900.0,110.0,12/3/2024 8:02,AFT,43P,L,155080638,162860426,19344597.0,PES
2024-03-11|AMS|KL|0601||2024-03-11|D|155080638|162860426|19344598,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2790,KG,C,,,ULD,PMC61070AF,2900.0,110.0,12/3/2024 8:02,AFT,43P,L,155080638,162860426,19344598.0,CLA
2024-03-11|AMS|KL|0601||2024-03-11|D|155080639|162860427|19344599,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2445,KG,C,,,ULD,PMC23893KL,2570.0,125.0,12/3/2024 8:02,AFT,41P,L,155080639,162860427,19344599.0,PES
2024-03-11|AMS|KL|0601||2024-03-11|D|155080639|162860427|19344600,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2445,KG,C,,,ULD,PMC23893KL,2570.0,125.0,12/3/2024 8:02,AFT,41P,L,155080639,162860427,19344600.0,CLA
2024-03-11|AMS|KL|0601||2024-03-11|D|155080640|162860428|19344601,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2551,KG,C,,,ULD,PMC67685AF,2655.0,104.0,12/3/2024 8:02,AFT,42P,L,155080640,162860428,19344601.0,PEF
2024-03-11|AMS|KL|0601||2024-03-11|D|155080640|162860428|19344602,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2551,KG,C,,,ULD,PMC67685AF,2655.0,104.0,12/3/2024 8:02,AFT,42P,L,155080640,162860428,19344602.0,CLA
2024-03-11|AMS|KL|0601||2024-03-11|D|155080640|162860428|19344603,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2551,KG,C,,,ULD,PMC67685AF,2655.0,104.0,12/3/2024 8:02,AFT,42P,L,155080640,162860428,19344603.0,PES
2024-03-11|AMS|KL|0601||2024-03-11|D|155080640|162860428|19344604,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,2551,KG,C,,,ULD,PMC67685AF,2655.0,104.0,12/3/2024 8:02,AFT,42P,L,155080640,162860428,19344604.0,CLA
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344605,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344605.0,ELI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344606,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344606.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344607,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344607.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344608,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344608.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344609,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344609.0,RNG
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344610,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344610.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344611,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344611.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344612,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344612.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344613,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344613.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344614,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344614.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344615,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344615.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080641|162860429|19344616,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1866,KG,C,,,ULD,PMC68245AF,1970.0,104.0,12/3/2024 8:02,AFT,32P,L,155080641,162860429,19344616.0,RMD
2024-03-11|AMS|KL|0601||2024-03-11|D|155080642|162860430,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,872,KG,C,,,ULD,PAG10300AF,976.0,104.0,12/3/2024 8:02,FWD,23P,L,155080642,162860430,,
2024-03-11|AMS|KL|0601||2024-03-11|D|155080643|162860431|19344617,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,839,KG,C,,,ULD,PMC22614KL,964.0,125.0,12/3/2024 8:02,FWD,11P,L,155080643,162860431,19344617.0,OHG
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344618,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344618.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344619,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344619.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344620,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344620.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344621,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344621.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344622,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344622.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344623,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344623.0,RLI
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344624,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344624.0,ICE
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344625,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344625.0,ICE
2024-03-11|AMS|KL|0601||2024-03-11|D|155080644|162860432|19344626,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1410,KG,C,,,ULD,PMC71007AF,1520.0,110.0,12/3/2024 8:02,FWD,24P,L,155080644,162860432,19344626.0,RNG
2024-03-11|AMS|KL|0601||2024-03-11|D|155080693|162860484|19344634,2024-03-11|KL|0601||AMS,ACTIVE,AMS,LAX,1476,KG,C,,,ULD,PAG12931AF,1580.0,104.0,12/3/2024 8:02,FWD,12P,L,155080693,162860484,19344634.0,CRT
