ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC72228AF,11,5749994980,1,1.0,R21,2,103.0,"0,32",BLR,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,25-3-2024 22:59:31,PL04,VG2/3,VG2/3,PMC72228AF,2.0,False,True,False
PMC72228AF,11,5750946965,1,4.0,R21,20,560.0,"1,92",BLR,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,25-3-2024 23:17:20,PL04,VG2/3,VG2/3,PMC72228AF,4.0,False,True,False
PMC72228AF,11,5750946965,1,1.0,R21,20,560.0,"1,92",BLR,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,25-3-2024 23:17:20,PL04,VG2/3,VG2/3,PMC72228AF,6.0,False,True,False
AKE70096KL,0,5750946965,1,2.0,R21,20,560.0,"1,92",BLR,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,25-3-2024 23:31:44,PK03,VG2/3,VG2/3,AKE70096KL,6.0,False,True,False
PMC72228AF,11,5750946965,1,3.0,R21,20,560.0,"1,92",BLR,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,25-3-2024 23:17:20,PL04,VG2/3,VG2/3,PMC72228AF,4.0,False,True,False
PMC31638KL,0,7401403253,1,1.0,S23,4,1955.0,"6,14",AMS,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,26-3-2024 06:36:28,PK04,VG2/3,VG2/3,PMC31638KL,1.0,False,True,False
PMC31638KL,0,7401403253,1,2.0,S23,4,1955.0,"6,14",AMS,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,26-3-2024 06:36:28,PK04,VG2/3,VG2/3,PMC31638KL,1.0,False,True,False
PMC31638KL,0,7401403253,1,3.0,S23,4,1955.0,"6,14",AMS,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,26-3-2024 06:36:28,PK04,VG2/3,VG2/3,PMC31638KL,1.0,False,True,False
PMC31638KL,0,7401403253,1,4.0,S23,4,1955.0,"6,14",AMS,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,26-3-2024 06:36:28,PK04,VG2/3,VG2/3,PMC31638KL,1.0,False,True,False
PMC31638KL,0,7401419902,1,1.0,S23,2,600.0,"1,49",AMS,LAX,KL,601,KL0601,2024-03-26,26-3-2024 09:50:00,26-3-2024 09:50:00,Aircraft,26-3-2024 06:42:41,PK05,VG2/3,VG2/3,PMC31638KL,1.0,False,True,False
