BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
28-3-2024 10:06:52,74,1403334,7401403334,AMS,LAX,A,4.53,MC,1935.0,K,4.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18536760,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,4.53,1935.0,4.0,1.0,1.0,1.13,483.75,4.0,True,True,1.13,483.75,,,,False
28-3-2024 10:06:52,74,1403334,7401403334,AMS,LAX,A,4.53,MC,1935.0,K,4.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18536760,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,4.53,1935.0,4.0,1.0,2.0,0.94,,5.0,True,True,0.94,,130.0,60.0,120.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,3.0,0.01,,1.0,True,True,0.01,,11.0,20.0,25.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,4.0,0.02,,1.0,True,True,0.02,,25.0,28.0,33.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,5.0,0.08,,2.0,True,True,0.08,,34.0,47.0,47.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,2.0,0.01,,1.0,True,True,0.01,,18.0,22.0,22.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,1.0,0.44,30.11,9.0,True,True,0.44,30.11,,,,False
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,7.0,0.1,,1.0,True,True,0.1,,41.0,40.0,60.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,6.0,0.07,,1.0,True,True,0.07,,29.0,39.0,60.0,True
28-3-2024 10:06:52,74,1428711,7401428711,AMS,LAX,A,3.95,MC,271.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18560879,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,3.94,270.9,9.0,1.0,8.0,1.8,,2.0,True,True,1.8,,100.0,100.0,180.0,True
28-3-2024 10:06:52,74,1432200,7401432200,FRA,LAX,A,0.96,MC,224.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18581512,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,0.5,112.0,1.0,,,,,,,,,,,,,
28-3-2024 10:06:52,74,1445942,7401445942,FRA,LAX,A,2.05,MC,460.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18577106,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,2.05,460.0,1.0,1.0,1.0,2.06,,1.0,True,True,2.05,460.0,,,,False
28-3-2024 10:06:52,74,1445942,7401445942,FRA,LAX,A,2.05,MC,460.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18577106,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,2.05,460.0,1.0,1.0,2.0,2.05,460.0,1.0,True,True,2.06,460.0,61.0,160.0,211.0,True
28-3-2024 10:06:52,74,35557712,7435557712,HEL,LAX,A,0.57,MC,43.0,K,1.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18578153,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,0.57,43.0,1.0,1.0,1.0,0.57,43.0,1.0,True,True,0.57,43.0,,,,False
28-3-2024 10:06:52,74,35557712,7435557712,HEL,LAX,A,0.57,MC,43.0,K,1.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18578153,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,0.57,43.0,1.0,1.0,2.0,0.58,,1.0,True,True,0.58,43.0,60.0,80.0,120.0,True
28-3-2024 10:06:52,74,50536334,7450536334,AMS,LAX,A,0.47,MC,238.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18569550,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,0.47,238.0,1.0,1.0,1.0,0.47,238.0,1.0,True,True,0.47,238.0,,,,False
28-3-2024 10:06:52,74,50536334,7450536334,AMS,LAX,A,0.47,MC,238.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18569550,KL,601,KL0601,,AMS,LAX,27-3-2024,2024-03-28,0.47,238.0,1.0,1.0,2.0,0.47,,1.0,True,True,0.47,238.0,59.0,80.0,100.0,True
