BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
1/4/2024 9:11,57,50255472,5750255472,LNZ,SFO,A,1.53,MC,813.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18595129,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.53,813.0,3.0,1.0,1.0,0.61,,1.0,True,True,,,,,,
1/4/2024 9:11,57,50255472,5750255472,LNZ,SFO,A,1.53,MC,813.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18595129,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.53,813.0,3.0,1.0,2.0,0.51,271.0,3.0,True,True,0.45,271.0,47.0,80.0,120.0,True
1/4/2024 9:11,57,50255472,5750255472,LNZ,SFO,A,1.53,MC,813.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18595129,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.53,813.0,3.0,1.0,3.0,0.45,,1.0,True,True,0.46,,48.0,80.0,120.0,True
1/4/2024 9:11,57,50255472,5750255472,LNZ,SFO,A,1.53,MC,813.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18595129,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.53,813.0,3.0,1.0,4.0,0.46,,1.0,True,True,0.61,,64.0,80.0,120.0,True
1/4/2024 9:11,74,905015,7400905015,QFA,SFO,A,1.54,MC,348.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18598539,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.54,348.0,1.0,1.0,1.0,1.54,348.0,1.0,True,True,1.54,348.0,,,,False
1/4/2024 9:11,74,905015,7400905015,QFA,SFO,A,1.54,MC,348.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18598539,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.54,348.0,1.0,1.0,2.0,1.54,,1.0,True,True,1.54,348.0,160.0,80.0,120.0,True
1/4/2024 9:11,74,1452124,7401452124,FRA,SFO,A,1.44,MC,193.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582292,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.44,193.0,1.0,1.0,2.0,1.44,,1.0,True,True,1.44,193.0,150.0,80.0,120.0,True
1/4/2024 9:11,74,1452124,7401452124,FRA,SFO,A,1.44,MC,193.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18582292,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.44,193.0,1.0,1.0,1.0,1.44,193.0,1.0,True,True,1.44,193.0,,,,False
1/4/2024 9:11,74,1463162,7401463162,KRK,SFO,A,4.43,MC,1105.4,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590777,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,4.41,1105.2,6.0,1.0,2.0,0.08,,1.0,True,True,0.08,,40.0,40.0,50.0,True
1/4/2024 9:11,74,1463162,7401463162,KRK,SFO,A,4.43,MC,1105.4,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18590777,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,4.41,1105.2,6.0,1.0,3.0,0.91,,5.0,True,True,0.91,,95.0,80.0,120.0,True
1/4/2024 9:11,74,1464643,7401464643,FRA,SFO,A,3.34,MC,557.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18591694,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,3.34,557.0,4.0,1.0,1.0,0.84,139.25,4.0,True,True,0.84,139.25,,,,False
1/4/2024 9:11,74,1464643,7401464643,FRA,SFO,A,3.34,MC,557.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18591694,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,3.34,557.0,4.0,1.0,2.0,0.6,,1.0,True,True,0.6,,75.0,80.0,100.0,True
1/4/2024 9:11,74,1464643,7401464643,FRA,SFO,A,3.34,MC,557.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18591694,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,3.34,557.0,4.0,1.0,3.0,0.91,,3.0,True,True,0.91,,95.0,80.0,120.0,True
1/4/2024 9:11,74,57242220,7457242220,MUC,SFO,A,0.42,MC,76.0,K,3.0,S32,ELEC,AMS,FFM,False,False,False,False,False,False,False,False,18589718,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,0.42,76.0,3.0,1.0,3.0,0.13,,1.0,True,True,0.13,,42.0,40.0,80.0,True
1/4/2024 9:11,74,57242220,7457242220,MUC,SFO,A,0.42,MC,76.0,K,3.0,S32,ELEC,AMS,FFM,False,False,False,False,False,False,False,False,18589718,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,0.42,76.0,3.0,1.0,1.0,0.14,25.33,3.0,True,True,0.14,25.33,,,,False
1/4/2024 9:11,74,57242220,7457242220,MUC,SFO,A,0.42,MC,76.0,K,3.0,S32,ELEC,AMS,FFM,False,False,False,False,False,False,False,False,18589718,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,0.42,76.0,3.0,1.0,2.0,0.12,,1.0,True,True,0.12,,37.0,40.0,80.0,True
1/4/2024 9:11,74,57242220,7457242220,MUC,SFO,A,0.42,MC,76.0,K,3.0,S32,ELEC,AMS,FFM,False,False,False,False,False,False,False,False,18589718,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,0.42,76.0,3.0,1.0,4.0,0.17,,1.0,True,True,0.17,,53.0,40.0,80.0,True
1/4/2024 9:11,74,57295965,7457295965,SXB,SFO,A,1.68,MC,227.6,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18578209,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.68,227.5,6.0,1.0,1.0,0.28,37.93,6.0,True,True,0.28,37.93,,,,False
1/4/2024 9:11,74,63008606,7463008606,FRA,SFO,A,13.27,MC,376.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18594809,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,20.0,376.0,4.0,1.0,2.0,3.32,,4.0,True,True,3.32,94.0,130.0,141.0,181.0,True
1/4/2024 9:11,74,63008610,7463008610,FRA,SFO,A,6.63,MC,188.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18594856,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,6.63,188.0,2.0,1.0,2.0,3.32,,2.0,True,True,3.32,94.0,130.0,141.0,181.0,True
1/4/2024 9:11,74,63008610,7463008610,FRA,SFO,A,6.63,MC,188.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18594856,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,6.63,188.0,2.0,1.0,1.0,3.32,94.0,2.0,True,True,3.32,94.0,,,,False
1/4/2024 9:11,74,63304231,7463304231,BCN,SFO,A,15.9,MC,1547.0,K,17.0,R91,DGRS,AMS,FFM,False,False,False,False,False,False,False,True,18567788,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,15.88,1547.0,17.0,,,,,,,,,,,,,
1/4/2024 9:11,74,64279062,7464279062,ATH,SFO,A,0.17,MC,72.0,K,14.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18590603,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,0.17,72.0,14.0,1.0,1.0,0.01,5.14,14.0,True,True,0.01,5.14,,,,False
1/4/2024 9:11,74,64406134,7464406134,LNZ,SFO,A,1.51,MC,456.2,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18554370,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.51,456.2,1.0,1.0,1.0,1.51,456.2,1.0,True,True,1.51,456.2,,,,False
1/4/2024 9:11,74,64406134,7464406134,LNZ,SFO,A,1.51,MC,456.2,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18554370,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,1.51,456.2,1.0,1.0,2.0,1.51,,1.0,True,True,1.51,456.2,57.0,105.0,253.0,True
1/4/2024 9:11,74,64697334,7464697334,FRA,SFO,A,2.39,MC,211.5,K,16.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18587878,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,2.39,211.5,16.0,1.0,2.0,0.15,,16.0,True,True,0.15,13.22,28.0,73.0,73.0,True
1/4/2024 9:11,74,64697334,7464697334,FRA,SFO,A,2.39,MC,211.5,K,16.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18587878,KL,605,KL0605,,AMS,SFO,31-3-2024,2024-04-01,2.39,211.5,16.0,1.0,1.0,0.15,13.22,16.0,True,True,0.15,13.22,,,,False
