FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-06|AMS|KL|0605||2024-02-06|D|153682423|161377464|19194560,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,4930,KG,E,,,ULD,PMC24484KL,5055.0,125.0,13-2-2024 04:28:48,AFT,43P,L,153682423,161377464,19194560.0,BAL
2024-02-06|AMS|KL|0605||2024-02-06|D|153689803|161393667,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,475,KG,B,F,27.0,ULD,AKE97965KL,614.0,57.0,13-2-2024 04:28:48,FWD,15R,L,153689803,161393667,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689803|161393668,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,72,KG,D,,4.0,ULD,AKE97965KL,614.0,57.0,13-2-2024 04:28:48,FWD,15R,L,153689803,161393668,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689803|161393669,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,10,KG,B,T,1.0,ULD,AKE97965KL,614.0,57.0,13-2-2024 04:28:48,FWD,15R,L,153689803,161393669,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689804|161393665,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,120,KG,B,B,7.0,ULD,AKE70098KL,839.0,57.0,13-2-2024 04:28:48,FWD,15L,L,153689804,161393665,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689804|161393666,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,662,KG,B,Y,38.0,ULD,AKE70098KL,839.0,57.0,13-2-2024 04:28:48,FWD,15L,L,153689804,161393666,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689805|161393673,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,211,KG,B,F,12.0,ULD,AKE97640KL,268.0,57.0,13-2-2024 04:28:48,FWD,22L,L,153689805,161393673,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689806|161393670,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,209,KG,B,Y,12.0,ULD,AKE94677KL,266.0,57.0,13-2-2024 04:28:48,FWD,21L,L,153689806,161393670,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689807|161393674,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,35,KG,B,B,2.0,ULD,AKE96376KL,754.0,57.0,13-2-2024 04:28:48,FWD,22R,L,153689807,161393674,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689807|161393675,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,645,KG,B,Y,37.0,ULD,AKE96376KL,754.0,57.0,13-2-2024 04:28:48,FWD,22R,L,153689807,161393675,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689807|161393676,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,17,KG,B,F,1.0,ULD,AKE96376KL,754.0,57.0,13-2-2024 04:28:48,FWD,22R,L,153689807,161393676,,
2024-02-06|AMS|KL|0605||2024-02-06|D|153689818|161385113|19195294,2024-02-06|KL|0605||AMS,ACTIVE,AMS,SFO,8,KG,E,,,CBN,,,,13-2-2024 04:28:48,UNK,0F,X,153689818,161385113,19195294.0,SVA
