ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC63417AF,0,7401149805,1,,R21,1,976.0,"6,08",LCJ,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:22,PG03,VG2/3,VG2/3,PMC63417AF,,False,True,False
PMC21302MP,6,7401183265,1,1.0,R21,2,262.0,"1,06",AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 3:47,PK01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
PMC21302MP,6,7401183265,1,2.0,R21,2,262.0,"1,06",AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 3:47,PK01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
PMC69328AF,0,7401191945,1,,S23,161,3983.0,10,AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,,,,,PMC69328AF,,True,False,False
AKE70157KL,0,7461951466,1,4.0,R21,4,149.0,"5,52",PRG,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 5:06,PG01,VG2/3,VG2/3,AKE70157KL,1.0,False,True,False
PAG12185AF,0,7462325141,1,1.0,R21,1,150.0,"0,98",SWK,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
AKE70157KL,0,7462924385,1,1.0,R21,1,341.0,"0,57",FMO,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 5:09,PG01,VG2/3,VG2/3,AKE70157KL,1.0,False,True,False
PMC63417AF,0,7463067826,1,1.0,R21,1,136.0,"0,29",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:31,PG03,VG2/3,VG2/3,PMC63417AF,1.0,False,True,False
PMC21302MP,6,7463093660,1,,R21,14,612.0,"2,78",SWK,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,,,,,PMC21302MP,,True,False,False
PMC21302MP,6,7463195392,1,1.0,R21,1,133.0,"1,03",AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 3:43,PK01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
PAG12185AF,0,7463516482,1,1.0,R21,2,226.0,"1,36",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
PAG12185AF,0,7463516482,1,2.0,R21,2,226.0,"1,36",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
PAG12185AF,0,7463516482,1,3.0,R21,2,226.0,"1,36",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
PAG12185AF,0,7463516482,1,4.0,R21,2,226.0,"1,36",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
PAG12185AF,0,7463516482,1,5.0,R21,2,226.0,"1,36",BRU,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,2.0,False,True,False
PAG12185AF,0,7463718841,1,1.0,R21,1,140.0,"0,32",AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 6:54,PG03,VG2/3,VG2/3,PAG12185AF,1.0,False,True,False
PMC21302MP,6,7463727742,1,1.0,R21,3,643.9,"2,98",AMS,SFO,KL,605,KL0605,2024-02-11,11/2/2024 10:32,11/2/2024 10:00,Aircraft,11/2/2024 3:50,PK01,VG2/3,VG2/3,PMC21302MP,1.0,False,True,False
