BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
25-2-2024 11:26:42,74,12703,7400012703,AMS,SFO,A,0.89,MC,375.0,K,1.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18380485,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,0.89,375.0,1.0,1.0,2.0,1.54,,1.0,True,True,1.54,375.0,160.0,80.0,120.0,True
25-2-2024 11:26:42,74,12703,7400012703,AMS,SFO,A,0.89,MC,375.0,K,1.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18380485,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,0.89,375.0,1.0,1.0,1.0,0.89,375.0,1.0,True,True,0.89,375.0,,,,False
25-2-2024 11:26:42,74,865675,7400865675,BOM,SFO,A,6.87,MC,1142.0,K,79.0,C24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18411725,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,6.87,1142.0,79.0,1.0,2.0,0.04,,1.0,True,True,0.04,,30.0,32.0,44.0,True
25-2-2024 11:26:42,74,865675,7400865675,BOM,SFO,A,6.87,MC,1142.0,K,79.0,C24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18411725,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,6.87,1142.0,79.0,1.0,3.0,0.09,,78.0,True,True,0.09,,48.0,38.0,48.0,True
25-2-2024 11:26:42,74,865675,7400865675,BOM,SFO,A,6.87,MC,1142.0,K,79.0,C24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18411725,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,6.87,1142.0,79.0,1.0,1.0,0.09,14.46,79.0,True,True,0.09,14.46,,,,False
27-2-2024 10:46:26,74,887401,7400887401,BLL,SFO,A,20.52,MC,2016.0,K,14.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18448591,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,5.88,576.0,4.0,,,,,,,,,,,,,
25-2-2024 11:26:42,74,1255940,7401255940,AMS,SFO,A,22.58,MC,3763.0,K,161.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18416563,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,22.58,3763.0,161.0,1.0,1.0,0.14,23.37,161.0,True,True,0.14,23.37,,,,False
25-2-2024 11:26:42,74,1269881,7401269881,FMO,SFO,A,0.49,MC,81.0,K,1.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18430059,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,0.48,81.0,1.0,1.0,1.0,0.49,81.0,1.0,True,True,0.49,81.0,,,,False
25-2-2024 11:26:42,74,1269881,7401269881,FMO,SFO,A,0.49,MC,81.0,K,1.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18430059,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,0.48,81.0,1.0,1.0,2.0,1.42,,1.0,True,True,1.42,81.0,65.0,114.0,191.0,True
25-2-2024 11:26:42,74,1285616,7401285616,AMS,SFO,A,3.26,MC,535.0,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18444686,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,3.25,534.9,6.0,1.0,2.0,0.29,,1.0,True,True,0.29,,60.0,60.0,80.0,True
25-2-2024 11:26:42,74,1285616,7401285616,AMS,SFO,A,3.26,MC,535.0,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18444686,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,3.25,534.9,6.0,1.0,5.0,0.86,,2.0,True,True,0.86,,90.0,80.0,120.0,True
25-2-2024 11:26:42,74,1285616,7401285616,AMS,SFO,A,3.26,MC,535.0,K,6.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18444686,KL,605,KL0605,,AMS,SFO,24-2-2024,2024-02-25,3.25,534.9,6.0,1.0,3.0,0.38,,1.0,True,True,0.38,,79.0,60.0,80.0,True
