FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-07|AMS|KL|0605||2024-01-07|D|152483381|160125688,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,126,KG,D,,7.0,ULD,AKE95041KL,674.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152483381,160125688,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483381|160125689,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,34,KG,B,Y,2.0,ULD,AKE95041KL,674.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152483381,160125689,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483381|160125690,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,457,KG,B,F,28.0,ULD,AKE95041KL,674.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152483381,160125690,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483382|160125684,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,54,KG,D,,3.0,ULD,AKE95755KL,858.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152483382,160125684,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483382|160125685,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,277,KG,B,F,17.0,ULD,AKE95755KL,858.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152483382,160125685,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483382|160125686,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,453,KG,B,Y,26.0,ULD,AKE95755KL,858.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152483382,160125686,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483382|160125687,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,17,KG,B,B,1.0,ULD,AKE95755KL,858.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152483382,160125687,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483383|160125680,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,384,KG,B,Y,22.0,ULD,AKE95025KL,903.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152483383,160125680,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483383|160125681,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,462,KG,B,B,28.0,ULD,AKE95025KL,903.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152483383,160125681,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483384|160125735,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,139,KG,B,Y,8.0,ULD,AKE97351KL,213.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152483384,160125735,,
2024-01-07|AMS|KL|0605||2024-01-07|D|152483384|160125736,2024-01-07|KL|0605||AMS,ACTIVE,AMS,SFO,17,KG,B,F,1.0,ULD,AKE97351KL,213.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152483384,160125736,,
