ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PLB42498KL,0,7400739303,1,1.0,R21,1,72.0,"0,88",CPH,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:10:46,PG04,VG2/3,VG2/3,PLB42498KL,1.0,False,True,False
PMC90108AF,0,7401093632,1,4.0,S23,4,1900.0,"4,47",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:26:15,PG02,VG2/3,VG2/3,PMC90108AF,1.0,False,True,False
PMC90108AF,0,7401093632,1,3.0,S23,4,1900.0,"4,47",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:26:15,PG02,VG2/3,VG2/3,PMC90108AF,1.0,False,True,False
PMC90108AF,0,7401093632,1,1.0,S23,4,1900.0,"4,47",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:26:15,PG02,VG2/3,VG2/3,PMC90108AF,1.0,False,True,False
PMC90108AF,0,7401093632,1,2.0,S23,4,1900.0,"4,47",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:26:15,PG02,VG2/3,VG2/3,PMC90108AF,1.0,False,True,False
PMC90123AF,0,7401099501,1,6.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:20:13,PH01,VG2/3,VG2/3,PMC90123AF,1.0,False,True,False
PMC90123AF,0,7401099501,1,3.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:20:13,PH01,VG2/3,VG2/3,PMC90123AF,1.0,False,True,False
PAG10238AF,0,7401099501,1,1.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:10:27,PG03,VG2/3,VG2/3,PAG10238AF,1.0,False,True,False
PMC90123AF,0,7401099501,1,4.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:20:13,PH01,VG2/3,VG2/3,PMC90123AF,1.0,False,True,False
PMC90123AF,0,7401099501,1,5.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:20:13,PH01,VG2/3,VG2/3,PMC90123AF,1.0,False,True,False
PMC90123AF,0,7401099501,1,2.0,R21,6,580.9,"8,48",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:20:13,PH01,VG2/3,VG2/3,PMC90123AF,1.0,False,True,False
PAG03526KL,0,7401107153,1,1.0,R21,3,519.9,"5,02",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:58:33,PH01,VG2/3,VG2/3,PAG03526KL,1.0,False,True,False
PAG03526KL,0,7401107153,1,2.0,R21,3,519.9,"5,02",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:58:33,PH01,VG2/3,VG2/3,PAG03526KL,1.0,False,True,False
PMC76349AF,0,7401107153,1,3.0,R21,3,519.9,"5,02",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:51:12,PG03,VG2/3,VG2/3,PMC76349AF,1.0,False,True,False
PAG03526KL,0,7401110970,1,1.0,M21,1,7.8,"0,01",RTM,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 03:55:06,PH01,VG2/3,VG2/3,PAG03526KL,1.0,False,True,False
PMC90108AF,0,7401114444,1,1.0,S23,1,345.0,"0,81",AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 06:26:53,PG02,VG2/3,VG2/3,PMC90108AF,1.0,False,True,False
PMC76349AF,0,7460389280,1,1.0,R21,4,739.0,"7,19",SWK,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 07:01:27,PG03,VG2/3,VG2/3,PMC76349AF,1.0,False,True,False
PMC76349AF,0,7460389280,1,2.0,R21,4,739.0,"7,19",SWK,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 07:01:27,PG03,VG2/3,VG2/3,PMC76349AF,1.0,False,True,False
PMC76349AF,0,7460389280,1,3.0,R21,4,739.0,"7,19",SWK,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,18-1-2024 07:01:27,PG03,VG2/3,VG2/3,PMC76349AF,1.0,False,True,False
PMC69052AF,3,7460389291,1,,R21,26,2576.0,"46,8",SWK,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,,,,,PMC69052AF,,True,False,False
PAG10238AF,0,7462173296,1,8.0,R21,13,3363.0,17,AMS,SFO,KL,605,KL0605,2024-01-18,18-1-2024 12:09:00,18-1-2024 10:00:00,Aircraft,17-1-2024 23:03:44,PG03,VG2/3,VG2/3,PAG10238AF,1.0,False,True,False
