FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-01|AMS|KL|0605||2024-03-01|D|154656563|162410160,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,676,KG,B,F,39.0,ULD,AKE96594KL,769.0,57.0,2/3/2024 4:29,FWD,14L,L,154656563,162410160,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656563|162410161,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,36,KG,D,,2.0,ULD,AKE96594KL,769.0,57.0,2/3/2024 4:29,FWD,14L,L,154656563,162410161,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656565|162410163,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,479,KG,B,Y,28.0,ULD,AKE95799KL,752.0,57.0,2/3/2024 4:29,FWD,22R,L,154656565,162410163,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656565|162434341,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,216,KG,B,B,12.0,ULD,AKE95799KL,752.0,57.0,2/3/2024 4:29,FWD,22R,L,154656565,162434341,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656566|162434866,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,572,KG,B,F,33.0,ULD,AKE97045KL,718.0,57.0,2/3/2024 4:29,FWD,15R,L,154656566,162434866,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656566|162434867,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,53,KG,B,T,3.0,ULD,AKE97045KL,718.0,57.0,2/3/2024 4:29,FWD,15R,L,154656566,162434867,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656566|162434868,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,36,KG,D,,2.0,ULD,AKE97045KL,718.0,57.0,2/3/2024 4:29,FWD,15R,L,154656566,162434868,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656567|162410165,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,701,KG,B,Y,41.0,ULD,AKE97536KL,758.0,57.0,2/3/2024 4:29,FWD,21L,L,154656567,162410165,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656568|162410166,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,616,KG,B,Y,36.0,ULD,AKE95541KL,691.0,57.0,2/3/2024 4:29,FWD,21R,L,154656568,162410166,,
2024-03-01|AMS|KL|0605||2024-03-01|D|154656568|162434506,2024-03-01|KL|0605||AMS,ACTIVE,AMS,SFO,18,KG,B,B,1.0,ULD,AKE95541KL,691.0,57.0,2/3/2024 4:29,FWD,21R,L,154656568,162434506,,
