BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
15-3-2024 10:10:37,74,1364484,7401364484,AMS,SFO,A,0.79,MC,333.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18506130,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.79,333.0,1.0,1.0,1.0,0.79,333.0,1.0,True,True,0.79,333.0,,,,False
15-3-2024 10:10:37,74,1364484,7401364484,AMS,SFO,A,0.79,MC,333.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18506130,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.79,333.0,1.0,1.0,2.0,1.01,,1.0,True,True,1.01,333.0,105.0,80.0,120.0,True
15-3-2024 10:10:37,74,1386243,7401386243,AMS,SFO,A,11.19,MC,4177.0,K,161.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18523806,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,10.0,3703.0,161.0,1.0,2.0,0.06,,161.0,True,True,0.06,25.94,20.0,39.0,79.0,True
15-3-2024 10:10:37,74,1387934,7401387934,AMS,SFO,A,0.03,MC,3.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18525047,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.03,3.0,1.0,1.0,1.0,0.03,3.0,1.0,True,True,0.03,3.0,,,,False
15-3-2024 10:10:37,74,1387934,7401387934,AMS,SFO,A,0.03,MC,3.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18525047,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.03,3.0,1.0,1.0,2.0,0.04,,1.0,True,True,0.04,3.0,21.0,37.0,49.0,True
15-3-2024 10:10:37,74,1390362,7401390362,AMS,SFO,A,7.18,MC,1418.0,K,4.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526307,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,7.17,1418.0,4.0,1.0,1.0,1.8,354.5,4.0,True,True,1.8,354.5,,,,False
15-3-2024 10:10:37,74,1390362,7401390362,AMS,SFO,A,7.18,MC,1418.0,K,4.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526307,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,7.17,1418.0,4.0,1.0,3.0,1.95,,3.0,True,True,1.95,,148.0,110.0,120.0,True
15-3-2024 10:10:37,74,1390362,7401390362,AMS,SFO,A,7.18,MC,1418.0,K,4.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526307,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,7.17,1418.0,4.0,1.0,2.0,1.32,,1.0,True,True,1.32,,100.0,110.0,120.0,True
15-3-2024 10:10:37,74,1390642,7401390642,AMS,SFO,A,0.07,MC,16.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526473,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.07,16.0,1.0,1.0,1.0,0.07,16.0,1.0,True,True,0.07,16.0,,,,False
15-3-2024 10:10:37,74,1390642,7401390642,AMS,SFO,A,0.07,MC,16.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18526473,KL,605,KL0605,,AMS,SFO,14-3-2024,2024-03-15,0.07,16.0,1.0,1.0,2.0,0.07,,1.0,True,True,0.07,16.0,17.0,56.0,75.0,True
