ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC32995KL,0,5708643725,1,1.0,S51,14,101.0,"1,35",SWK,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:42:03,PG02,VG2/3,VG2/3,PMC32995KL,14.0,False,True,False
PMC20176MP,0,5750255380,1,1.0,R21,1,162.0,"0,29",BUD,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:23:14,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PMC20176MP,0,5772094433,1,1.0,C01,2,1031.8,"2,14",SWK,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:21:26,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PMC20176MP,0,5772094433,1,2.0,C01,2,1031.8,"2,14",SWK,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:21:26,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PMC23138KL,0,7401424802,1,1.0,R21,1,22.0,"0,6",PRG,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 07:08:21,PG04,VG2/3,VG2/3,PMC23138KL,1.0,False,True,False
PMC66367AF,10,7462556896,1,1.0,R21,1,150.0,"0,26",FMO,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:43:26,PG03,VG2/3,VG2/3,PMC66367AF,1.0,False,True,False
PMC23138KL,0,7463575536,1,4.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 07:05:39,PG04,VG2/3,VG2/3,PMC23138KL,1.0,False,True,False
PMC23138KL,0,7463575536,1,5.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 07:05:39,PG04,VG2/3,VG2/3,PMC23138KL,1.0,False,True,False
PMC23138KL,0,7463575536,1,6.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 07:05:39,PG04,VG2/3,VG2/3,PMC23138KL,1.0,False,True,False
PMC32995KL,0,7463575536,1,1.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:37:36,PG02,VG2/3,VG2/3,PMC32995KL,1.0,False,True,False
PMC32995KL,0,7463575536,1,2.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:37:36,PG02,VG2/3,VG2/3,PMC32995KL,1.0,False,True,False
PMC32995KL,0,7463575536,1,3.0,R21,6,1860.0,"16,35",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:37:36,PG02,VG2/3,VG2/3,PMC32995KL,1.0,False,True,False
PMC75751AF,0,7463903722,1,1.0,M21,1,3.7,"0,01",PRG,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:08:58,PG01,VG2/3,VG2/3,PMC75751AF,1.0,False,True,False
PAG13013AF,2,7464072621,1,1.0,M25,1,240.0,"0,62",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 05:15:15,PG02,VG2/3,VG2/3,PAG13013AF,1.0,False,True,False
PMC75751AF,0,7464104025,1,1.0,S23,148,2109.0,"6,49",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:03:40,PG01,VG2/3,VG2/3,PMC75751AF,34.0,False,True,False
PMC75751AF,0,7464104025,1,2.0,S23,148,2109.0,"6,49",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:03:40,PG01,VG2/3,VG2/3,PMC75751AF,34.0,False,True,False
PMC75751AF,0,7464104025,1,3.0,S23,148,2109.0,"6,49",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:03:40,PG01,VG2/3,VG2/3,PMC75751AF,10.0,False,True,False
PMC75751AF,0,7464104025,1,4.0,S23,148,2109.0,"6,49",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:03:40,PG01,VG2/3,VG2/3,PMC75751AF,35.0,False,True,False
PMC75751AF,0,7464104025,1,5.0,S23,148,2109.0,"6,49",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:03:40,PG01,VG2/3,VG2/3,PMC75751AF,35.0,False,True,False
PMC66367AF,10,7464483403,1,1.0,S24,14,182.0,"1,09",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 04:42:37,PG03,VG2/3,VG2/3,PMC66367AF,14.0,False,True,False
PMC66367AF,10,7464492772,1,,R21,3,739.0,"3,89",BER,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,,,,,PMC66367AF,,True,False,False
PMC20176MP,0,7464498792,1,1.0,C01,8,285.3,"0,94",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:10:11,PG02,VG2/3,VG2/3,PMC20176MP,3.0,False,True,False
PMC20176MP,0,7464498792,1,2.0,C01,8,285.3,"0,94",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:10:11,PG02,VG2/3,VG2/3,PMC20176MP,5.0,False,True,False
PMC20176MP,0,7464507612,1,1.0,C01,3,836.8,"3,69",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:06:31,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PMC20176MP,0,7464507612,1,2.0,C01,3,836.8,"3,69",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:06:31,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PMC20176MP,0,7464507612,1,3.0,C01,3,836.8,"3,69",AMS,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,26-3-2024 06:06:31,PG02,VG2/3,VG2/3,PMC20176MP,1.0,False,True,False
PAG13013AF,2,7464545843,1,,S20,60,873.9,"5,24",BOM,SFO,KL,605,KL0605,2024-03-26,26-3-2024 10:03:00,26-3-2024 10:00:00,Aircraft,,,,,PAG13013AF,,True,False,False
