FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-13|AMS|KL|0835||2024-02-13|D|153966575|161707630,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,679,KG,B,T,38.0,ULD,AKE96336KL,736.0,57.0,14-2-2024 04:27:47,AFT,34R,L,153966575,161707630,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966576|161707629,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,714,KG,B,Y,46.0,ULD,AKE98113KL,771.0,57.0,14-2-2024 04:27:47,AFT,33R,L,153966576,161707629,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966577|161708113,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,126,KG,D,,7.0,ULD,AKE97801KL,471.0,57.0,14-2-2024 04:27:47,AFT,41R,L,153966577,161708113,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966577|161708114,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,77,KG,B,Y,5.0,ULD,AKE97801KL,471.0,57.0,14-2-2024 04:27:47,AFT,41R,L,153966577,161708114,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966577|161708115,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,211,KG,B,F,12.0,ULD,AKE97801KL,471.0,57.0,14-2-2024 04:27:47,AFT,41R,L,153966577,161708115,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966578|161707631,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,643,KG,B,T,36.0,ULD,AKE95541KL,700.0,57.0,14-2-2024 04:27:47,AFT,35R,L,153966578,161707631,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966579|161706688,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,700,KG,B,Y,40.0,ULD,AKE97668KL,757.0,57.0,14-2-2024 04:27:47,AFT,32L,L,153966579,161706688,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966581|161708130,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,182,KG,B,T,10.0,ULD,AKE94728KL,239.0,57.0,14-2-2024 04:27:47,AFT,34L,L,153966581,161708130,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966583|161707627,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,700,KG,B,Y,40.0,ULD,AKE97264KL,757.0,57.0,14-2-2024 04:27:47,AFT,33L,L,153966583,161707627,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966585|161679107,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966585,161679107,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966586|161679108,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966586,161679108,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966588|161679110,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,20,KG,B,T,1.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966588,161679110,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966589|161679111,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,T,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966589,161679111,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966591|161679113,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,F,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966591,161679113,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966592|161679114|19226707,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,35,KG,B,Y,1.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966592,161679114,19226707.0,AVH
2024-02-13|AMS|KL|0835||2024-02-13|D|153966593|161679115,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,88,KG,B,Y,5.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966593,161679115,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966595|161679117,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966595,161679117,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966596|161679118,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966596,161679118,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966598|161679120,2024-02-13|KL|0835||AMS,ACTIVE,AMS,DPS,18,KG,B,F,1.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966598,161679120,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153966600|161679122,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,B,Y,1.0,BLK,,,,14-2-2024 04:27:47,BLK,52,L,153966600,161679122,,
2024-02-13|AMS|KL|0835||2024-02-13|D|153977917|161708111,2024-02-13|KL|0835||AMS,ACTIVE,AMS,SIN,599,KG,B,F,34.0,ULD,AKE97924KL,764.0,57.0,14-2-2024 04:27:47,AFT,36R,L,153977917,161708111,,
