ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC20944KL,0,7400877785,1,1.0,C01,15,399.5,"1,26",AMS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 15:14:27,PM01,VG2/3,VG2/3,PMC20944KL,1.0,False,True,False
PMC25142KL,0,7400877785,1,2.0,C01,15,399.5,"1,26",AMS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 15:55:37,PM01,VG2/3,VG2/3,PMC25142KL,9.0,False,True,False
PMC25142KL,0,7400877785,1,3.0,C01,15,399.5,"1,26",AMS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 15:55:37,PM01,VG2/3,VG2/3,PMC25142KL,5.0,False,True,False
PMC32504KL,0,7400998174,1,1.0,R21,3,2319.0,"2,4",DUS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 16:47:02,PM01,VG2/3,VG2/3,PMC32504KL,1.0,False,True,False
PAG15610KL,0,7400998174,1,3.0,R21,3,2319.0,"2,4",DUS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 17:28:30,PL01,VG2/3,VG2/3,PAG15610KL,1.0,False,True,False
PAG15610KL,0,7400998174,1,2.0,R21,3,2319.0,"2,4",DUS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 17:28:30,PL01,VG2/3,VG2/3,PAG15610KL,1.0,False,True,False
PMC20944KL,0,7401261971,1,1.0,R21,4,1977.4,"1,87",HEL,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 14:25:29,PM01,VG2/3,VG2/3,PMC20944KL,2.0,False,True,False
PMC20944KL,0,7401261971,1,2.0,R21,4,1977.4,"1,87",HEL,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 14:23:26,PM01,VG2/3,VG2/3,PMC20944KL,1.0,False,True,False
PMC20944KL,0,7401261971,1,3.0,R21,4,1977.4,"1,87",HEL,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 14:25:29,PM01,VG2/3,VG2/3,PMC20944KL,1.0,False,True,False
PMC20944KL,0,7401263102,1,1.0,S50,1,307.7,"0,92",BER,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 14:23:51,PM01,VG2/3,VG2/3,PMC20944KL,1.0,False,True,False
PMC28256KL,7,7401267394,1,,R21,5,781.0,"3,03",LCJ,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,,,,,PMC28256KL,,True,False,False
PMC21625KL,0,7401275072,1,1.0,R21,3,154.0,"0,5",AMS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,28-2-2024 18:28:28,PM13,VG2/3,VG2/3,PMC21625KL,2.0,False,True,False
PMC21625KL,0,7401275072,1,2.0,R21,3,154.0,"0,5",AMS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,28-2-2024 18:28:28,PM13,VG2/3,VG2/3,PMC21625KL,1.0,False,True,False
PMC21625KL,0,7401277592,1,1.0,R21,7,171.0,"4,85",NTE,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,28-2-2024 18:28:36,PM13,VG2/3,VG2/3,PMC21625KL,2.0,False,True,False
PMC22689MP,0,7401277592,1,3.0,R21,7,171.0,"4,85",NTE,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 15:33:52,PL01,VG2/3,VG2/3,PMC22689MP,3.0,False,True,False
PMC21625KL,0,7401277592,1,2.0,R21,7,171.0,"4,85",NTE,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,28-2-2024 18:28:37,PM13,VG2/3,VG2/3,PMC21625KL,2.0,False,True,False
PMC32504KL,0,7401278992,1,1.0,R21,2,470.0,"2,82",MRS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 16:38:27,PM01,VG2/3,VG2/3,PMC32504KL,1.0,False,True,False
PMC32504KL,0,7401278992,1,2.0,R21,2,470.0,"2,82",MRS,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 16:38:27,PM01,VG2/3,VG2/3,PMC32504KL,1.0,False,True,False
PMC69642AF,1,7401281884,1,,R21,13,782.4,"6,34",FRA,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,,,,,PMC69642AF,,True,False,False
PMC20944KL,0,7401281884,1,1.0,R21,13,782.4,"6,34",FRA,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 14:16:18,PM01,VG2/3,VG2/3,PMC20944KL,1.0,False,True,False
PMC32504KL,0,7401281884,1,2.0,R21,13,782.4,"6,34",FRA,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,29-2-2024 16:34:38,PM01,VG2/3,VG2/3,PMC32504KL,1.0,False,True,False
PMC21625KL,0,7401284706,1,2.0,R21,2,393.0,"2,24",CPH,SIN,KL,835,KL0835,2024-02-29,29-2-2024 21:20:00,29-2-2024 21:10:00,Aircraft,28-2-2024 17:55:45,PM13,VG2/3,VG2/3,PMC21625KL,1.0,False,True,False
