BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,2.0,0.02,,10.0,True,True,0.02,,30.0,20.0,30.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,3.0,0.03,,1.0,True,True,0.03,,28.0,33.0,35.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,1.0,0.08,26.63,15.0,True,True,0.08,26.63,,,,False
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,7.0,0.48,,1.0,True,True,0.48,,50.0,80.0,120.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,4.0,0.06,,2.0,True,True,0.06,,23.0,41.0,60.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,6.0,0.26,,1.0,True,True,0.26,,43.0,78.0,78.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,5.0,0.03,,1.0,True,True,0.03,,19.0,24.0,75.0,True
29-2-2024 21:35:33,74,877785,7400877785,AMS,SIN,A,1.26,MC,399.5,K,15.0,C01,BOAT,AMS,FFM,False,False,False,False,False,False,False,True,18414772,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,1.25,399.4,15.0,1.0,8.0,0.19,,1.0,True,True,0.19,,31.0,27.0,222.0,True
29-2-2024 21:35:33,74,998174,7400998174,DUS,SIN,A,2.4,MC,2319.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451522,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,4.5,2319.0,3.0,1.0,1.0,0.8,773.0,3.0,True,True,0.8,773.0,,,,False
29-2-2024 21:35:33,74,998174,7400998174,DUS,SIN,A,2.4,MC,2319.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451522,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,4.5,2319.0,3.0,1.0,3.0,0.96,,2.0,True,True,0.96,,100.0,80.0,120.0,True
29-2-2024 21:35:33,74,998174,7400998174,DUS,SIN,A,2.4,MC,2319.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451522,KL,835,KL0835,,AMS,SIN,28-2-2024,2024-02-29,4.5,2319.0,3.0,1.0,2.0,0.48,,1.0,True,True,0.48,,50.0,80.0,120.0,True
