FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-04|AMS|KL|0835||2024-01-04|D|152370897|160014317,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,532,KG,B,T,28.0,ULD,AKE95626KL,589.0,57.0,16-2-2024 17:02:55,AFT,36L,L,152370897,160014317,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370898|160014284,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,16,KG,B,B,1.0,ULD,AKE95807KL,757.0,57.0,16-2-2024 17:02:55,AFT,35L,L,152370898,160014284,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370898|160014285,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,684,KG,B,Y,38.0,ULD,AKE95807KL,757.0,57.0,16-2-2024 17:02:55,AFT,35L,L,152370898,160014285,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370899|160014287,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,16,KG,B,B,1.0,ULD,AKE70147KL,742.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152370899,160014287,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370899|160014288,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,561,KG,B,F,33.0,ULD,AKE70147KL,742.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152370899,160014288,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370899|160014289,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,108,KG,D,,6.0,ULD,AKE70147KL,742.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152370899,160014289,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370900|160014286,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,665,KG,B,T,35.0,ULD,AKE97148KL,722.0,57.0,16-2-2024 17:02:55,AFT,35R,L,152370900,160014286,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370901|160014279,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,64,KG,B,B,4.0,ULD,AKE96227KL,697.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152370901,160014279,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370901|160014280,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,576,KG,B,Y,32.0,ULD,AKE96227KL,697.0,57.0,16-2-2024 17:02:55,AFT,33R,L,152370901,160014280,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370902|160014311,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,242,KG,B,F,12.0,ULD,AKE95360KL,449.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152370902,160014311,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370902|160014313,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,137,KG,B,Y,8.0,ULD,AKE95360KL,449.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152370902,160014313,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370902|160014315,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,13,KG,B,B,1.0,ULD,AKE95360KL,449.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152370902,160014315,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370903|160014303,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,582,KG,B,Y,34.0,ULD,AKE70047KL,650.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152370903,160014303,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370903|160014305,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,11,KG,B,B,1.0,ULD,AKE70047KL,650.0,57.0,16-2-2024 17:02:55,AFT,31L,L,152370903,160014305,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370905|160014307,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,531,KG,B,Y,31.0,ULD,AKE95819KL,704.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152370905,160014307,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370905|160014309,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,116,KG,B,B,10.0,ULD,AKE95819KL,704.0,57.0,16-2-2024 17:02:55,AFT,32L,L,152370905,160014309,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370907|160014282,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,612,KG,B,Y,34.0,ULD,AKE94777KL,685.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152370907,160014282,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370907|160014283,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,16,KG,B,B,1.0,ULD,AKE94777KL,685.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152370907,160014283,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370908|159979964,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370908,159979964,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370909|159979965,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370909,159979965,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370911|159979967,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,113,KG,B,B,7.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370911,159979967,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370912|159979968,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370912,159979968,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370914|159979970,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,98,KG,B,T,6.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370914,159979970,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370916|159979972|19046809,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,32,KG,B,F,1.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370916,159979972,19046809.0,AVH
2024-01-04|AMS|KL|0835||2024-01-04|D|152370917|159979973,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,153,KG,B,F,9.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370917,159979973,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370918|159979974,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370918,159979974,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370920|159979976,2024-01-04|KL|0835||AMS,ACTIVE,AMS,DPS,52,KG,B,Y,3.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370920,159979976,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370922|159979978,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370922,159979978,,
2024-01-04|AMS|KL|0835||2024-01-04|D|152370923|159979979,2024-01-04|KL|0835||AMS,ACTIVE,AMS,SIN,309,KG,B,Y,17.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,152370923,159979979,,
