ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC32428KL,1,5772024890,1,,R21,11,2867.0,10,SWK,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,,,,,PMC32428KL,,True,False,False
PMC68156AF,0,5772024890,1,1.0,R21,11,2867.0,10,SWK,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:06:57,PL03,VG2/3,VG2/3,PMC68156AF,2.0,False,True,False
PLB42487KL,0,5772024890,1,1.0,R21,11,2867.0,10,SWK,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:12:35,PM02,VG2/3,VG2/3,PLB42487KL,2.0,False,True,False
PMC68156AF,0,7400793796,1,1.0,M21,1,0.3,"0,01",AMS,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 14:54:41,PL03,VG2/3,VG2/3,PMC68156AF,1.0,False,True,False
PMC68156AF,0,7400805346,1,1.0,M21,2,6.0,"0,07",AMS,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:07:39,PL03,VG2/3,VG2/3,PMC68156AF,2.0,False,True,False
PLB42179KL,0,7401125666,1,1.0,R21,1,300.0,"2,97",WRO,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 17:09:07,PM03,VG2/3,VG2/3,PLB42179KL,1.0,False,True,False
PMC68156AF,0,7401147871,1,1.0,R21,1,148.0,"0,77",WAW,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 14:50:55,PL03,VG2/3,VG2/3,PMC68156AF,1.0,False,True,False
PMC76457AF,1,7401152561,1,,R21,14,5789.0,"10,42",OSL,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,,,,,PMC76457AF,,True,False,False
PMC68156AF,0,7401152561,1,1.0,R21,14,5789.0,"10,42",OSL,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:00:48,PL03,VG2/3,VG2/3,PMC68156AF,1.0,False,True,False
PMC32459KL,0,7401152561,1,2.0,R21,14,5789.0,"10,42",OSL,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 16:42:34,PM02,VG2/3,VG2/3,PMC32459KL,1.0,False,True,False
PMC32459KL,0,7401152561,1,3.0,R21,14,5789.0,"10,42",OSL,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 16:42:34,PM02,VG2/3,VG2/3,PMC32459KL,1.0,False,True,False
PMC68156AF,0,7401159292,1,1.0,R21,3,347.8,"3,05",PRG,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:02:40,PL03,VG2/3,VG2/3,PMC68156AF,1.0,False,True,False
PLB42487KL,0,7401159292,1,2.0,R21,3,347.8,"3,05",PRG,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:17:31,PM02,VG2/3,VG2/3,PLB42487KL,1.0,False,True,False
PMC32459KL,0,7401159292,1,3.0,R21,3,347.8,"3,05",PRG,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 16:44:06,PM02,VG2/3,VG2/3,PMC32459KL,1.0,False,True,False
PLB42487KL,0,7401160552,1,1.0,R21,2,536.0,"2,89",FRA,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:11:47,PM02,VG2/3,VG2/3,PLB42487KL,1.0,False,True,False
PLB42487KL,0,7401160552,1,2.0,R21,2,536.0,"2,89",FRA,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,29-1-2024 15:11:47,PM02,VG2/3,VG2/3,PLB42487KL,1.0,False,True,False
PMC74730DL,1,7401161414,1,,R21,1,606.5,10,SWK,SIN,KL,835,KL0835,2024-01-29,29-1-2024 21:44:00,29-1-2024 21:10:00,Aircraft,,,,,PMC74730DL,,True,False,False
