FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-04|AMS|KL|0835||2024-03-04|D|154796180|162590913,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,584,KG,B,Y,34.0,ULD,AKE94591KL,658.0,57.0,5/3/2024 4:31,AFT,36R,L,154796180,162590913,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796180|162590914,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,17,KG,B,T,1.0,ULD,AKE94591KL,658.0,57.0,5/3/2024 4:31,AFT,36R,L,154796180,162590914,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796181|162590915,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,715,KG,B,T,42.0,ULD,AKE95142KL,772.0,57.0,5/3/2024 4:31,AFT,41L,L,154796181,162590915,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796182|162590921,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,240,KG,B,Y,14.0,ULD,AKE95239KL,729.0,57.0,5/3/2024 4:31,AFT,42R,L,154796182,162590921,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796182|162590922,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,306,KG,B,F,18.0,ULD,AKE95239KL,729.0,57.0,5/3/2024 4:31,AFT,42R,L,154796182,162590922,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796182|162590923,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,126,KG,D,,7.0,ULD,AKE95239KL,729.0,57.0,5/3/2024 4:31,AFT,42R,L,154796182,162590923,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796183|162590916,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,154,KG,B,Y,9.0,ULD,AKE95875KL,591.0,57.0,5/3/2024 4:31,AFT,41R,L,154796183,162590916,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796183|162590917,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,272,KG,B,F,16.0,ULD,AKE95875KL,591.0,57.0,5/3/2024 4:31,AFT,41R,L,154796183,162590917,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796183|162590918,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,108,KG,D,,6.0,ULD,AKE95875KL,591.0,57.0,5/3/2024 4:31,AFT,41R,L,154796183,162590918,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796184|162590919,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,366,KG,B,F,21.0,ULD,AKE95786KL,423.0,57.0,5/3/2024 4:31,AFT,42L,L,154796184,162590919,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796186|162590924,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,347,KG,B,Y,21.0,ULD,AKE94912KL,404.0,57.0,5/3/2024 4:31,AFT,43L,L,154796186,162590924,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796188|162590928,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,695,KG,B,Y,42.0,ULD,AKE70199KL,752.0,57.0,5/3/2024 4:31,AFT,44L,L,154796188,162590928,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796193|162590926,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,529,KG,B,Y,32.0,ULD,AKE96199KL,586.0,57.0,5/3/2024 4:31,AFT,43R,L,154796193,162590926,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796195|162558355,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,8,KG,B,G,1.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796195,162558355,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796196|162558356,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796196,162558356,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796198|162558358,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,52,KG,B,T,3.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796198,162558358,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796199|162558359,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,100,KG,B,T,6.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796199,162558359,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796201|162558361,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796201,162558361,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796202|162558362,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796202,162558362,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796204|162558364,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,F,0.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796204,162558364,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796206|162558366,2024-03-04|KL|0835||AMS,ACTIVE,AMS,DPS,52,KG,B,Y,3.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796206,162558366,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796208|162558368,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,B,F,1.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796208,162558368,,
2024-03-04|AMS|KL|0835||2024-03-04|D|154796209|162558369,2024-03-04|KL|0835||AMS,ACTIVE,AMS,SIN,70,KG,B,Y,4.0,BLK,,,,5/3/2024 4:31,BLK,52,L,154796209,162558369,,
