ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE95570KL,0,7401308716,1,1.0,R91,2,532.0,"2,11",FRA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 16:17,PM01,VG2/3,VG2/3,AKE95570KL,1.0,False,True,False
AKE95570KL,0,7401308716,1,2.0,R91,2,532.0,"2,11",FRA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 16:17,PM01,VG2/3,VG2/3,AKE95570KL,1.0,False,True,False
AKE97060KL,0,7401315333,1,1.0,R21,4,97.0,"0,85",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 15:30,PL01,VG2/3,VG2/3,AKE97060KL,4.0,False,True,False
PMC20767KL,0,7401315661,1,1.0,R21,19,402.0,"2,03",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,2/3/2024 21:09,,,,PMC20767KL,13.0,False,False,False
PMC20767KL,0,7401315661,1,2.0,R21,19,402.0,"2,03",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,2/3/2024 21:09,,,,PMC20767KL,6.0,False,False,False
AKE97063KL,0,7401323486,1,1.0,M21,3,8.0,"0,03",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:11,PM01,VG2/3,VG2/3,AKE97063KL,3.0,False,True,False
AKE97063KL,0,7401328526,1,1.0,M21,1,11.0,"0,08",OSL,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:23,PM01,VG2/3,VG2/3,AKE97063KL,1.0,False,True,False
AKE97063KL,0,7401330324,1,1.0,M21,2,12.0,"0,08",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:11,PM01,VG2/3,VG2/3,AKE97063KL,2.0,False,True,False
AKE70269KL,0,7401334056,1,1.0,M21,1,27.7,"0,07",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:32,PM02,VG2/3,VG2/3,AKE70269KL,1.0,False,True,False
AKE97063KL,0,7401334200,1,1.0,M21,1,10.0,"0,08",RTM,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:11,PM01,VG2/3,VG2/3,AKE97063KL,1.0,False,True,False
AKE97023KL,0,7401336392,1,1.0,R21,10,165.0,"0,5",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 15:25,PM02,VG2/3,VG2/3,AKE97023KL,10.0,False,True,False
AKE97060KL,0,7401336392,1,1.0,R21,10,165.0,"0,5",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 15:29,PL01,VG2/3,VG2/3,AKE97060KL,10.0,False,True,False
AKE97023KL,0,7401339516,1,1.0,R91,1,0.7,"0,09",HAJ,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 15:22,PM02,VG2/3,VG2/3,AKE97023KL,1.0,False,True,False
PAG14460KL,0,7401340231,1,1.0,M25,3,167.7,"0,33",RTM,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:44,PM01,VG2/3,VG2/3,PAG14460KL,1.0,False,True,False
PAG14460KL,0,7401340231,1,2.0,M25,3,167.7,"0,33",RTM,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:58,PM01,VG2/3,VG2/3,PAG14460KL,2.0,False,True,False
AKE97063KL,0,7456756615,1,1.0,R21,1,139.0,"0,19",MIA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:08,PM01,VG2/3,VG2/3,AKE97063KL,1.0,False,True,False
PMC28832KL,0,7459796354,1,1.0,S23,8,60.0,"0,68",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 16:37,PM02,VG2/3,VG2/3,PMC28832KL,8.0,False,True,False
PAG14464KL,3,7461169485,1,,S23,26,429.0,"2,65",QFA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,,,,,PAG14464KL,,True,False,False
PAG14464KL,3,7461194895,1,,S23,20,245.0,"1,67",QFA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,,,,,PAG14464KL,,True,False,False
PAG14464KL,3,7461196181,1,,S23,22,269.0,"1,81",QFA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,,,,,PAG14464KL,,True,False,False
AKE97063KL,0,7461350811,1,1.0,M21,3,8.7,"0,08",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:18,PM01,VG2/3,VG2/3,AKE97063KL,3.0,False,True,False
PAG14460KL,0,7461581682,1,1.0,S53,1,39.0,"0,75",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 15:18,TV15,Unknown,Unknown,PAG14460KL,1.0,False,False,False
PAG14460KL,0,7461955434,1,1.0,S53,1,29.7,"0,2",FRA,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:46,PM01,VG2/3,VG2/3,PAG14460KL,1.0,False,True,False
PAG14460KL,0,7462044581,1,1.0,S53,2,233.0,"1,77",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:44,PM01,VG2/3,VG2/3,PAG14460KL,1.0,False,True,False
PAG14460KL,0,7462044581,1,2.0,S53,2,233.0,"1,77",AMS,SIN,KL,835,KL0835,2024-03-06,6/3/2024 21:52,6/3/2024 21:10,Aircraft,6/3/2024 14:44,PM01,VG2/3,VG2/3,PAG14460KL,1.0,False,True,False
