FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-31|AMS|KL|0835||2024-03-31|D|155883744|163745643,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,584,KG,B,F,29.0,ULD,AKE96244KL,803.0,57.0,1/4/2024 4:28,AFT,41R,L,155883744,163745643,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883744|163745644,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,162,KG,D,,9.0,ULD,AKE96244KL,803.0,57.0,1/4/2024 4:28,AFT,41R,L,155883744,163745644,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883747|163745634,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,568,KG,B,Y,30.0,ULD,AKE97652KL,701.0,57.0,1/4/2024 4:28,AFT,34R,L,155883747,163745634,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883747|163745635,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,76,KG,B,B,4.0,ULD,AKE97652KL,701.0,57.0,1/4/2024 4:28,AFT,34R,L,155883747,163745635,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883751|163712809|19426904,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,36,KG,B,Y,1.0,ULD,AKE95014KL,477.0,57.0,1/4/2024 4:28,AFT,36L,L,155883751,163712809,19426904.0,WBD
2024-03-31|AMS|KL|0835||2024-03-31|D|155883751|163745639,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,384,KG,B,F,20.0,ULD,AKE95014KL,477.0,57.0,1/4/2024 4:28,AFT,36L,L,155883751,163745639,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883755|163745624,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,693,KG,B,Y,42.0,ULD,AKE96961KL,824.0,57.0,1/4/2024 4:28,AFT,31L,L,155883755,163745624,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883755|163745626,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,74,KG,B,B,4.0,ULD,AKE96961KL,824.0,57.0,1/4/2024 4:28,AFT,31L,L,155883755,163745626,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883757|163745628,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,742,KG,B,Y,45.0,ULD,AKE70196KL,799.0,57.0,1/4/2024 4:28,AFT,32L,L,155883757,163745628,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883759|163745630,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,561,KG,B,Y,34.0,ULD,AKE95123KL,618.0,57.0,1/4/2024 4:28,AFT,33L,L,155883759,163745630,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883761|163745632,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,16,KG,B,Y,1.0,ULD,AKE95793KL,73.0,57.0,1/4/2024 4:28,AFT,34L,L,155883761,163745632,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883763|163745638,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,588,KG,B,T,35.0,ULD,AKE96519KL,645.0,57.0,1/4/2024 4:28,AFT,35R,L,155883763,163745638,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883764|163745636,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,660,KG,B,Y,40.0,ULD,AKE97731KL,717.0,57.0,1/4/2024 4:28,AFT,35L,L,155883764,163745636,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883766|163712824,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883766,163712824,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883767|163712825,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883767,163712825,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883769|163712827|19426906,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,20,KG,B,F,1.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883769,163712827,19426906.0,AVH
2024-03-31|AMS|KL|0835||2024-03-31|D|155883770|163712828,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,21,KG,B,F,1.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883770,163712828,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883771|163712829,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,563,KG,B,Y,34.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883771,163712829,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883773|163712831,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883773,163712831,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883774|163712832,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883774,163712832,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883776|163712834,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,96,KG,B,Y,5.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883776,163712834,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883777|163712835,2024-03-31|KL|0835||AMS,ACTIVE,AMS,DPS,20,KG,B,F,1.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883777,163712835,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155883779|163712837,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,T,0.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155883779,163712837,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155903432|163745641,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,303,KG,B,Y,16.0,ULD,AKE70153KL,360.0,57.0,1/4/2024 4:28,AFT,36R,L,155903432,163745641,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909035|163739882|19429434,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,17,KG,C,,,BLK,,,,1/4/2024 4:28,BLK,52,L,155909035,163739882,19429434.0,VAL
2024-03-31|AMS|KL|0835||2024-03-31|D|155909036|163739883,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,183,KG,C,,,ULD,AKE94746KL,240.0,57.0,1/4/2024 4:28,FWD,12L,L,155909036,163739883,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909037|163739884,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,93,KG,C,,,ULD,AKE97271KL,150.0,57.0,1/4/2024 4:28,FWD,12R,L,155909037,163739884,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909039|163739886|19429435,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,243,KG,C,,,ULD,AKE97392KL,300.0,57.0,1/4/2024 4:28,FWD,13L,L,155909039,163739886,19429435.0,RMD
2024-03-31|AMS|KL|0835||2024-03-31|D|155909042|163739889,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,398,KG,C,,,ULD,AKE98213KL,455.0,57.0,1/4/2024 4:28,FWD,14R,L,155909042,163739889,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909044|163739891,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,363,KG,C,,,ULD,AKE97296KL,420.0,57.0,1/4/2024 4:28,FWD,14L,L,155909044,163739891,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909045|163739892|19429436,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,260,KG,C,,,ULD,AKE95054KL,317.0,57.0,1/4/2024 4:28,FWD,13R,L,155909045,163739892,19429436.0,RMD
2024-03-31|AMS|KL|0835||2024-03-31|D|155909048|163739895|19429437,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,183,KG,C,,,ULD,AKE94860KL,240.0,57.0,1/4/2024 4:28,AFT,31R,L,155909048,163739895,19429437.0,CRT
2024-03-31|AMS|KL|0835||2024-03-31|D|155909050|163739897,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,628,KG,C,,,ULD,AKE97359KL,685.0,57.0,1/4/2024 4:28,AFT,33R,L,155909050,163739897,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909052|163739899,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,443,KG,C,,,ULD,AKE98161KL,500.0,57.0,1/4/2024 4:28,AFT,32R,L,155909052,163739899,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909054|163739901,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2646,KG,C,,,ULD,PMC63863AF,2750.0,104.0,1/4/2024 4:28,AFT,42P,L,155909054,163739901,,
2024-03-31|AMS|KL|0835||2024-03-31|D|155909055|163739903|19429438,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2045,KG,C,,,ULD,PMC33097KL,2170.0,125.0,1/4/2024 4:28,FWD,23P,L,155909055,163739903,19429438.0,RMD
2024-03-31|AMS|KL|0835||2024-03-31|D|155909055|163739903|19429439,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2045,KG,C,,,ULD,PMC33097KL,2170.0,125.0,1/4/2024 4:28,FWD,23P,L,155909055,163739903,19429439.0,ELM
2024-03-31|AMS|KL|0835||2024-03-31|D|155909055|163739903|19429440,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2045,KG,C,,,ULD,PMC33097KL,2170.0,125.0,1/4/2024 4:28,FWD,23P,L,155909055,163739903,19429440.0,COL
2024-03-31|AMS|KL|0835||2024-03-31|D|155909064|163739912|19429441,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2480,KG,C,,,ULD,PMC1741MP,2605.0,125.0,1/4/2024 4:28,FWD,25P,L,155909064,163739912,19429441.0,COL
2024-03-31|AMS|KL|0835||2024-03-31|D|155909064|163739912|19429442,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2480,KG,C,,,ULD,PMC1741MP,2605.0,125.0,1/4/2024 4:28,FWD,25P,L,155909064,163739912,19429442.0,ELM
2024-03-31|AMS|KL|0835||2024-03-31|D|155909067|163739914|19429443,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,1720,KG,C,,,ULD,PMC28407KL,1845.0,125.0,1/4/2024 4:28,FWD,21P,L,155909067,163739914,19429443.0,ELM
2024-03-31|AMS|KL|0835||2024-03-31|D|155909068|163739915|19429444,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2000,KG,C,,,ULD,PMC75559KL,2125.0,125.0,1/4/2024 4:28,FWD,22P,L,155909068,163739915,19429444.0,ELI
2024-03-31|AMS|KL|0835||2024-03-31|D|155909068|163739915|19429445,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2000,KG,C,,,ULD,PMC75559KL,2125.0,125.0,1/4/2024 4:28,FWD,22P,L,155909068,163739915,19429445.0,ELI
2024-03-31|AMS|KL|0835||2024-03-31|D|155909069|163739916|19429446,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2385,KG,C,,,ULD,PMC73973AF,2495.0,110.0,1/4/2024 4:28,AFT,41P,L,155909069,163739916,19429446.0,ERT
2024-03-31|AMS|KL|0835||2024-03-31|D|155909069|163739916|19429447,2024-03-31|KL|0835||AMS,ACTIVE,AMS,SIN,2385,KG,C,,,ULD,PMC73973AF,2495.0,110.0,1/4/2024 4:28,AFT,41P,L,155909069,163739916,19429447.0,RFL
