ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC32749KL,1,7400775386,1,,R21,11,1395.4,"15,65",CPH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC32749KL,,True,False,False
PMC76467AF,2,7400775386,1,,R21,11,1395.4,"15,65",CPH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC76467AF,,True,False,False
PMC72445AF,8,7401157763,1,,R21,12,4200.0,"25,2",MRS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC72445AF,,True,False,False
PMC76363AF,0,7401157763,1,,R21,12,4200.0,"25,2",MRS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:52,PL04,VG2/3,VG2/3,PMC76363AF,,False,True,False
PMC72703AF,1,7401157763,1,,R21,12,4200.0,"25,2",MRS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC72703AF,,True,False,False
PMC20200KL,8,7401164796,1,1.0,R21,2,34.0,"0,23",HAJ,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 3:42,PL13,VG2/3,VG2/3,PMC20200KL,2.0,False,True,False
PAG03753KL,0,7401174644,1,1.0,R21,2,588.0,"1,9",MAD,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:03,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PMC76363AF,0,7401174644,1,2.0,R21,2,588.0,"1,9",MAD,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:46,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PMC20200KL,8,7401176976,1,,C01,4,1792.0,"5,95",FMO,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC20200KL,,True,False,False
PAG03753KL,0,7401195504,1,1.0,M21,2,20.0,"0,09",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:03,PL04,VG2/3,VG2/3,PAG03753KL,2.0,False,True,False
PMC76363AF,0,7401196053,1,1.0,R21,1,167.0,1,HAJ,AUS,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:48,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PMC72445AF,8,7401198794,1,1.0,M21,10,48.0,"0,21",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:29,PL14,VG2/3,VG2/3,PMC72445AF,10.0,False,True,False
PMC20200KL,8,7442906010,1,1.0,R21,1,433.0,"2,71",OSL,MSY,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 3:40,PL13,VG2/3,VG2/3,PMC20200KL,1.0,False,True,False
AKE95983KL,0,7459521162,1,1.0,M25,7,329.2,"0,99",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 7:04,PL04,VG2/3,VG2/3,AKE95983KL,7.0,False,True,False
PAG03753KL,0,7461002594,1,1.0,C01,1,460.0,"1,41",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 5:58,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PMC76363AF,0,7461322063,1,1.0,R21,1,140.0,"0,37",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:49,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PMC72445AF,8,7462603741,1,1.0,R21,4,640.0,"4,46",BER,DFW,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:25,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC72445AF,8,7462603741,1,2.0,R21,4,640.0,"4,46",BER,DFW,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:31,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PAG03753KL,0,7462603741,1,3.0,R21,4,640.0,"4,46",BER,DFW,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:14,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PAG03753KL,0,7462603741,1,4.0,R21,4,640.0,"4,46",BER,DFW,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:15,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PMC76363AF,0,7462851681,1,1.0,M21,1,4.0,"0,02",KIX,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:47,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PAG03753KL,0,7463215106,1,1.0,R21,10,1099.0,"2,6",BLL,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:10,PL04,VG2/3,VG2/3,PAG03753KL,4.0,False,True,False
PAG03753KL,0,7463215106,1,2.0,R21,10,1099.0,"2,6",BLL,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:05,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PAG03753KL,0,7463215106,1,3.0,R21,10,1099.0,"2,6",BLL,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:17,PL04,VG2/3,VG2/3,PAG03753KL,4.0,False,True,False
PAG03753KL,0,7463215106,1,4.0,R21,10,1099.0,"2,6",BLL,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:05,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PAG03753KL,0,7463523261,1,1.0,M21,1,1.0,"0,01",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:24,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PMC72445AF,8,7463727602,1,1.0,M21,1,2.8,"0,1",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:24,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC72445AF,8,7463727650,1,1.0,M21,1,1.3,"0,1",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:24,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC72445AF,8,7463727672,1,1.0,M21,1,2.1,"0,1",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:24,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC20200KL,8,7463837196,1,1.0,M25,1,187.0,"0,67",AMS,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 3:40,PL13,VG2/3,VG2/3,PMC20200KL,1.0,False,True,False
PAG03753KL,0,7463912575,1,1.0,M21,1,4.0,"0,04",ZRH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:24,PL04,VG2/3,VG2/3,PAG03753KL,1.0,False,True,False
PMC76467AF,2,7463939094,1,,C51,4,800.0,4,CPH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,,,,,PMC76467AF,,True,False,False
PMC76363AF,0,7463939094,1,1.0,C51,4,800.0,4,CPH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:45,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PMC76363AF,0,7463939094,1,2.0,C51,4,800.0,4,CPH,IAH,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 6:45,PL04,VG2/3,VG2/3,PMC76363AF,1.0,False,True,False
PMC72445AF,8,7464279250,1,1.0,M25,3,343.0,"0,69",AMS,MSY,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:28,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC72445AF,8,7464279250,1,2.0,M25,3,343.0,"0,69",AMS,MSY,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:28,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
PMC72445AF,8,7464279250,1,3.0,M25,3,343.0,"0,69",AMS,MSY,KL,661,KL0661,2024-02-04,4/2/2024 10:02,4/2/2024 10:05,Aircraft,4/2/2024 1:28,PL14,VG2/3,VG2/3,PMC72445AF,1.0,False,True,False
